ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
332	h0	0.632	0.95	0.95	1	1	1	1.0	1	0.968	55.21	55.21
333	h0	0.667	1.0	1.0	1	1	1	1.0	1	1.0	66.7	66.7
334	h0	0.667	1.0	1.0	1	1	1	1.0	1	1.0	66.7	66.7
335	h0	0.947	0.739	0.665	1	1	1	0.846	1	0.968	38.11	38.11
336	h0	1.0	0.744	0.7	1	1	1	0.846	1	1.0	44.06	44.06
337	h0	1.0	0.667	0.7	1	1	1	0.846	1	1.0	39.5	39.5
338	h0	0.842	0.95	0.76	1	1	1	0.742	1	0.968	43.66	43.66
339	h0	0.889	1.0	0.765	1	1	1	0.846	1	1.0	57.54	57.54
340	h0	0.889	1.0	0.7	1	1	1	0.846	1	1.0	52.65	52.65
341	h0	0.947	0.633	0.95	1	1	1	1.0	1	1.0	56.95	56.95
342	h0	0.971	0.667	1.0	1	1	1	1.0	1	1.0	64.77	64.77
343	h0	0.889	0.667	1.0	1	1	1	1.0	1	1.0	59.3	59.3
356	h0	0.632	0.95	0.76	1	1	1	0.769	1	0.968	33.97	33.97
357	h0	0.667	1.0	0.8	1	1	1	0.769	1	1.0	41.03	41.03
358	h0	0.667	1.0	0.8	1	1	1	0.769	1	1.0	41.03	41.03
359	h0	0.667	1.0	0.8	1	1	1	0.725	1	1.0	38.69	38.69
360	h0	0.947	0.739	0.95	1	1	1	0.769	1	0.968	49.49	49.49
361	h0	1.0	0.778	1.0	1	1	1	0.769	1	1.0	59.83	59.83
362	h0	1.0	0.778	1.0	1	1	1	0.769	1	1.0	59.83	59.83
363	h0	1.0	0.778	1.0	1	1	1	0.769	1	1.0	59.83	59.83
364	h0	0.737	0.533	0.64	1	1	1	0.769	1	1.0	19.33	19.33
365	h0	1.0	0.667	0.8	1	1	1	0.769	1	1.0	41.03	41.03
366	h0	1.0	0.667	0.8	1	1	1	0.769	1	1.0	41.03	41.03
367	h0	1.0	0.667	0.8	1	1	1	0.769	1	1.0	41.03	41.03
368	h0	0.643	1.0	0.7	1	1	1	0.923	1	1.0	41.54	41.54
369	h0	0.667	1.0	0.7	1	1	1	0.923	1	1.0	43.09	43.09
370	h0	0.667	1.0	0.7	1	1	1	0.923	1	1.0	43.09	43.09
371	h0	0.667	1.0	0.7	1	1	1	0.923	1	1.0	43.09	43.09
372	h0	0.947	0.778	1.0	1	1	1	1.0	1	1.0	73.68	73.68
373	h0	1.0	0.778	1.0	1	1	1	1.0	1	1.0	77.8	77.8
374	h0	1.0	0.778	1.0	1	1	1	1.0	1	1.0	77.8	77.8
375	h0	1.0	0.778	1.0	1	1	1	1.0	1	1.0	77.8	77.8
376	h0	0.661	0.639	0.7	1	1	1	0.846	1	1.0	25.01	25.01
377	h0	0.667	0.667	0.7	1	1	1	0.846	1	1.0	26.35	26.35
378	h0	0.667	0.667	0.7	1	1	1	0.846	1	1.0	26.35	26.35
379	h0	0.667	0.667	0.7	1	1	1	0.846	1	1.0	26.35	26.35
380	h0	0.655	0.9	0.595	1	1	1	0.75	1	0.968	25.46	25.46
381	h0	0.889	1.0	0.7	1	1	1	0.769	1	1.0	47.85	47.85
382	h0	0.889	1.0	0.7	1	1	1	0.769	1	1.0	47.85	47.85
383	h0	0.889	1.0	0.7	1	1	1	0.769	1	1.0	47.85	47.85
384	h0	0.947	0.844	0.855	1	1	1	0.769	1	0.968	50.87	50.87
385	h0	1.0	0.889	0.9	1	1	1	0.769	1	1.0	61.53	61.53
386	h0	1.0	0.889	0.9	1	1	1	0.769	1	1.0	61.53	61.53
387	h0	1.0	0.889	0.9	1	1	1	0.769	1	1.0	61.53	61.53
388	h0	0.632	0.633	0.855	1	1	1	0.766	1	0.968	25.36	25.36
389	h0	0.667	0.667	0.9	1	1	1	0.769	1	1.0	30.79	30.79
390	h0	0.667	0.667	0.9	1	1	1	0.769	1	1.0	30.79	30.79
391	h0	0.667	0.667	0.9	1	1	1	0.725	1	1.0	29.03	29.03
428	h0	0.632	0.633	0.665	1	1	1	0.769	1	1.0	20.46	20.46
429	h0	0.667	0.667	0.7	1	1	1	0.769	1	1.0	23.95	23.95
430	h0	0.667	0.667	0.7	1	1	1	0.769	1	1.0	23.95	23.95
431	h0	0.667	0.667	0.7	1	1	1	0.769	1	1.0	23.95	23.95
432	h0	0.667	0.633	0.56	1	1	1	0.412	1	1.0	9.74	9.74
