 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1       1       1 0.785714     0.197784
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1       1       1 0.785714     0.266173
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1       1       1 0.785714     0.266173
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1       1       1 0.857143     0.308235
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.857143     0.400000
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.857143     0.400000
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1       1       1 0.857143     0.308235
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1 0.788018     0.367742
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1 0.785714     0.366667
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1       1       1 0.785714     0.287033
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1 0.785714     0.372487
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1 0.785714     0.372487
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1       1       1 0.785714     0.372487
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1       1       1 0.785714     0.282548
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1       1       1 0.737327     0.218357
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1       1       1 0.785714     0.427778
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1       1       1 0.785714     0.427778
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1       1       1 0.767281     0.403533
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1       1       1 0.778802     0.151752
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.171111
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.171111
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.171111
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1       1       1 0.760369     0.370402
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1 0.785714     0.427778
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1 0.785714     0.427778
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1       1       1 0.785714     0.427778
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1       1       1 0.744240     0.302575
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1 0.785714     0.366667
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1       1       1 0.767281     0.358065
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1       1       1 0.702765     0.106722
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1 0.785714     0.293333
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1 0.785714     0.293333
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1       1       1 0.785714     0.293333
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1       1       1 0.785714     0.448753
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1 0.788018     0.551613
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1 0.788018     0.551613
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1       1       1 0.785714     0.550000
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1       1       1 0.857143     0.191790
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1       1       1 0.857143     0.248889
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1       1       1 0.790323     0.229486
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1       1       1 0.714286     0.233333
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1       1       1 0.785714     0.196371
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.256667
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.256667
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1       1       1 0.785714     0.256667
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1       1       1 0.785714     0.183333
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1       1       1 0.619816     0.120998
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1       1       1 0.785714     0.396992
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1       1       1 0.785714     0.419048
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1       1       1 0.785714     0.419048
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1       1       1 0.764977     0.291420
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1       1       1 0.714286     0.242735
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1       1       1 0.714286     0.300000
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1 0.714286     0.333333
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1       1       1 0.781106     0.364516
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1       1       1 0.785714     0.261905
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1       1       1 0.785714     0.239797
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1 0.788018     0.286022
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1 0.854839     0.310275
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1       1       1 0.790323     0.286858
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1       1       1 0.721198     0.186977
