 ChipID Half   Layer0   Layer1  Layer2  Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    924   h1 0.666667 1.000000   0.700       1       1       1 0.769231 0.769231       1     0.276134
    925   h1 0.666667 1.000000   0.650       1       1       1 0.740741 0.398352       1     0.127866
    926   h1 0.894737 0.631579   1.000       1       1       1 0.923077 0.620879       1     0.323868
    927   h1 1.000000 0.666667   1.000       1       1       1 0.923077 0.769231       1     0.473373
    928   h1 1.000000 0.666667   1.000       1       1       1 0.923077 0.769231       1     0.473373
    929   h1 1.000000 0.666667   1.000       1       1       1 0.923077 0.769231       1     0.473373
    930   h1 1.000000 0.666667   0.900       1       1       1 0.547009 0.500000       1     0.164103
    931   h1 0.619883 0.736842   0.800       1       1       1 0.769231 0.769231       1     0.216216
    932   h1 0.666667 0.777778   0.800       1       1       1 0.769231 0.769231       1     0.245453
    933   h1 0.666667 0.777778   0.800       1       1       1 0.769231 0.769231       1     0.245453
    934   h1 0.666667 0.777778   0.800       1       1       1 0.769231 0.769231       1     0.245453
    935   h1 0.666667 0.777778   0.720       1       1       1 0.455840 0.370879       1     0.063116
