 ChipID Half   Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.795322 0.736842       1       1 0.668182       1 0.769231 0.769231       1     0.231700
    816   h1 0.888889 0.777778       1       1 0.700000       1 0.769231 0.769231       1     0.286361
    817   h1 0.888889 0.777778       1       1 0.700000       1 0.769231 0.769231       1     0.286361
    818   h1 0.596491 0.947368       1       1 0.954545       1 0.769231 0.769231       1     0.319178
    819   h1 0.666667 1.000000       1       1 1.000000       1 0.769231 0.769231       1     0.394477
    820   h1 0.666667 1.000000       1       1 1.000000       1 0.769231 0.769231       1     0.394477
    821   h1 0.894737 0.631579       1       1 0.668182       1 0.769231 0.923077       1     0.268109
    822   h1 1.000000 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.331361
    823   h1 1.000000 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.331361
    860   h1 0.795322 0.631579       1       1 0.763636       1 0.846154 0.769231       1     0.249668
    861   h1 0.888889 0.666667       1       1 0.800000       1 0.846154 0.769231       1     0.308569
    862   h1 0.888889 0.666667       1       1 0.800000       1 0.846154 0.769231       1     0.308569
    863   h1 0.888889 0.666667       1       1 0.800000       1 0.846154 0.620879       1     0.249059
    864   h1 0.596491 0.947368       1       1 0.954545       1 1.000000 0.769231       1     0.414931
    865   h1 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    866   h1 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    867   h1 0.666667 1.000000       1       1 1.000000       1 1.000000 0.769231       1     0.512821
    868   h1 0.842105 0.573099       1       1 0.954545       1 0.683761 0.846154       1     0.266530
    869   h1 1.000000 0.777778       1       1 1.000000       1 0.769231 0.846154       1     0.506246
    870   h1 1.000000 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.460224
    871   h1 1.000000 0.777778       1       1 1.000000       1 0.769231 0.846154       1     0.506246
    872   h1 0.596491 0.666667       1       1 0.700000       1 0.757835 0.923077       1     0.194726
    873   h1 0.666667 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.220907
    874   h1 0.666667 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.220907
    875   h1 0.666667 0.666667       1       1 0.700000       1 0.769231 0.923077       1     0.220907
    876   h1 0.695906 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.374719
    877   h1 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    878   h1 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    879   h1 0.777778 1.000000       1       1 0.700000       1 0.769231 1.000000       1     0.418803
    880   h1 0.894737 0.649123       1       1 1.000000       1 0.814815 0.846154       1     0.400434
    881   h1 1.000000 0.666667       1       1 1.000000       1 0.846154 0.846154       1     0.477318
    882   h1 1.000000 0.666667       1       1 1.000000       1 0.769231 0.846154       1     0.433925
    883   h1 1.000000 0.666667       1       1 1.000000       1 0.769231 0.846154       1     0.433925
    884   h1 0.479532 0.736842       1       1 0.663636       1 0.925926 0.747253       1     0.162243
    885   h1 0.666667 1.000000       1       1 0.700000       1 1.000000 0.769231       1     0.358974
    886   h1 0.666667 1.000000       1       1 0.700000       1 1.000000 0.769231       1     0.358974
    887   h1 0.666667 1.000000       1       1 0.700000       1 1.000000 0.769231       1     0.358974
    888   h1 0.947368 0.947368       1       1 0.668182       1 0.769231 0.769231       1     0.354851
    889   h1 1.000000 1.000000       1       1 0.700000       1 0.769231 0.769231       1     0.414201
    890   h1 1.000000 1.000000       1       1 0.700000       1 0.769231 0.769231       1     0.414201
    891   h1 1.000000 1.000000       1       1 0.700000       1 0.769231 0.769231       1     0.414201
    892   h1 0.695906 0.631579       1       1 0.668182       1 0.769231 0.769231       1     0.173775
    893   h1 0.777778 0.666667       1       1 0.700000       1 0.769231 0.769231       1     0.214771
    894   h1 0.777778 0.666667       1       1 0.700000       1 0.769231 0.769231       1     0.214771
    895   h1 0.777778 0.666667       1       1 0.700000       1 0.555556 0.670330       1     0.135169
    916   h1 0.894737 0.631579       1       1 0.668182       1 0.846154 0.769231       1     0.245767
    917   h1 1.000000 0.666667       1       1 0.700000       1 0.846154 0.769231       1     0.303748
    918   h1 1.000000 0.666667       1       1 0.700000       1 0.846154 0.769231       1     0.303748
    919   h1 1.000000 0.666667       1       1 0.700000       1 0.846154 0.769231       1     0.303748
    920   h1 1.000000 0.666667       1       1 0.700000       1 0.532764 0.376374       1     0.093575
    921   h1 0.298246 0.947368       1       1 0.763636       1 0.307692 0.706044       1     0.046874
    922   h1 0.631579 1.000000       1       1 0.800000       1 0.769231 0.769231       1     0.298972
    923   h1 0.666667 1.000000       1       1 0.800000       1 0.769231 0.769231       1     0.315582
    924   h1 0.666667 1.000000       1       1 0.800000       1 0.769231 0.769231       1     0.315582
    925   h1 0.666667 1.000000       1       1 0.800000       1 0.740741 0.398352       1     0.157373
    926   h1 0.894737 0.631579       1       1 0.668182       1 0.923077 0.620879       1     0.216403
    927   h1 1.000000 0.666667       1       1 0.700000       1 0.923077 0.769231       1     0.331361
    928   h1 1.000000 0.666667       1       1 0.700000       1 0.923077 0.769231       1     0.331361
    929   h1 1.000000 0.666667       1       1 0.700000       1 0.923077 0.769231       1     0.331361
    930   h1 1.000000 0.666667       1       1 0.700000       1 0.547009 0.500000       1     0.127635
    931   h1 0.619883 0.736842       1       1 0.954545       1 0.769231 0.769231       1     0.257985
    932   h1 0.666667 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.306816
    933   h1 0.666667 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.306816
    934   h1 0.666667 0.777778       1       1 1.000000       1 0.769231 0.769231       1     0.306816
    935   h1 0.666667 0.777778       1       1 1.000000       1 0.455840 0.370879       1     0.087662
