 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1       1       1     0.435556
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000       1       1       1     0.435556
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000       1       1       1     0.210970
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1       1     0.261333
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000       1       1       1     0.261333
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000       1       1       1     0.301385
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000       1       1       1     0.346667
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455       1       1       1     0.317576
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000       1       1       1     0.318129
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000       1       1       1     0.414815
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000       1       1       1     0.225474
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000       1       1       1     0.294000
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273       1       1       1     0.189111
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1       1     0.381111
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000       1       1       1     0.381111
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000       1       1       1     0.368148
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.136398
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.152444
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.152444
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000       1       1       1     0.152444
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.487135
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.544444
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.544444
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000       1       1       1     0.544444
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000       1       1       1     0.284589
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1       1     0.326667
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000       1       1       1     0.326667
