 ChipID Half   Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.795322       1       1 0.642857 0.668182       1 0.769231 0.769231       1     0.202146
    816   h1 0.888889       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    817   h1 0.888889       1       1 0.700000 0.700000       1 0.769231 0.769231       1     0.257725
    818   h1 0.596491       1       1 0.666667 0.954545       1 0.769231 0.769231       1     0.224607
    819   h1 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    820   h1 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    821   h1 0.894737       1       1 0.952381 0.668182       1 0.769231 0.923077       1     0.404292
    822   h1 1.000000       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    823   h1 1.000000       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    860   h1 0.795322       1       1 0.952381 0.763636       1 0.846154 0.769231       1     0.376484
    861   h1 0.888889       1       1 1.000000 0.800000       1 0.846154 0.769231       1     0.462853
    862   h1 0.888889       1       1 1.000000 0.800000       1 0.846154 0.769231       1     0.462853
    863   h1 0.888889       1       1 1.000000 0.800000       1 0.846154 0.620879       1     0.373589
    864   h1 0.596491       1       1 0.666667 0.954545       1 1.000000 0.769231       1     0.291989
    865   h1 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    866   h1 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    867   h1 0.666667       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.358974
    868   h1 0.842105       1       1 0.642857 0.954545       1 0.683761 0.846154       1     0.298972
    869   h1 1.000000       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    870   h1 1.000000       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    871   h1 1.000000       1       1 0.676190 1.000000       1 0.769231 0.846154       1     0.440124
    872   h1 0.596491       1       1 0.700000 0.700000       1 0.757835 0.923077       1     0.204462
    873   h1 0.666667       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    874   h1 0.666667       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    875   h1 0.666667       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.231953
    876   h1 0.695906       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.374719
    877   h1 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    878   h1 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    879   h1 0.777778       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.418803
    880   h1 0.894737       1       1 0.700000 1.000000       1 0.814815 0.846154       1     0.431819
    881   h1 1.000000       1       1 0.700000 1.000000       1 0.846154 0.846154       1     0.501183
    882   h1 1.000000       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    883   h1 1.000000       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    884   h1 0.479532       1       1 0.647619 0.663636       1 0.925926 0.747253       1     0.142597
    885   h1 0.666667       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    886   h1 0.666667       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    887   h1 0.666667       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.287179
    888   h1 0.947368       1       1 0.952381 0.668182       1 0.769231 0.769231       1     0.356728
    889   h1 1.000000       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    890   h1 1.000000       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    891   h1 1.000000       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    892   h1 0.695906       1       1 0.761905 0.668182       1 0.769231 0.769231       1     0.209633
    893   h1 0.777778       1       1 0.800000 0.700000       1 0.769231 0.769231       1     0.257725
    894   h1 0.777778       1       1 0.800000 0.700000       1 0.769231 0.769231       1     0.257725
    895   h1 0.777778       1       1 0.900000 0.700000       1 0.555556 0.670330       1     0.182479
    916   h1 0.894737       1       1 0.661905 0.668182       1 0.846154 0.769231       1     0.257568
    917   h1 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    918   h1 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    919   h1 1.000000       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    920   h1 1.000000       1       1 0.500000 0.700000       1 0.532764 0.376374       1     0.070181
    921   h1 0.298246       1       1 0.904762 0.763636       1 0.307692 0.706044       1     0.044765
    922   h1 0.631579       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.298972
    923   h1 0.666667       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.315582
    924   h1 0.666667       1       1 1.000000 0.800000       1 0.769231 0.769231       1     0.315582
    925   h1 0.666667       1       1 0.714286 0.800000       1 0.740741 0.398352       1     0.112410
    926   h1 0.894737       1       1 0.900000 0.668182       1 0.923077 0.620879       1     0.308374
    927   h1 1.000000       1       1 0.900000 0.700000       1 0.923077 0.769231       1     0.447337
    928   h1 1.000000       1       1 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    929   h1 1.000000       1       1 1.000000 0.700000       1 0.923077 0.769231       1     0.497041
    930   h1 1.000000       1       1 0.714286 0.700000       1 0.547009 0.500000       1     0.136752
    931   h1 0.619883       1       1 0.700000 0.954545       1 0.769231 0.769231       1     0.245086
    932   h1 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    933   h1 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    934   h1 0.666667       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.276134
    935   h1 0.666667       1       1 0.500000 1.000000       1 0.455840 0.370879       1     0.056354
