 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.795322 0.736842       1 0.642857       1       1 0.769231 0.769231       1     0.222918
    816   h1 0.888889 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.286361
    817   h1 0.888889 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.286361
    818   h1 0.596491 0.947368       1 0.666667       1       1 0.769231 0.769231       1     0.222918
    819   h1 0.666667 1.000000       1 0.700000       1       1 0.769231 0.769231       1     0.276134
    820   h1 0.666667 1.000000       1 0.700000       1       1 0.769231 0.769231       1     0.276134
    821   h1 0.894737 0.631579       1 0.952381       1       1 0.769231 0.923077       1     0.382145
    822   h1 1.000000 0.666667       1 1.000000       1       1 0.769231 0.923077       1     0.473373
    823   h1 1.000000 0.666667       1 1.000000       1       1 0.769231 0.923077       1     0.473373
    860   h1 0.795322 0.631579       1 0.952381       1       1 0.846154 0.769231       1     0.311377
    861   h1 0.888889 0.666667       1 1.000000       1       1 0.846154 0.769231       1     0.385711
    862   h1 0.888889 0.666667       1 1.000000       1       1 0.846154 0.769231       1     0.385711
    863   h1 0.888889 0.666667       1 1.000000       1       1 0.846154 0.620879       1     0.311324
    864   h1 0.596491 0.947368       1 0.666667       1       1 1.000000 0.769231       1     0.289793
    865   h1 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    866   h1 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    867   h1 0.666667 1.000000       1 0.700000       1       1 1.000000 0.769231       1     0.358974
    868   h1 0.842105 0.573099       1 0.642857       1       1 0.683761 0.846154       1     0.179500
    869   h1 1.000000 0.777778       1 0.700000       1       1 0.769231 0.846154       1     0.354372
    870   h1 1.000000 0.777778       1 0.700000       1       1 0.769231 0.769231       1     0.322156
    871   h1 1.000000 0.777778       1 0.676190       1       1 0.769231 0.846154       1     0.342319
    872   h1 0.596491 0.666667       1 0.700000       1       1 0.757835 0.923077       1     0.194726
    873   h1 0.666667 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.220907
    874   h1 0.666667 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.220907
    875   h1 0.666667 0.666667       1 0.700000       1       1 0.769231 0.923077       1     0.220907
    876   h1 0.695906 1.000000       1 1.000000       1       1 0.769231 1.000000       1     0.535313
    877   h1 0.777778 1.000000       1 1.000000       1       1 0.769231 1.000000       1     0.598291
    878   h1 0.777778 1.000000       1 1.000000       1       1 0.769231 1.000000       1     0.598291
    879   h1 0.777778 1.000000       1 1.000000       1       1 0.769231 1.000000       1     0.598291
    880   h1 0.894737 0.649123       1 0.700000       1       1 0.814815 0.846154       1     0.280303
    881   h1 1.000000 0.666667       1 0.700000       1       1 0.846154 0.846154       1     0.334122
    882   h1 1.000000 0.666667       1 0.700000       1       1 0.769231 0.846154       1     0.303748
