 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    816   h1 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    817   h1 0.888889       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.368179
    818   h1 0.596491       1   0.700 0.666667       1       1 0.769231 0.769231       1     0.164712
    819   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    820   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.769231       1     0.193294
    821   h1 0.894737       1   0.800 0.952381       1       1 0.769231 0.923077       1     0.484050
    822   h1 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    823   h1 1.000000       1   0.800 1.000000       1       1 0.769231 0.923077       1     0.568047
    860   h1 0.795322       1   0.665 0.952381       1       1 0.846154 0.769231       1     0.327854
    861   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    862   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.769231       1     0.404997
    863   h1 0.888889       1   0.700 1.000000       1       1 0.846154 0.620879       1     0.326890
    864   h1 0.596491       1   0.855 0.666667       1       1 1.000000 0.769231       1     0.261538
    865   h1 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    866   h1 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    867   h1 0.666667       1   0.900 0.700000       1       1 1.000000 0.769231       1     0.323077
    868   h1 0.842105       1   0.900 0.642857       1       1 0.683761 0.846154       1     0.281888
    869   h1 1.000000       1   1.000 0.700000       1       1 0.769231 0.846154       1     0.455621
    870   h1 1.000000       1   1.000 0.700000       1       1 0.769231 0.769231       1     0.414201
    871   h1 1.000000       1   1.000 0.676190       1       1 0.769231 0.846154       1     0.440124
    872   h1 0.596491       1   0.700 0.700000       1       1 0.757835 0.923077       1     0.204462
    873   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    874   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    875   h1 0.666667       1   0.700 0.700000       1       1 0.769231 0.923077       1     0.231953
    876   h1 0.695906       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.374719
    877   h1 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    878   h1 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    879   h1 0.777778       1   0.700 1.000000       1       1 0.769231 1.000000       1     0.418803
    880   h1 0.894737       1   1.000 0.700000       1       1 0.814815 0.846154       1     0.431819
    881   h1 1.000000       1   1.000 0.700000       1       1 0.846154 0.846154       1     0.501183
    882   h1 1.000000       1   1.000 0.700000       1       1 0.769231 0.846154       1     0.455621
    883   h1 1.000000       1   1.000 0.700000       1       1 0.769231 0.846154       1     0.455621
    884   h1 0.479532       1   0.625 0.647619       1       1 0.925926 0.747253       1     0.134295
    885   h1 0.666667       1   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    886   h1 0.666667       1   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    887   h1 0.666667       1   0.700 0.800000       1       1 1.000000 0.769231       1     0.287179
    888   h1 0.947368       1   0.700 0.952381       1       1 0.769231 0.769231       1     0.373715
    889   h1 1.000000       1   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    890   h1 1.000000       1   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    891   h1 1.000000       1   0.700 1.000000       1       1 0.769231 0.769231       1     0.414201
    892   h1 0.695906       1   1.000 0.761905       1       1 0.769231 0.769231       1     0.313736
    893   h1 0.777778       1   1.000 0.800000       1       1 0.769231 0.769231       1     0.368179
    894   h1 0.777778       1   1.000 0.800000       1       1 0.769231 0.769231       1     0.368179
    895   h1 0.777778       1   1.000 0.900000       1       1 0.555556 0.670330       1     0.260684
