 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    709   h1 0.857143 0.666667       1 1.000000       1 0.727273 0.857143       1       1     0.356215
    710   h1 0.900000 0.700000       1 1.000000       1 0.666667 0.857143       1       1     0.360000
    711   h1 0.900000 0.700000       1 0.826087       1 0.636364 0.857143       1       1     0.283874
    756   h1 0.952381 0.666667       1 0.727273       1 0.872727 0.785714       1       1     0.316636
    757   h1 1.000000 0.700000       1 0.727273       1 0.909091 0.785714       1       1     0.363636
    758   h1 1.000000 0.700000       1 0.727273       1 0.909091 0.785714       1       1     0.363636
    759   h1 1.000000 0.700000       1 0.727273       1 0.871212 0.785714       1       1     0.348485
    760   h1 0.666667 0.761905       1 1.000000       1 0.960000 0.785714       1       1     0.383129
    761   h1 0.700000 0.800000       1 1.000000       1 1.000000 0.785714       1       1     0.440000
    762   h1 0.700000 0.800000       1 1.000000       1 1.000000 0.785714       1       1     0.440000
    763   h1 0.700000 0.800000       1 1.000000       1 1.000000 0.785714       1       1     0.440000
    764   h1 0.666667 0.952381       1 0.695652       1 0.698182 0.619816       1       1     0.191136
    765   h1 0.700000 1.000000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    766   h1 0.700000 1.000000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    767   h1 0.700000 1.000000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    768   h1 0.761905 0.557143       1 0.664032       1 0.694545 0.730415       1       1     0.142997
    769   h1 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    770   h1 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    771   h1 1.000000 0.661905       1 0.521739       1 0.727273 0.785714       1       1     0.197338
    772   h1 0.652381 0.800000       1 0.818182       1 0.818182 0.771889       1       1     0.269678
    773   h1 0.700000 0.800000       1 0.818182       1 0.818182 0.785714       1       1     0.294545
    774   h1 0.700000 0.800000       1 0.818182       1 0.818182 0.785714       1       1     0.294545
    775   h1 0.700000 0.800000       1 0.818182       1 0.647727 0.785714       1       1     0.233182
    776   h1 0.633333 1.000000       1 1.000000       1 1.000000 0.764977       1       1     0.484485
    777   h1 0.700000 1.000000       1 1.000000       1 1.000000 0.785714       1       1     0.550000
    778   h1 0.700000 1.000000       1 1.000000       1 1.000000 0.785714       1       1     0.550000
    779   h1 0.700000 1.000000       1 1.000000       1 0.791667 0.785714       1       1     0.435417
    780   h1 0.904762 0.690476       1 0.727273       1 0.727273 0.744240       1       1     0.245918
    781   h1 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    782   h1 1.000000 0.700000       1 0.727273       1 0.727273 0.785714       1       1     0.290909
    783   h1 1.000000 0.700000       1 0.727273       1 0.515152 0.771889       1       1     0.202435
    784   h1 0.604762 0.533333       1 0.584980       1 0.651515 0.647465       1       1     0.079591
    785   h1 0.700000 0.800000       1 0.727273       1 0.727273 0.785714       1       1     0.232727
    786   h1 0.700000 0.800000       1 0.727273       1 0.727273 0.785714       1       1     0.232727
    787   h1 0.700000 0.800000       1 0.656126       1 0.727273 0.751152       1       1     0.200725
