 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    816   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.372270
    817   h1 0.888889 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.372270
    818   h1 0.596491 0.947368   0.700 0.666667       1       1 0.769231       1       1     0.202855
    819   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    820   h1 0.666667 1.000000   0.700 0.700000       1       1 0.769231       1       1     0.251282
    821   h1 0.894737 0.631579   0.800 0.952381       1       1 0.769231       1       1     0.331192
    822   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    823   h1 1.000000 0.666667   0.800 1.000000       1       1 0.769231       1       1     0.410256
    860   h1 0.795322 0.631579   0.665 0.952381       1       1 0.846154       1       1     0.269186
    861   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    862   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    863   h1 0.888889 0.666667   0.700 1.000000       1       1 0.846154       1       1     0.350997
    864   h1 0.596491 0.947368   0.855 0.666667       1       1 1.000000       1       1     0.322105
    865   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    866   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    867   h1 0.666667 1.000000   0.900 0.700000       1       1 1.000000       1       1     0.420000
    868   h1 0.842105 0.573099   0.900 0.642857       1       1 0.683761       1       1     0.190923
    869   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    870   h1 1.000000 0.777778   1.000 0.700000       1       1 0.769231       1       1     0.418803
    871   h1 1.000000 0.777778   1.000 0.676190       1       1 0.769231       1       1     0.404558
    872   h1 0.596491 0.666667   0.700 0.700000       1       1 0.757835       1       1     0.147667
    873   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.167521
    874   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.167521
    875   h1 0.666667 0.666667   0.700 0.700000       1       1 0.769231       1       1     0.167521
    876   h1 0.695906 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.374719
    877   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    878   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    879   h1 0.777778 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.418803
    880   h1 0.894737 0.649123   1.000 0.700000       1       1 0.814815       1       1     0.331268
    881   h1 1.000000 0.666667   1.000 0.700000       1       1 0.846154       1       1     0.394872
    882   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1       1     0.358974
    883   h1 1.000000 0.666667   1.000 0.700000       1       1 0.769231       1       1     0.358974
    884   h1 0.479532 0.736842   0.625 0.647619       1       1 0.925926       1       1     0.132424
    885   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1       1     0.373333
    886   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1       1     0.373333
    887   h1 0.666667 1.000000   0.700 0.800000       1       1 1.000000       1       1     0.373333
    888   h1 0.947368 0.947368   0.700 0.952381       1       1 0.769231       1       1     0.460260
    889   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.538462
    890   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.538462
    891   h1 1.000000 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.538462
    892   h1 0.695906 0.631579   1.000 0.761905       1       1 0.769231       1       1     0.257594
    893   h1 0.777778 0.666667   1.000 0.800000       1       1 0.769231       1       1     0.319088
    894   h1 0.777778 0.666667   1.000 0.800000       1       1 0.769231       1       1     0.319088
    895   h1 0.777778 0.666667   1.000 0.900000       1       1 0.555556       1       1     0.259259
    916   h1 0.894737 0.631579   0.900 0.661905       1       1 0.846154       1       1     0.284846
    917   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    918   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    919   h1 1.000000 0.666667   0.900 0.700000       1       1 0.846154       1       1     0.355385
    920   h1 1.000000 0.666667   0.810 0.500000       1       1 0.532764       1       1     0.143846
    921   h1 0.298246 0.947368   0.510 0.904762       1       1 0.307692       1       1     0.040116
    922   h1 0.631579 1.000000   0.690 1.000000       1       1 0.769231       1       1     0.335223
    923   h1 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.358974
    924   h1 0.666667 1.000000   0.700 1.000000       1       1 0.769231       1       1     0.358974
    925   h1 0.666667 1.000000   0.650 0.714286       1       1 0.740741       1       1     0.229277
    926   h1 0.894737 0.631579   1.000 0.900000       1       1 0.923077       1       1     0.469465
    927   h1 1.000000 0.666667   1.000 0.900000       1       1 0.923077       1       1     0.553846
    928   h1 1.000000 0.666667   1.000 1.000000       1       1 0.923077       1       1     0.615385
    929   h1 1.000000 0.666667   1.000 1.000000       1       1 0.923077       1       1     0.615385
    930   h1 1.000000 0.666667   0.900 0.714286       1       1 0.547009       1       1     0.234432
    931   h1 0.619883 0.736842   0.800 0.700000       1       1 0.769231       1       1     0.196756
    932   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1       1     0.223362
    933   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1       1     0.223362
    934   h1 0.666667 0.777778   0.800 0.700000       1       1 0.769231       1       1     0.223362
    935   h1 0.666667 0.777778   0.720 0.500000       1       1 0.455840       1       1     0.085090
