 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    709   h1 0.857143 0.666667       1 1.000000 0.727273       1 0.857143       1       1     0.356215
    710   h1 0.900000 0.700000       1 1.000000 0.727273       1 0.857143       1       1     0.392727
    711   h1 0.900000 0.700000       1 0.826087 0.594697       1 0.857143       1       1     0.265287
    756   h1 0.952381 0.666667       1 0.727273 0.727273       1 0.785714       1       1     0.263863
    757   h1 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    758   h1 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    759   h1 1.000000 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    760   h1 0.666667 0.761905       1 1.000000 0.727273       1 0.785714       1       1     0.290249
    761   h1 0.700000 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.320000
    762   h1 0.700000 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.320000
    763   h1 0.700000 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.320000
    764   h1 0.666667 0.952381       1 0.695652 1.000000       1 0.619816       1       1     0.273763
    765   h1 0.700000 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    766   h1 0.700000 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    767   h1 0.700000 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    768   h1 0.761905 0.557143       1 0.664032 0.750000       1 0.730415       1       1     0.154414
    769   h1 1.000000 0.700000       1 0.727273 0.818182       1 0.785714       1       1     0.327273
    770   h1 1.000000 0.700000       1 0.727273 0.818182       1 0.785714       1       1     0.327273
    771   h1 1.000000 0.661905       1 0.521739 0.818182       1 0.785714       1       1     0.222005
    772   h1 0.652381 0.800000       1 0.818182 0.727273       1 0.771889       1       1     0.239714
    773   h1 0.700000 0.800000       1 0.818182 0.727273       1 0.785714       1       1     0.261818
    774   h1 0.700000 0.800000       1 0.818182 0.727273       1 0.785714       1       1     0.261818
    775   h1 0.700000 0.800000       1 0.818182 0.621212       1 0.785714       1       1     0.223636
    776   h1 0.633333 1.000000       1 1.000000 0.727273       1 0.764977       1       1     0.352353
    777   h1 0.700000 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.400000
    778   h1 0.700000 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.400000
    779   h1 0.700000 1.000000       1 1.000000 0.636364       1 0.785714       1       1     0.350000
    780   h1 0.904762 0.690476       1 0.727273 1.000000       1 0.744240       1       1     0.338137
    781   h1 1.000000 0.700000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    782   h1 1.000000 0.700000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    783   h1 1.000000 0.700000       1 0.727273 0.916667       1 0.771889       1       1     0.360215
    784   h1 0.604762 0.533333       1 0.584980 0.818182       1 0.647465       1       1     0.099952
    785   h1 0.700000 0.800000       1 0.727273 0.818182       1 0.785714       1       1     0.261818
    786   h1 0.700000 0.800000       1 0.727273 0.818182       1 0.785714       1       1     0.261818
    787   h1 0.700000 0.800000       1 0.656126 0.818182       1 0.751152       1       1     0.225815
    788   h1 0.761905 0.952381       1 1.000000 0.727273       1 0.785714       1       1     0.414642
    789   h1 0.800000 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    790   h1 0.800000 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    791   h1 0.800000 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    792   h1 1.000000 0.666667       1 0.909091 0.727273       1 0.785714       1       1     0.346320
    793   h1 1.000000 0.700000       1 0.909091 0.727273       1 0.785714       1       1     0.363636
    794   h1 1.000000 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
    795   h1 1.000000 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
    796   h1 0.647619 0.761905       1 0.727273 1.000000       1 0.785714       1       1     0.281957
    797   h1 0.700000 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.320000
    798   h1 0.700000 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.320000
    799   h1 0.700000 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.320000
