 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1       1 0.769231       1     0.193635
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231       1     0.260589
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1       1 0.769231       1     0.260589
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1       1 0.769231       1     0.276621
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1       1 0.923077       1     0.331945
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077       1     0.430769
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1       1 0.923077       1     0.430769
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1       1 0.769231       1     0.281012
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.769231       1     0.364672
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.769231       1     0.364672
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1       1 0.620879       1     0.294343
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1       1 0.769231       1     0.276621
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1       1 0.769231       1     0.358974
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1       1 0.846154       1     0.250586
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1       1 0.846154       1     0.460684
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1       1 0.769231       1     0.418803
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1       1 0.846154       1     0.445014
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.179865
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.201026
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.201026
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1       1 0.923077       1     0.201026
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.487135
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1       1 1.000000       1     0.544444
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1       1 0.846154       1     0.344009
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154       1     0.394872
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154       1     0.394872
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1       1 0.846154       1     0.394872
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1       1 0.747253       1     0.113477
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1       1 0.769231       1     0.287179
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1       1 0.769231       1     0.439339
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.538462
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.538462
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1       1 0.769231       1     0.538462
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1       1 0.769231       1     0.172120
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1       1 0.769231       1     0.223362
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1       1 0.769231       1     0.223362
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1       1 0.670330       1     0.218974
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1       1 0.769231       1     0.192252
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1       1 0.769231       1     0.251282
