 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    866   h1 0.666667 1.000000   0.900 0.700000       1       1       1 0.769231       1     0.323077
    867   h1 0.666667 1.000000   0.900 0.700000       1       1       1 0.769231       1     0.323077
    868   h1 0.842105 0.573099   0.900 0.642857       1       1       1 0.846154       1     0.236267
    869   h1 1.000000 0.777778   1.000 0.700000       1       1       1 0.846154       1     0.460684
    870   h1 1.000000 0.777778   1.000 0.700000       1       1       1 0.769231       1     0.418803
    871   h1 1.000000 0.777778   1.000 0.676190       1       1       1 0.846154       1     0.445014
    872   h1 0.596491 0.666667   0.700 0.700000       1       1       1 0.923077       1     0.179865
    873   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077       1     0.201026
    874   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077       1     0.201026
    875   h1 0.666667 0.666667   0.700 0.700000       1       1       1 0.923077       1     0.201026
    876   h1 0.695906 1.000000   0.700 1.000000       1       1       1 1.000000       1     0.487135
    877   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000       1     0.544444
    878   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000       1     0.544444
    879   h1 0.777778 1.000000   0.700 1.000000       1       1       1 1.000000       1     0.544444
    880   h1 0.894737 0.649123   1.000 0.700000       1       1       1 0.846154       1     0.344009
    881   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154       1     0.394872
    882   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154       1     0.394872
    883   h1 1.000000 0.666667   1.000 0.700000       1       1       1 0.846154       1     0.394872
    884   h1 0.479532 0.736842   0.625 0.647619       1       1       1 0.747253       1     0.106871
    885   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231       1     0.287179
    886   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231       1     0.287179
    887   h1 0.666667 1.000000   0.700 0.800000       1       1       1 0.769231       1     0.287179
    888   h1 0.947368 0.947368   0.700 0.952381       1       1       1 0.769231       1     0.460260
    889   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231       1     0.538462
    890   h1 1.000000 1.000000   0.700 1.000000       1       1       1 0.769231       1     0.538462
