 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1 0.000000 0.000000 0.062500 0.000000     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1 0.000000 0.000000 0.062500 0.000000     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1 0.000000 0.000000 0.044643 0.000000     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1 0.962963 0.800000 0.812500 0.764706     0.230151
    348   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000 0.812500 0.823529     0.291979
    349   h0 0.569170       1 0.640000 0.420000       1 0.407407 0.635294 0.580357 0.390093     0.008965
    350   h0 0.695652       1 0.610909 0.240000       1 0.888889 0.866667 0.125000 0.058824     0.000578
    351   h0 0.727273       1 0.636364 0.250000       1 0.923077 0.866667 0.125000 0.058824     0.000681
    352   h0 0.600791       1 0.407273 0.140000       1 0.376068 0.688235 0.089286 0.027864     0.000022
    353   h0 0.956522       1 0.436364 0.000000       1 0.074074 0.000000 0.000000 0.000000     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1 0.076923 0.000000 0.000000 0.000000     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1 0.031339 0.000000 0.000000 0.000000     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1 0.814815 0.933333 0.812500 0.823529     0.271864
    393   h0 1.000000       1 0.727273 0.833333       1 0.846154 0.933333 0.812500 0.823529     0.320261
    394   h0 1.000000       1 0.727273 0.448718       1 0.846154 0.741176 0.580357 0.390093     0.046335
    395   h0 1.000000       1 0.669091 0.000000       1 0.501425 0.000000 0.000000 0.000000     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1 0.740741 0.933333 0.812500 0.882353     0.231100
    397   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333 0.812500 0.860681     0.265555
    398   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333 0.687500 0.823529     0.215001
    399   h0 0.727273       1 0.669091 0.769231       1 0.455840 0.658824 0.225000 0.238390     0.006030
    400   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.229703
    401   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.229703
    402   h0 0.909091       1 0.818182 0.680000       1 0.769231 0.800000 0.792857 0.823529     0.203229
    403   h0 0.909091       1 0.654545 0.115385       1 0.598291 0.333333 0.278571 0.043344     0.000165
    404   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000 0.823529     0.215001
    405   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000 0.823529     0.215001
    406   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000 0.875000 0.823529     0.215001
    407   h0 0.703557       1 0.461818 0.384615       1 0.188034 0.405882 0.350000 0.068111     0.000227
    408   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.304910
    409   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.304910
    410   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000 0.875000 0.823529     0.304910
    411   h0 0.723320       1 0.490909 0.461538       1 0.222222 0.423529 0.350000 0.065015     0.000351
    412   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.308824
    413   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.308824
    414   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000 0.812500 0.767802     0.287926
    415   h0 1.000000       1 0.680000 0.317308       1 0.142450 0.358824 0.325000 0.038700     0.000139
    416   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.204181
    417   h0 0.727273       1 0.909091 0.750000       1 0.769231 0.800000 0.812500 0.823529     0.204181
