 ChipID Half   Layer0   Layer1   Layer2  Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    710   h1 1.000000 0.777778 0.777778       1       1   0.760 0.916667       1       1     0.421440
    711   h1 1.000000 0.777778 0.777778       1       1   0.700 0.916667       1       1     0.388169
    756   h1 0.555556 0.888889 0.602339       1       1   0.900 0.750000       1       1     0.200780
    757   h1 0.625000 1.000000 0.666667       1       1   0.900 0.750000       1       1     0.281250
    758   h1 0.625000 1.000000 0.666667       1       1   0.900 0.750000       1       1     0.281250
    759   h1 0.625000 1.000000 0.666667       1       1   0.900 0.750000       1       1     0.281250
    760   h1 0.888889 0.691358 0.947368       1       1   0.700 0.916667       1       1     0.373576
    761   h1 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    762   h1 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    763   h1 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    764   h1 0.000000 0.691358 0.210526       1       1   1.000 0.256667       1       1     0.000000
    765   h1 0.486111 0.777778 0.596491       1       1   1.000 0.916667       1       1     0.206731
    766   h1 0.625000 0.777778 0.666667       1       1   1.000 0.916667       1       1     0.297068
    767   h1 0.625000 0.777778 0.666667       1       1   1.000 0.916667       1       1     0.297068
    768   h1 0.555556 0.444444 0.631579       1       1   0.490 0.430000       1       1     0.032858
    769   h1 1.000000 0.888889 1.000000       1       1   0.700 0.750000       1       1     0.466667
    770   h1 1.000000 0.888889 1.000000       1       1   0.700 0.750000       1       1     0.466667
    771   h1 1.000000 0.888889 1.000000       1       1   0.700 0.750000       1       1     0.466667
    772   h1 0.500000 0.481481 0.526316       1       1   0.695 0.573333       1       1     0.050488
    773   h1 0.750000 0.666667 0.666667       1       1   0.700 0.750000       1       1     0.175000
    774   h1 0.750000 0.666667 0.666667       1       1   0.700 0.750000       1       1     0.175000
    775   h1 0.750000 0.666667 0.666667       1       1   0.700 0.750000       1       1     0.175000
    776   h1 0.583333 0.777778 0.614035       1       1   0.950 0.573333       1       1     0.151739
    777   h1 0.875000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.510417
    778   h1 0.875000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.510417
    779   h1 0.875000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.510417
    780   h1 0.583333 0.506173 0.789474       1       1   0.680 0.660000       1       1     0.104618
    781   h1 0.875000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.374306
    782   h1 0.875000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.374306
    783   h1 0.875000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.374306
    784   h1 0.208333 0.444444 0.345029       1       1   0.480 0.586667       1       1     0.008996
    785   h1 0.750000 1.000000 0.666667       1       1   0.800 0.916667       1       1     0.366667
    786   h1 0.750000 1.000000 0.666667       1       1   0.800 0.916667       1       1     0.366667
    787   h1 0.750000 1.000000 0.666667       1       1   0.800 0.916667       1       1     0.366667
    788   h1 0.888889 0.395062 0.947368       1       1   1.000 0.673333       1       1     0.224007
    789   h1 1.000000 0.629630 1.000000       1       1   1.000 0.750000       1       1     0.472222
    790   h1 1.000000 0.666667 1.000000       1       1   1.000 0.750000       1       1     0.500000
    791   h1 1.000000 0.666667 1.000000       1       1   1.000 0.750000       1       1     0.500000
    792   h1 0.555556 0.888889 0.631579       1       1   0.700 0.750000       1       1     0.163743
    793   h1 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
    794   h1 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
    795   h1 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
    796   h1 0.944444 0.592593 0.947368       1       1   1.000 0.750000       1       1     0.397661
    797   h1 1.000000 0.666667 1.000000       1       1   1.000 0.750000       1       1     0.500000
    798   h1 1.000000 0.666667 1.000000       1       1   1.000 0.750000       1       1     0.500000
    799   h1 1.000000 0.666667 1.000000       1       1   1.000 0.750000       1       1     0.500000
