 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    695   h1 0.666667       1 0.777778 0.666667   1.000 1.000000       1       1       1     0.345679
    696   h1 0.666667       1 0.777778 0.666667   1.000 1.000000       1       1       1     0.345679
    712   h1 0.592593       1 0.894737 0.633333   1.000 0.666667       1       1       1     0.223868
    713   h1 0.666667       1 1.000000 0.666667   1.000 0.700000       1       1       1     0.311111
    714   h1 0.666667       1 1.000000 0.666667   1.000 0.700000       1       1       1     0.311111
    715   h1 0.666667       1 1.000000 0.666667   1.000 0.700000       1       1       1     0.311111
    716   h1 0.888889       1 0.736842 0.738889   0.700 0.761905       1       1       1     0.258107
    717   h1 1.000000       1 0.777778 0.777778   0.700 0.800000       1       1       1     0.338765
    718   h1 1.000000       1 0.777778 0.777778   0.700 0.800000       1       1       1     0.338765
    719   h1 1.000000       1 0.777778 0.777778   0.700 0.800000       1       1       1     0.338765
    720   h1 0.395062       1 0.631579 0.900000   0.900 0.857143       1       1       1     0.173233
    721   h1 0.629630       1 0.666667 1.000000   0.900 0.900000       1       1       1     0.340000
    722   h1 0.666667       1 0.666667 1.000000   0.900 0.900000       1       1       1     0.360000
    723   h1 0.666667       1 0.666667 1.000000   0.900 0.900000       1       1       1     0.360000
    724   h1 0.444444       1 0.526316 0.500000   0.540 0.571429       1       1       1     0.036090
    725   h1 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    726   h1 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    727   h1 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    728   h1 0.481481       1 0.561404 0.850000   0.670 0.952381       1       1       1     0.146608
    729   h1 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    730   h1 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    731   h1 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    732   h1 0.722222       1 0.842105 0.566667   0.950 0.761905       1       1       1     0.249453
    733   h1 1.000000       1 1.000000 0.777778   1.000 0.800000       1       1       1     0.622222
    734   h1 1.000000       1 1.000000 0.777778   1.000 0.800000       1       1       1     0.622222
    735   h1 1.000000       1 1.000000 0.666667   1.000 0.800000       1       1       1     0.533333
    736   h1 0.475309       1 0.596491 0.566667   0.700 0.652381       1       1       1     0.073368
    737   h1 0.666667       1 0.666667 0.666667   0.700 0.700000       1       1       1     0.145185
    738   h1 0.666667       1 0.666667 0.666667   0.700 0.700000       1       1       1     0.145185
    739   h1 0.666667       1 0.666667 0.666667   0.700 0.700000       1       1       1     0.145185
    740   h1 0.395062       1 0.514620 0.700000   0.520 0.761905       1       1       1     0.056384
    741   h1 0.888889       1 0.888889 1.000000   0.700 1.000000       1       1       1     0.553086
    742   h1 0.888889       1 0.888889 1.000000   0.700 1.000000       1       1       1     0.553086
    743   h1 0.888889       1 0.888889 1.000000   0.700 1.000000       1       1       1     0.553086
    744   h1 0.691358       1 0.842105 0.316667   1.000 0.666667       1       1       1     0.122908
    745   h1 0.777778       1 0.888889 0.633333   1.000 0.700000       1       1       1     0.306502
    746   h1 0.777778       1 0.888889 0.666667   1.000 0.700000       1       1       1     0.322634
    747   h1 0.777778       1 0.888889 0.666667   1.000 0.700000       1       1       1     0.322634
    748   h1 0.691358       1 0.631579 0.950000   0.700 0.666667       1       1       1     0.193580
    749   h1 0.777778       1 0.666667 1.000000   0.700 0.700000       1       1       1     0.254074
    750   h1 0.777778       1 0.666667 1.000000   0.700 0.700000       1       1       1     0.254074
    751   h1 0.777778       1 0.666667 1.000000   0.700 0.700000       1       1       1     0.254074
    752   h1 0.839506       1 0.947368 0.738889   0.800 0.952381       1       1       1     0.447737
    753   h1 0.888889       1 1.000000 0.777778   0.800 1.000000       1       1       1     0.553086
    754   h1 0.888889       1 1.000000 0.777778   0.800 1.000000       1       1       1     0.553086
    755   h1 0.888889       1 1.000000 0.777778   0.800 1.000000       1       1       1     0.553086
