 ChipID Half  Layer0  Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    821   h1       1       1       1 0.952381 0.668182       1 0.769231 0.923077       1     0.451856
    822   h1       1       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    823   h1       1       1       1 1.000000 0.700000       1 0.769231 0.923077       1     0.497041
    860   h1       1       1       1 0.952381 0.763636       1 0.846154 0.769231       1     0.473373
    861   h1       1       1       1 1.000000 0.800000       1 0.846154 0.769231       1     0.520710
    862   h1       1       1       1 1.000000 0.800000       1 0.846154 0.769231       1     0.520710
    863   h1       1       1       1 1.000000 0.800000       1 0.846154 0.620879       1     0.420287
    864   h1       1       1       1 0.666667 0.954545       1 1.000000 0.769231       1     0.489510
    865   h1       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    866   h1       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    867   h1       1       1       1 0.700000 1.000000       1 1.000000 0.769231       1     0.538462
    868   h1       1       1       1 0.642857 0.954545       1 0.683761 0.846154       1     0.355030
    869   h1       1       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    870   h1       1       1       1 0.700000 1.000000       1 0.769231 0.769231       1     0.414201
    871   h1       1       1       1 0.676190 1.000000       1 0.769231 0.846154       1     0.440124
    872   h1       1       1       1 0.700000 0.700000       1 0.757835 0.923077       1     0.342774
    873   h1       1       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.347929
    874   h1       1       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.347929
    875   h1       1       1       1 0.700000 0.700000       1 0.769231 0.923077       1     0.347929
    876   h1       1       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    877   h1       1       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    878   h1       1       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    879   h1       1       1       1 1.000000 0.700000       1 0.769231 1.000000       1     0.538462
    880   h1       1       1       1 0.700000 1.000000       1 0.814815 0.846154       1     0.482621
    881   h1       1       1       1 0.700000 1.000000       1 0.846154 0.846154       1     0.501183
    882   h1       1       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    883   h1       1       1       1 0.700000 1.000000       1 0.769231 0.846154       1     0.455621
    884   h1       1       1       1 0.647619 0.663636       1 0.925926 0.747253       1     0.297368
    885   h1       1       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
    886   h1       1       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
    887   h1       1       1       1 0.800000 0.700000       1 1.000000 0.769231       1     0.430769
    888   h1       1       1       1 0.952381 0.668182       1 0.769231 0.769231       1     0.376547
    889   h1       1       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    890   h1       1       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    891   h1       1       1       1 1.000000 0.700000       1 0.769231 0.769231       1     0.414201
    892   h1       1       1       1 0.761905 0.668182       1 0.769231 0.769231       1     0.301237
    893   h1       1       1       1 0.800000 0.700000       1 0.769231 0.769231       1     0.331361
    894   h1       1       1       1 0.800000 0.700000       1 0.769231 0.769231       1     0.331361
    895   h1       1       1       1 0.900000 0.700000       1 0.555556 0.670330       1     0.234615
    916   h1       1       1       1 0.661905 0.668182       1 0.846154 0.769231       1     0.287870
    917   h1       1       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    918   h1       1       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    919   h1       1       1       1 0.700000 0.700000       1 0.846154 0.769231       1     0.318935
    920   h1       1       1       1 0.500000 0.700000       1 0.532764 0.376374       1     0.070181
    921   h1       1       1       1 0.904762 0.763636       1 0.307692 0.706044       1     0.150096
