 ChipID Half  Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    758   h1       1 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    759   h1       1 0.700000       1 0.727273 0.727273       1 0.785714       1       1     0.290909
    760   h1       1 0.761905       1 1.000000 0.727273       1 0.785714       1       1     0.435374
    761   h1       1 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    762   h1       1 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    763   h1       1 0.800000       1 1.000000 0.727273       1 0.785714       1       1     0.457143
    764   h1       1 0.952381       1 0.695652 1.000000       1 0.619816       1       1     0.410644
    765   h1       1 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.571429
    766   h1       1 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.571429
    767   h1       1 1.000000       1 0.727273 1.000000       1 0.785714       1       1     0.571429
    768   h1       1 0.557143       1 0.664032 0.750000       1 0.730415       1       1     0.202668
    769   h1       1 0.700000       1 0.727273 0.818182       1 0.785714       1       1     0.327273
    770   h1       1 0.700000       1 0.727273 0.818182       1 0.785714       1       1     0.327273
    771   h1       1 0.661905       1 0.521739 0.818182       1 0.785714       1       1     0.222005
    772   h1       1 0.800000       1 0.818182 0.727273       1 0.771889       1       1     0.367445
    773   h1       1 0.800000       1 0.818182 0.727273       1 0.785714       1       1     0.374026
    774   h1       1 0.800000       1 0.818182 0.727273       1 0.785714       1       1     0.374026
    775   h1       1 0.800000       1 0.818182 0.621212       1 0.785714       1       1     0.319481
    776   h1       1 1.000000       1 1.000000 0.727273       1 0.764977       1       1     0.556347
    777   h1       1 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.571429
    778   h1       1 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.571429
    779   h1       1 1.000000       1 1.000000 0.636364       1 0.785714       1       1     0.500000
    780   h1       1 0.690476       1 0.727273 1.000000       1 0.744240       1       1     0.373731
    781   h1       1 0.700000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    782   h1       1 0.700000       1 0.727273 1.000000       1 0.785714       1       1     0.400000
    783   h1       1 0.700000       1 0.727273 0.916667       1 0.771889       1       1     0.360215
    784   h1       1 0.533333       1 0.584980 0.818182       1 0.647465       1       1     0.165275
    785   h1       1 0.800000       1 0.727273 0.818182       1 0.785714       1       1     0.374026
    786   h1       1 0.800000       1 0.727273 0.818182       1 0.785714       1       1     0.374026
    787   h1       1 0.800000       1 0.656126 0.818182       1 0.751152       1       1     0.322593
    788   h1       1 0.952381       1 1.000000 0.727273       1 0.785714       1       1     0.544218
    789   h1       1 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.571429
    790   h1       1 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.571429
    791   h1       1 1.000000       1 1.000000 0.727273       1 0.785714       1       1     0.571429
    792   h1       1 0.666667       1 0.909091 0.727273       1 0.785714       1       1     0.346320
    793   h1       1 0.700000       1 0.909091 0.727273       1 0.785714       1       1     0.363636
    794   h1       1 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
    795   h1       1 0.700000       1 0.818182 0.727273       1 0.785714       1       1     0.327273
    796   h1       1 0.761905       1 0.727273 1.000000       1 0.785714       1       1     0.435374
    797   h1       1 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.457143
    798   h1       1 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.457143
    799   h1       1 0.800000       1 0.727273 1.000000       1 0.785714       1       1     0.457143
