 ChipID Half  Layer0   Layer1   Layer2  Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    758   h1       1 0.700000 0.818182       1       1 0.909091 0.785714       1       1     0.409091
    759   h1       1 0.700000 0.818182       1       1 0.871212 0.785714       1       1     0.392045
    760   h1       1 0.761905 0.710744       1       1 0.960000 0.785714       1       1     0.408460
    761   h1       1 0.800000 0.727273       1       1 1.000000 0.785714       1       1     0.457143
    762   h1       1 0.800000 0.727273       1       1 1.000000 0.785714       1       1     0.457143
    763   h1       1 0.800000 0.727273       1       1 1.000000 0.785714       1       1     0.457143
    764   h1       1 0.952381 0.818182       1       1 0.698182 0.619816       1       1     0.337203
    765   h1       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    766   h1       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    767   h1       1 1.000000 0.818182       1       1 0.727273 0.785714       1       1     0.467532
    768   h1       1 0.557143 0.863636       1       1 0.694545 0.730415       1       1     0.244100
    769   h1       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    770   h1       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    771   h1       1 0.661905 1.000000       1       1 0.727273 0.785714       1       1     0.378231
    772   h1       1 0.800000 0.727273       1       1 0.818182 0.771889       1       1     0.367445
    773   h1       1 0.800000 0.727273       1       1 0.818182 0.785714       1       1     0.374026
    774   h1       1 0.800000 0.727273       1       1 0.818182 0.785714       1       1     0.374026
    775   h1       1 0.800000 0.727273       1       1 0.647727 0.785714       1       1     0.296104
    776   h1       1 1.000000 0.727273       1       1 1.000000 0.764977       1       1     0.556347
    777   h1       1 1.000000 0.727273       1       1 1.000000 0.785714       1       1     0.571429
    778   h1       1 1.000000 0.727273       1       1 1.000000 0.785714       1       1     0.571429
    779   h1       1 1.000000 0.727273       1       1 0.791667 0.785714       1       1     0.452381
    780   h1       1 0.690476 1.000000       1       1 0.727273 0.744240       1       1     0.373731
    781   h1       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    782   h1       1 0.700000 1.000000       1       1 0.727273 0.785714       1       1     0.400000
    783   h1       1 0.700000 1.000000       1       1 0.515152 0.771889       1       1     0.278348
    784   h1       1 0.533333 0.694215       1       1 0.651515 0.647465       1       1     0.156183
    785   h1       1 0.800000 0.727273       1       1 0.727273 0.785714       1       1     0.332468
    786   h1       1 0.800000 0.727273       1       1 0.727273 0.785714       1       1     0.332468
    787   h1       1 0.800000 0.582645       1       1 0.727273 0.751152       1       1     0.254635
    788   h1       1 0.952381 0.727273       1       1 0.698182 0.785714       1       1     0.379963
    789   h1       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    790   h1       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    791   h1       1 1.000000 0.727273       1       1 0.727273 0.785714       1       1     0.415584
    792   h1       1 0.666667 1.000000       1       1 0.960000 0.785714       1       1     0.502857
    793   h1       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    794   h1       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    795   h1       1 0.700000 1.000000       1       1 1.000000 0.785714       1       1     0.550000
    796   h1       1 0.761905 0.727273       1       1 0.727273 0.785714       1       1     0.316636
    797   h1       1 0.800000 0.727273       1       1 0.787879 0.785714       1       1     0.360173
    798   h1       1 0.800000 0.727273       1       1 0.787879 0.785714       1       1     0.360173
    799   h1       1 0.800000 0.727273       1       1 0.696970 0.785714       1       1     0.318615
