 ChipID Half   Layer0   Layer1   Layer2  Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    707   h1 0.625000 0.888889 0.666667       1   1.000   0.740 1.000000       1       1     0.274074
    708   h1 0.625000 0.888889 0.666667       1   1.000   0.800 1.000000       1       1     0.296296
    709   h1 0.888889 0.691358 0.736842       1   0.665   0.800 0.916667       1       1     0.220825
    710   h1 1.000000 0.777778 0.777778       1   0.700   0.760 0.916667       1       1     0.295008
    711   h1 1.000000 0.777778 0.777778       1   0.700   0.700 0.916667       1       1     0.271718
    756   h1 0.555556 0.888889 0.602339       1   0.855   0.900 0.750000       1       1     0.171667
    757   h1 0.625000 1.000000 0.666667       1   0.900   0.900 0.750000       1       1     0.253125
    758   h1 0.625000 1.000000 0.666667       1   0.900   0.900 0.750000       1       1     0.253125
    759   h1 0.625000 1.000000 0.666667       1   0.900   0.900 0.750000       1       1     0.253125
    760   h1 0.888889 0.691358 0.947368       1   0.855   0.700 0.916667       1       1     0.319407
    761   h1 1.000000 0.777778 1.000000       1   0.900   0.700 0.916667       1       1     0.449167
    762   h1 1.000000 0.777778 1.000000       1   0.900   0.700 0.916667       1       1     0.449167
    763   h1 1.000000 0.777778 1.000000       1   0.900   0.700 0.916667       1       1     0.449167
    764   h1 0.000000 0.691358 0.210526       1   0.475   1.000 0.256667       1       1     0.000000
    765   h1 0.486111 0.777778 0.596491       1   0.690   1.000 0.916667       1       1     0.142645
    766   h1 0.625000 0.777778 0.666667       1   0.700   1.000 0.916667       1       1     0.207948
    767   h1 0.625000 0.777778 0.666667       1   0.700   1.000 0.916667       1       1     0.207948
    768   h1 0.555556 0.444444 0.631579       1   0.750   0.490 0.430000       1       1     0.024643
    769   h1 1.000000 0.888889 1.000000       1   1.000   0.700 0.750000       1       1     0.466667
    770   h1 1.000000 0.888889 1.000000       1   1.000   0.700 0.750000       1       1     0.466667
    771   h1 1.000000 0.888889 1.000000       1   1.000   0.700 0.750000       1       1     0.466667
    772   h1 0.500000 0.481481 0.526316       1   0.640   0.695 0.573333       1       1     0.032312
    773   h1 0.750000 0.666667 0.666667       1   0.700   0.700 0.750000       1       1     0.122500
    774   h1 0.750000 0.666667 0.666667       1   0.700   0.700 0.750000       1       1     0.122500
    775   h1 0.750000 0.666667 0.666667       1   0.700   0.700 0.750000       1       1     0.122500
    776   h1 0.583333 0.777778 0.614035       1   0.630   0.950 0.573333       1       1     0.095595
    777   h1 0.875000 1.000000 0.777778       1   0.700   1.000 0.750000       1       1     0.357292
    778   h1 0.875000 1.000000 0.777778       1   0.700   1.000 0.750000       1       1     0.357292
    779   h1 0.875000 1.000000 0.777778       1   0.700   1.000 0.750000       1       1     0.357292
    780   h1 0.583333 0.506173 0.789474       1   0.900   0.680 0.660000       1       1     0.094156
    781   h1 0.875000 0.666667 1.000000       1   1.000   0.700 0.916667       1       1     0.374306
    782   h1 0.875000 0.666667 1.000000       1   1.000   0.700 0.916667       1       1     0.374306
    783   h1 0.875000 0.666667 1.000000       1   1.000   0.700 0.916667       1       1     0.374306
    784   h1 0.208333 0.444444 0.345029       1   0.565   0.480 0.586667       1       1     0.005083
    785   h1 0.750000 1.000000 0.666667       1   0.700   0.800 0.916667       1       1     0.256667
    786   h1 0.750000 1.000000 0.666667       1   0.700   0.800 0.916667       1       1     0.256667
    787   h1 0.750000 1.000000 0.666667       1   0.700   0.800 0.916667       1       1     0.256667
    788   h1 0.888889 0.395062 0.947368       1   0.950   1.000 0.673333       1       1     0.212807
    789   h1 1.000000 0.629630 1.000000       1   1.000   1.000 0.750000       1       1     0.472222
    790   h1 1.000000 0.666667 1.000000       1   1.000   1.000 0.750000       1       1     0.500000
    791   h1 1.000000 0.666667 1.000000       1   1.000   1.000 0.750000       1       1     0.500000
    792   h1 0.555556 0.888889 0.631579       1   0.760   0.700 0.750000       1       1     0.124444
    793   h1 0.625000 1.000000 0.666667       1   0.800   0.700 0.750000       1       1     0.175000
    794   h1 0.625000 1.000000 0.666667       1   0.800   0.700 0.750000       1       1     0.175000
    795   h1 0.625000 1.000000 0.666667       1   0.800   0.700 0.750000       1       1     0.175000
    796   h1 0.944444 0.592593 0.947368       1   0.665   1.000 0.750000       1       1     0.264444
    797   h1 1.000000 0.666667 1.000000       1   0.700   1.000 0.750000       1       1     0.350000
    798   h1 1.000000 0.666667 1.000000       1   0.700   1.000 0.750000       1       1     0.350000
    799   h1 1.000000 0.666667 1.000000       1   0.700   1.000 0.750000       1       1     0.350000
