Configurations	Weights(%)
0.1.2.3.4.6.7	-4.24
0.1.2.3.4.6.8	-3.67
0.1.2.3.4.6.9	-4.36
0.1.2.3.4.7.8	-3.62
0.1.2.3.4.7.9	-4.14
0.1.2.3.4.8.9	-4.19
0.1.2.3.5.6.7	-4.12
0.1.2.3.5.6.8	-4.24
0.1.2.3.5.6.9	-4.56
0.1.2.3.5.7.8	-4.18
0.1.2.3.5.7.9	-4.25
0.1.2.3.5.8.9	-4.38
0.1.2.3.6.7.8	-3.79
0.1.2.3.6.7.9	-4.42
0.1.2.3.6.8.9	-4.46
0.1.2.3.7.8.9	-4.19
0.1.2.4.5.6.7	-4.07
0.1.2.4.5.6.8	-3.8
0.1.2.4.5.6.9	-4.21
0.1.2.4.5.7.8	-3.75
0.1.2.4.5.7.9	-3.99
0.1.2.4.5.8.9	-4.09
0.1.2.4.6.7.8	-3.44
0.1.2.4.6.7.9	-4.17
0.1.2.4.6.8.9	-4.16
0.1.2.4.7.8.9	-3.98
0.1.2.5.6.7.8	-3.78
0.1.2.5.6.7.9	-4.15
0.1.2.5.6.8.9	-4.22
0.1.2.5.7.8.9	-3.96
0.1.2.6.7.8.9	-4.16
0.1.3.4.5.6.7	-3.91
0.1.3.4.5.6.8	-3.84
0.1.3.4.5.6.9	-4.2
0.1.3.4.5.7.8	-3.78
0.1.3.4.5.7.9	-3.96
0.1.3.4.5.8.9	-4.06
0.1.3.4.6.7.8	-3.45
0.1.3.4.6.7.9	-4.16
0.1.3.4.6.8.9	-4.18
0.1.3.4.7.8.9	-3.96
0.1.3.5.6.7.8	-4.05
0.1.3.5.6.7.9	-4.26
0.1.3.5.6.8.9	-4.34
0.1.3.5.7.8.9	-4.05
0.1.3.6.7.8.9	-4.3
0.1.4.5.6.7.8	-3.54
0.1.4.5.6.7.9	-3.94
0.1.4.5.6.8.9	-3.99
0.1.4.5.7.8.9	-3.78
0.1.4.6.7.8.9	-4.01
0.1.5.6.7.8.9	-3.99
0.2.3.4.5.6.7	-4.38
0.2.3.4.5.6.8	-3.84
0.2.3.4.5.6.9	-4.5
0.2.3.4.5.7.8	-3.78
0.2.3.4.5.7.9	-4.27
0.2.3.4.5.8.9	-4.35
0.2.3.4.6.7.8	-3.47
0.2.3.4.6.7.9	-4.38
0.2.3.4.6.8.9	-4.36
0.2.3.4.7.8.9	-4.18
0.2.3.5.6.7.8	-3.86
0.2.3.5.6.7.9	-4.39
0.2.3.5.6.8.9	-4.45
0.2.3.5.7.8.9	-4.18
0.2.3.6.7.8.9	-4.3
0.2.4.5.6.7.8	-3.63
0.2.4.5.6.7.9	-4.25
0.2.4.5.6.8.9	-4.26
0.2.4.5.7.8.9	-4.08
0.2.4.6.7.8.9	-4.25
0.2.5.6.7.8.9	-4.1
0.3.4.5.6.7.8	-3.54
0.3.4.5.6.7.9	-4.13
0.3.4.5.6.8.9	-4.17
0.3.4.5.7.8.9	-3.96
0.3.4.6.7.8.9	-4.13
0.3.5.6.7.8.9	-4.11
0.4.5.6.7.8.9	-3.97
1.2.3.4.5.6.7	0.0
1.2.3.4.5.6.8	0.0
1.2.3.4.5.6.9	0.0
1.2.3.4.5.7.8	0.0
1.2.3.4.5.7.9	0.0
1.2.3.4.5.8.9	0.0
1.2.3.4.6.7.8	0.0
1.2.3.4.6.7.9	0.0
1.2.3.4.6.8.9	0.0
1.2.3.4.7.8.9	0.0
1.2.3.5.6.7.8	0.0
1.2.3.5.6.7.9	0.0
1.2.3.5.6.8.9	0.0
1.2.3.5.7.8.9	0.0
1.2.3.6.7.8.9	0.0
1.2.4.5.6.7.8	0.0
1.2.4.5.6.7.9	0.0
1.2.4.5.6.8.9	0.0
1.2.4.5.7.8.9	0.0
1.2.4.6.7.8.9	0.0
1.2.5.6.7.8.9	0.0
1.3.4.5.6.7.8	0.0
1.3.4.5.6.7.9	0.0
1.3.4.5.6.8.9	0.0
1.3.4.5.7.8.9	0.0
1.3.4.6.7.8.9	0.0
1.3.5.6.7.8.9	0.0
1.4.5.6.7.8.9	0.0
2.3.4.5.6.7.8	0.0
2.3.4.5.6.7.9	0.0
2.3.4.5.6.8.9	0.0
2.3.4.5.7.8.9	0.0
2.3.4.6.7.8.9	0.0
2.3.5.6.7.8.9	0.0
2.4.5.6.7.8.9	0.0
3.4.5.6.7.8.9	0.0
