Configurations	Weights(%)
0.1.2.3.4.5.6	23.88
0.1.2.3.4.5.7	20.72
0.1.2.3.4.5.8	20.59
0.1.2.3.4.5.9	20.59
0.1.2.3.4.6.7	20.72
0.1.2.3.4.6.8	20.59
0.1.2.3.4.6.9	20.59
0.1.2.3.4.7.8	20.59
0.1.2.3.4.7.9	20.59
0.1.2.3.4.8.9	20.59
0.1.2.3.5.6.7	20.72
0.1.2.3.5.6.8	20.59
0.1.2.3.5.6.9	20.59
0.1.2.3.5.7.8	20.59
0.1.2.3.5.7.9	20.59
0.1.2.3.5.8.9	20.59
0.1.2.3.6.7.8	20.59
0.1.2.3.6.7.9	20.59
0.1.2.3.6.8.9	20.59
0.1.2.3.7.8.9	20.59
0.1.2.4.5.6.7	20.72
0.1.2.4.5.6.8	20.59
0.1.2.4.5.6.9	20.59
0.1.2.4.5.7.8	20.59
0.1.2.4.5.7.9	20.59
0.1.2.4.5.8.9	20.59
0.1.2.4.6.7.8	20.59
0.1.2.4.6.7.9	20.59
0.1.2.4.6.8.9	20.59
0.1.2.4.7.8.9	20.59
0.1.2.5.6.7.8	20.59
0.1.2.5.6.7.9	20.59
0.1.2.5.6.8.9	20.59
0.1.2.5.7.8.9	20.59
0.1.2.6.7.8.9	20.59
0.1.3.4.5.6.7	20.72
0.1.3.4.5.6.8	20.59
0.1.3.4.5.6.9	20.59
0.1.3.4.5.7.8	20.59
0.1.3.4.5.7.9	20.59
0.1.3.4.5.8.9	20.59
0.1.3.4.6.7.8	20.59
0.1.3.4.6.7.9	20.59
0.1.3.4.6.8.9	20.59
0.1.3.4.7.8.9	20.59
0.1.3.5.6.7.8	20.59
0.1.3.5.6.7.9	20.59
0.1.3.5.6.8.9	20.59
0.1.3.5.7.8.9	20.59
0.1.3.6.7.8.9	20.59
0.1.4.5.6.7.8	20.59
0.1.4.5.6.7.9	20.59
0.1.4.5.6.8.9	20.59
0.1.4.5.7.8.9	20.59
0.1.4.6.7.8.9	20.59
0.1.5.6.7.8.9	20.59
0.2.3.4.5.6.7	0.0
0.2.3.4.5.6.8	0.0
0.2.3.4.5.6.9	0.0
0.2.3.4.5.7.8	0.0
0.2.3.4.5.7.9	0.0
0.2.3.4.5.8.9	0.0
0.2.3.4.6.7.8	0.0
0.2.3.4.6.7.9	0.0
0.2.3.4.6.8.9	0.0
0.2.3.4.7.8.9	0.0
0.2.3.5.6.7.8	0.0
0.2.3.5.6.7.9	0.0
0.2.3.5.6.8.9	0.0
0.2.3.5.7.8.9	0.0
0.2.3.6.7.8.9	0.0
0.2.4.5.6.7.8	0.0
0.2.4.5.6.7.9	0.0
0.2.4.5.6.8.9	0.0
0.2.4.5.7.8.9	0.0
0.2.4.6.7.8.9	0.0
0.2.5.6.7.8.9	0.0
0.3.4.5.6.7.8	0.0
0.3.4.5.6.7.9	0.0
0.3.4.5.6.8.9	0.0
0.3.4.5.7.8.9	0.0
0.3.4.6.7.8.9	0.0
0.3.5.6.7.8.9	0.0
0.4.5.6.7.8.9	0.0
1.2.3.4.5.6.7	20.72
1.2.3.4.5.6.8	20.59
1.2.3.4.5.6.9	20.59
1.2.3.4.5.7.8	20.59
1.2.3.4.5.7.9	20.59
1.2.3.4.5.8.9	20.59
1.2.3.4.6.7.8	20.59
1.2.3.4.6.7.9	20.59
1.2.3.4.6.8.9	20.59
1.2.3.4.7.8.9	20.59
1.2.3.5.6.7.8	20.59
1.2.3.5.6.7.9	20.59
1.2.3.5.6.8.9	20.59
1.2.3.5.7.8.9	20.59
1.2.3.6.7.8.9	20.59
1.2.4.5.6.7.8	20.59
1.2.4.5.6.7.9	20.59
1.2.4.5.6.8.9	20.59
1.2.4.5.7.8.9	20.59
1.2.4.6.7.8.9	20.59
1.2.5.6.7.8.9	20.59
1.3.4.5.6.7.8	20.59
1.3.4.5.6.7.9	20.59
1.3.4.5.6.8.9	20.59
1.3.4.5.7.8.9	20.59
1.3.4.6.7.8.9	20.59
1.3.5.6.7.8.9	20.59
1.4.5.6.7.8.9	20.59
2.3.4.5.6.7.8	0.0
2.3.4.5.6.7.9	0.0
2.3.4.5.6.8.9	0.0
2.3.4.5.7.8.9	0.0
2.3.4.6.7.8.9	0.0
2.3.5.6.7.8.9	0.0
2.4.5.6.7.8.9	0.0
3.4.5.6.7.8.9	0.0
