ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	1	1	0.435	0.958	0.96	1	0.214	1	0.188	0.0
345	h0	1	1	0.455	1.0	1.0	1	0.214	1	0.188	0.0
346	h0	1	1	0.375	0.708	0.6	1	0.214	1	0.123	0.0
347	h0	1	1	0.696	0.784	0.8	1	0.786	1	0.812	24.38
348	h0	1	1	0.727	0.818	0.833	1	0.786	1	0.812	27.66
349	h0	1	1	0.601	0.58	0.833	1	0.786	1	0.534	6.52
350	h0	1	1	0.696	0.871	0.72	1	0.786	1	0.75	22.51
351	h0	1	1	0.783	0.909	0.75	1	0.786	1	0.688	25.26
352	h0	1	1	0.676	0.644	0.517	1	0.786	1	0.493	4.67
353	h0	1	1	0.957	0.0	0.48	1	0.714	1	0.0	0.0
354	h0	1	1	1.0	0.0	0.5	1	0.714	1	0.0	0.0
355	h0	1	1	0.826	0.0	0.3	1	0.714	1	0.0	0.0
392	h0	1	1	0.957	0.697	0.72	1	0.786	1	0.812	24.89
393	h0	1	1	1.0	0.727	0.75	1	0.786	1	0.812	28.26
394	h0	1	1	1.0	0.621	0.75	1	0.786	1	0.705	13.45
395	h0	1	1	1.0	0.364	0.66	1	0.251	1	0.271	0.05
396	h0	1	1	0.696	0.697	0.72	1	0.786	1	0.812	18.1
397	h0	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
398	h0	1	1	0.727	0.727	0.787	1	0.786	1	0.812	21.56
399	h0	1	1	0.727	0.727	0.763	1	0.786	1	0.441	5.68
400	h0	1	1	0.818	0.727	0.833	1	0.772	1	0.875	27.17
401	h0	1	1	0.818	0.727	0.833	1	0.786	1	0.875	27.66
402	h0	1	1	0.818	0.727	0.833	1	0.786	1	0.875	27.66
403	h0	1	1	0.818	0.424	0.653	1	0.62	1	0.3	1.36
404	h0	1	1	0.727	0.818	0.667	1	0.786	1	0.812	20.56
405	h0	1	1	0.727	0.818	0.667	1	0.786	1	0.812	20.56
406	h0	1	1	0.727	0.818	0.667	1	0.786	1	0.812	20.56
407	h0	1	1	0.704	0.614	0.4	1	0.668	1	0.305	1.03
408	h0	1	1	0.727	1.0	0.833	1	0.786	1	0.812	33.82
409	h0	1	1	0.727	1.0	0.833	1	0.786	1	0.812	33.82
410	h0	1	1	0.727	1.0	0.833	1	0.786	1	0.812	33.82
411	h0	1	1	0.727	0.792	0.497	1	0.705	1	0.348	2.22
412	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
413	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
414	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
415	h0	1	1	1.0	0.545	0.6	1	0.668	1	0.286	1.71
416	h0	1	1	0.711	0.708	0.75	1	0.786	1	0.804	19.37
417	h0	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
418	h0	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
419	h0	1	1	0.368	0.534	0.75	1	0.634	1	0.493	1.65
420	h0	1	1	0.783	0.697	0.88	1	0.786	1	0.875	26.82
421	h0	1	1	0.818	0.727	0.917	1	0.786	1	0.875	30.45
422	h0	1	1	0.818	0.727	0.917	1	0.786	1	0.875	30.45
423	h0	1	1	0.818	0.727	0.807	1	0.652	1	0.475	6.03
424	h0	1	1	0.783	0.697	0.88	1	0.786	1	0.875	26.82
425	h0	1	1	0.767	0.727	0.917	1	0.786	1	0.875	28.56
426	h0	1	1	0.664	0.674	0.917	1	0.786	1	0.575	9.22
427	h0	1	1	0.364	0.455	0.807	1	0.051	1	0.0	0.0
448	h0	1	1	0.696	0.958	0.8	1	0.786	1	0.812	27.64
449	h0	1	1	0.727	1.0	0.833	1	0.786	1	0.812	31.38
450	h0	1	1	0.727	1.0	0.8	1	0.786	1	0.812	30.14
451	h0	1	1	0.727	1.0	0.763	1	0.786	1	0.784	20.3
452	h0	1	1	0.19	0.083	0.833	1	0.025	1	0.321	0.0
453	h0	1	1	0.957	0.697	0.96	1	0.668	1	0.875	30.39
454	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.875	40.6
455	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.875	40.6
456	h0	1	1	1.0	0.727	1.0	1	0.786	1	0.875	40.6
457	h0	1	1	0.261	0.061	1.0	1	0.175	1	0.375	0.03
458	h0	1	1	0.696	0.784	0.8	1	0.786	1	0.812	22.62
459	h0	1	1	0.727	0.818	0.833	1	0.786	1	0.812	25.67
460	h0	1	1	0.727	0.818	0.833	1	0.786	1	0.812	25.67
461	h0	1	1	0.727	0.818	0.833	1	0.786	1	0.812	25.67
462	h0	1	1	0.19	0.068	0.833	1	0.051	1	0.348	0.01
463	h0	1	1	0.957	0.958	0.64	1	0.786	1	0.812	30.41
464	h0	1	1	1.0	1.0	0.667	1	0.786	1	0.812	34.57
465	h0	1	1	1.0	1.0	0.667	1	0.786	1	0.812	34.57
466	h0	1	1	1.0	1.0	0.647	1	0.786	1	0.47	13.43
467	h0	1	1	0.261	0.083	0.5	1	0.051	1	0.027	0.0
812	h1	1	1	0.522	0.917	0.843	1	0.214	1	0.25	0.0
813	h1	1	1	0.545	1.0	0.917	1	0.214	1	0.25	0.0
814	h1	1	1	0.474	0.75	0.587	1	0.214	1	0.164	0.0
815	h1	1	1	0.747	0.667	0.836	1	0.786	1	0.812	22.62
816	h1	1	1	0.818	0.784	0.917	1	0.786	1	0.812	32.84
817	h1	1	1	0.735	0.614	1.0	1	0.786	1	0.557	11.04
818	h1	1	1	0.696	0.833	0.669	1	0.783	1	0.688	17.78
819	h1	1	1	0.727	0.909	0.75	1	0.786	1	0.688	23.45
820	h1	1	1	0.632	0.682	0.51	1	0.786	1	0.471	4.55
821	h1	1	1	0.957	0.0	0.418	1	0.714	1	0.0	0.0
822	h1	1	1	1.0	0.0	0.417	1	0.714	1	0.0	0.0
823	h1	1	1	0.87	0.0	0.267	1	0.714	1	0.0	0.0
860	h1	1	1	0.957	0.75	0.69	1	0.779	1	0.812	24.75
861	h1	1	1	1.0	0.765	0.75	1	0.786	1	0.812	29.73
862	h1	1	1	1.0	0.659	0.75	1	0.786	1	0.705	14.84
863	h1	1	1	1.0	0.455	0.69	1	0.251	1	0.286	0.07
864	h1	1	1	0.696	0.667	0.69	1	0.76	1	0.812	15.62
865	h1	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
866	h1	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
867	h1	1	1	0.727	0.727	0.717	1	0.786	1	0.441	5.64
868	h1	1	1	0.909	0.712	0.75	1	0.765	1	0.812	24.48
869	h1	1	1	0.909	0.727	0.75	1	0.786	1	0.812	25.69
870	h1	1	1	0.909	0.727	0.75	1	0.786	1	0.812	25.69
871	h1	1	1	0.909	0.439	0.6	1	0.62	1	0.279	1.43
872	h1	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
873	h1	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
874	h1	1	1	0.727	0.727	0.75	1	0.786	1	0.812	20.54
875	h1	1	1	0.715	0.576	0.453	1	0.668	1	0.309	1.22
876	h1	1	1	0.727	1.0	0.75	1	0.786	1	0.812	30.45
877	h1	1	1	0.727	1.0	0.75	1	0.786	1	0.812	30.45
878	h1	1	1	0.727	1.0	0.75	1	0.786	1	0.812	30.45
879	h1	1	1	0.727	0.833	0.477	1	0.705	1	0.341	2.19
880	h1	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
881	h1	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
882	h1	1	1	1.0	0.727	1.0	1	0.786	1	0.812	37.68
883	h1	1	1	1.0	0.576	0.64	1	0.673	1	0.273	2.01
884	h1	1	1	0.727	0.689	0.833	1	0.786	1	0.804	21.41
885	h1	1	1	0.727	0.727	0.833	1	0.786	1	0.812	22.82
886	h1	1	1	0.727	0.727	0.833	1	0.786	1	0.812	22.82
887	h1	1	1	0.348	0.47	0.833	1	0.654	1	0.493	1.67
888	h1	1	1	0.87	0.697	0.836	1	0.786	1	0.875	27.54
889	h1	1	1	0.909	0.727	0.833	1	0.786	1	0.875	30.74
890	h1	1	1	0.909	0.727	0.833	1	0.786	1	0.875	30.74
891	h1	1	1	0.909	0.727	0.767	1	0.652	1	0.475	6.73
892	h1	1	1	0.696	0.697	0.92	1	0.786	1	0.812	22.5
893	h1	1	1	0.727	0.727	1.0	1	0.786	1	0.812	27.39
894	h1	1	1	0.668	0.659	1.0	1	0.786	1	0.534	9.59
895	h1	1	1	0.273	0.455	0.92	1	0.051	1	0.0	0.0
916	h1	1	1	0.696	0.917	0.767	1	0.76	1	0.812	23.87
