Configurations	Weights(%)
0.1.2.6.8	-7.3
0.1.2.6.9	-5.98
0.1.2.7.8	-7.39
0.1.2.7.9	-6.56
0.1.3.6.8	-6.9
0.1.3.6.9	-6.07
0.1.3.7.8	-6.99
0.1.3.7.9	-6.79
0.1.4.6.8	-7.2
0.1.4.6.9	-5.91
0.1.4.7.8	-7.31
0.1.4.7.9	-6.46
0.1.5.6.8	-7.04
0.1.5.6.9	-6.41
0.1.5.7.8	-7.08
0.1.5.7.9	-7.08
0.2.3.6.8	-7.02
0.2.3.6.9	-5.83
0.2.3.7.8	-7.14
0.2.3.7.9	-6.46
0.2.4.6.7	-6.42
0.2.4.6.8	-7.72
0.2.4.6.9	-5.94
0.2.4.7.8	-7.8
0.2.4.7.9	-6.44
0.2.4.8.9	-6.18
0.2.5.6.7	-6.44
0.2.5.6.8	-7.17
0.2.5.6.9	-6.16
0.2.5.7.8	-7.25
0.2.5.7.9	-6.75
0.2.5.8.9	-6.44
0.2.6.7.8	-7.57
0.2.6.7.9	-6.13
0.2.6.8.9	-5.82
0.2.7.8.9	-6.34
0.3.4.6.7	-6.46
0.3.4.6.8	-6.89
0.3.4.6.9	-5.73
0.3.4.7.8	-7.03
0.3.4.7.9	-6.34
0.3.4.8.9	-5.96
0.3.5.6.7	-6.83
0.3.5.6.8	-7.07
0.3.5.6.9	-6.27
0.3.5.7.8	-7.18
0.3.5.7.9	-6.99
0.3.5.8.9	-6.53
0.3.6.7.8	-7.15
0.3.6.7.9	-6.13
0.3.6.8.9	-5.71
0.3.7.8.9	-6.33
0.4.5.6.8	-7.07
0.4.5.6.9	-6.06
0.4.5.7.8	-7.16
0.4.5.7.9	-6.62
0.4.6.7.8	-7.48
0.4.6.7.9	-5.95
0.4.6.8.9	-5.67
0.4.7.8.9	-6.16
0.5.6.7.8	-7.27
0.5.6.7.9	-6.41
0.5.6.8.9	-6.07
0.5.7.8.9	-6.64
1.2.3.6.8	0.0
1.2.3.6.9	0.0
1.2.3.7.8	0.0
1.2.3.7.9	0.0
1.2.4.6.7	0.0
1.2.4.6.8	0.0
1.2.4.6.9	0.0
1.2.4.7.8	0.0
1.2.4.7.9	0.0
1.2.4.8.9	0.0
1.2.5.6.7	0.0
1.2.5.6.8	0.0
1.2.5.6.9	0.0
1.2.5.7.8	0.0
1.2.5.7.9	0.0
1.2.5.8.9	0.0
1.2.6.7.8	0.0
1.2.6.7.9	0.0
1.2.6.8.9	0.0
1.2.7.8.9	0.0
1.3.4.6.7	0.0
1.3.4.6.8	0.0
1.3.4.6.9	0.0
1.3.4.7.8	0.0
1.3.4.7.9	0.0
1.3.4.8.9	0.0
1.3.5.6.7	0.0
1.3.5.6.8	0.0
1.3.5.6.9	0.0
1.3.5.7.8	0.0
1.3.5.7.9	0.0
1.3.5.8.9	0.0
1.3.6.7.8	0.0
1.3.6.7.9	0.0
1.3.6.8.9	0.0
1.3.7.8.9	0.0
1.4.5.6.8	0.0
1.4.5.6.9	0.0
1.4.5.7.8	0.0
1.4.5.7.9	0.0
1.4.6.7.8	0.0
1.4.6.7.9	0.0
1.4.6.8.9	0.0
1.4.7.8.9	0.0
1.5.6.7.8	0.0
1.5.6.7.9	0.0
1.5.6.8.9	0.0
1.5.7.8.9	0.0
2.3.4.6.8	0.0
2.3.4.6.9	0.0
2.3.4.7.8	0.0
2.3.4.7.9	0.0
2.3.5.6.8	0.0
2.3.5.6.9	0.0
2.3.5.7.8	0.0
2.3.5.7.9	0.0
2.4.5.6.8	0.0
2.4.5.6.9	0.0
2.4.5.7.8	0.0
2.4.5.7.9	0.0
2.4.6.7.8	0.0
2.4.6.7.9	0.0
2.4.6.8.9	0.0
2.4.7.8.9	0.0
2.5.6.7.8	0.0
2.5.6.7.9	0.0
2.5.6.8.9	0.0
2.5.7.8.9	0.0
3.4.5.6.8	0.0
3.4.5.6.9	0.0
3.4.5.7.8	0.0
3.4.5.7.9	0.0
3.4.6.7.8	0.0
3.4.6.7.9	0.0
3.4.6.8.9	0.0
3.4.7.8.9	0.0
3.5.6.7.8	0.0
3.5.6.7.9	0.0
3.5.6.8.9	0.0
3.5.7.8.9	0.0
