ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	0.632	1	0.76	0.762	1	0.0	0.769	1	0.786	0.0	13.73
345	h0	0.667	1	0.8	0.8	1	0.0	0.769	1	0.786	0.0	16.78
346	h0	0.667	1	0.7	0.8	1	0.0	0.769	1	0.786	0.0	14.3
347	h0	0.947	1	0.95	0.667	1	0.0	0.769	1	0.786	0.0	28.94
348	h0	1.0	1	1.0	0.7	1	0.0	0.769	1	0.786	0.0	35.38
349	h0	1.0	1	1.0	0.7	1	0.0	0.769	1	0.786	0.0	35.38
350	h0	0.737	1	0.76	0.667	1	0.764	0.746	1	0.786	15.55	15.55
351	h0	0.754	1	0.765	0.7	1	0.8	0.769	1	0.786	19.52	19.52
352	h0	0.667	1	0.7	0.7	1	0.8	0.769	1	0.786	15.8	15.8
353	h0	0.947	1	0.76	0.952	1	0.668	0.769	1	0.857	28.02	28.02
354	h0	1.0	1	0.84	1.0	1	0.7	0.769	1	0.786	33.02	33.02
355	h0	1.0	1	0.9	1.0	1	0.691	0.769	1	0.786	34.92	34.92
392	h0	0.737	1	0.665	0.952	1	0.0	0.923	1	0.786	0.0	30.03
393	h0	0.778	1	0.7	1.0	1	0.0	0.923	1	0.786	0.0	36.7
394	h0	0.778	1	0.7	1.0	1	0.0	0.923	1	0.786	0.0	36.7
395	h0	0.778	1	0.7	1.0	1	0.0	0.923	1	0.786	0.0	36.7
396	h0	0.632	1	0.95	0.667	1	0.0	1.0	1	0.786	0.0	19.53
397	h0	0.667	1	1.0	0.7	1	0.0	1.0	1	0.786	0.0	23.86
398	h0	0.667	1	1.0	0.7	1	0.0	1.0	1	0.786	0.0	23.86
399	h0	0.667	1	1.0	0.7	1	0.0	1.0	1	0.786	0.0	23.86
400	h0	0.842	1	0.9	0.614	1	0.655	0.667	1	0.737	14.98	14.98
401	h0	1.0	1	1.0	0.7	1	0.7	0.769	1	0.786	29.62	29.62
402	h0	1.0	1	1.0	0.7	1	0.7	0.769	1	0.786	29.62	29.62
