ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
332	h0	0.95	0.571	0.573	0.957	0.87	0.697	1	1	0.333	6.01
333	h0	1.0	0.648	0.6	1.0	0.909	0.727	1	1	0.333	8.56
334	h0	1.0	0.7	0.573	0.87	0.711	0.515	1	1	0.265	3.39
335	h0	0.665	0.857	0.668	0.783	0.957	0.697	1	1	0.8	15.91
336	h0	0.7	0.857	0.7	0.818	1.0	0.727	1	1	0.8	19.98
337	h0	0.7	0.9	0.668	0.711	1.0	0.621	1	1	0.635	11.8
338	h0	0.76	0.667	0.859	0.696	0.87	0.958	1	1	0.8	20.21
339	h0	0.765	0.7	0.855	0.727	0.909	1.0	1	1	0.8	24.21
340	h0	0.7	0.7	0.764	0.644	0.909	1.0	1	1	0.635	13.92
341	h0	0.855	0.952	0.573	0.522	0.957	0.697	1	1	0.333	5.41
342	h0	0.94	1.0	0.65	0.545	0.909	0.727	1	1	0.333	7.33
343	h0	1.0	1.0	0.668	0.553	0.711	0.542	1	1	0.265	3.77
356	h0	0.76	0.952	0.955	0.696	0.696	0.697	1	1	0.8	18.66
357	h0	0.8	1.0	1.0	0.727	0.727	0.727	1	1	0.8	24.59
358	h0	0.8	1.0	1.0	0.68	0.727	0.727	1	1	0.731	21.02
359	h0	0.8	0.9	1.0	0.364	0.727	0.727	1	1	0.343	4.75
360	h0	0.95	0.667	0.668	0.783	0.696	0.958	1	1	0.8	17.68
361	h0	1.0	0.7	0.7	0.818	0.727	1.0	1	1	0.8	23.31
362	h0	1.0	0.7	0.7	0.818	0.751	1.0	1	1	0.8	24.08
363	h0	1.0	0.7	0.7	0.818	0.818	1.0	1	1	0.588	19.28
364	h0	0.64	0.629	0.605	0.711	0.794	0.727	1	1	0.8	8.0
365	h0	0.8	0.7	0.7	0.727	0.818	0.727	1	1	0.8	13.56
366	h0	0.8	0.7	0.7	0.727	0.818	0.727	1	1	0.8	13.56
367	h0	0.8	0.629	0.7	0.395	0.818	0.818	1	1	0.541	5.04
368	h0	0.7	1.0	0.7	1.0	0.636	1.0	1	1	0.867	27.02
369	h0	0.7	1.0	0.7	1.0	0.636	1.0	1	1	0.867	27.02
370	h0	0.7	1.0	0.7	1.0	0.636	1.0	1	1	0.867	27.02
371	h0	0.7	1.0	0.7	1.0	0.526	0.792	1	1	0.561	11.45
372	h0	1.0	0.7	1.0	0.727	1.0	0.727	1	1	0.933	34.52
373	h0	1.0	0.7	1.0	0.727	1.0	0.727	1	1	0.933	34.52
374	h0	1.0	0.7	1.0	0.727	1.0	0.727	1	1	0.933	34.52
375	h0	1.0	0.7	1.0	0.727	0.87	0.576	1	1	0.604	15.4
376	h0	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.933	13.84
377	h0	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.933	13.84
378	h0	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.933	13.84
379	h0	0.7	0.7	0.7	0.715	0.711	0.545	1	1	0.631	6.0
380	h0	0.595	0.952	0.655	0.909	0.636	0.818	1	1	0.8	14.04
381	h0	0.7	1.0	0.7	0.909	0.636	0.818	1	1	0.8	18.54
382	h0	0.7	1.0	0.7	0.909	0.636	0.818	1	1	0.8	18.54
383	h0	0.7	1.0	0.609	0.909	0.636	0.784	1	1	0.586	11.32
384	h0	0.855	0.952	0.668	0.696	0.609	0.697	1	1	0.8	12.85
385	h0	0.9	1.0	0.7	0.727	0.636	0.727	1	1	0.8	16.94
386	h0	0.9	1.0	0.7	0.727	0.636	0.727	1	1	0.8	16.94
387	h0	0.9	1.0	0.7	0.727	0.636	0.727	1	1	0.588	12.45
388	h0	0.855	0.667	0.955	0.957	0.696	0.784	1	1	0.8	22.75
389	h0	0.9	0.7	1.0	1.0	0.727	0.818	1	1	0.8	29.97
390	h0	0.9	0.7	1.0	1.0	0.727	0.818	1	1	0.745	27.91
391	h0	0.9	0.7	1.0	1.0	0.727	0.818	1	1	0.392	14.69
428	h0	0.665	0.857	0.668	0.957	0.957	0.697	1	1	0.8	19.44
429	h0	0.7	0.9	0.7	1.0	1.0	0.727	1	1	0.8	25.65
430	h0	0.7	0.9	0.7	1.0	0.98	0.727	1	1	0.8	25.14
431	h0	0.7	0.9	0.7	1.0	0.909	0.727	1	1	0.747	21.77
432	h0	0.56	0.667	0.318	0.304	0.988	0.727	1	1	0.388	1.01
433	h0	0.95	0.762	0.955	0.696	0.783	0.697	1	1	0.8	21.01
434	h0	1.0	0.8	1.0	0.727	0.818	0.727	1	1	0.8	27.67
435	h0	1.0	0.8	1.0	0.727	0.818	0.727	1	1	0.8	27.67
436	h0	1.0	0.8	1.0	0.727	0.818	0.727	1	1	0.8	27.67
437	h0	0.762	0.533	0.455	0.221	0.818	0.727	1	1	0.518	1.26
438	h0	0.95	0.581	0.955	0.87	0.783	0.958	1	1	0.8	27.52
439	h0	1.0	0.7	1.0	0.909	0.818	1.0	1	1	0.8	41.64
440	h0	1.0	0.7	1.0	0.909	0.818	1.0	1	1	0.8	41.64
441	h0	1.0	0.7	1.0	0.909	0.818	1.0	1	1	0.8	41.64
442	h0	0.762	0.5	0.5	0.277	0.818	1.0	1	1	0.518	2.24
443	h0	0.665	0.667	0.764	0.696	0.957	0.697	1	1	0.8	12.59
444	h0	0.7	0.7	0.8	0.727	1.0	0.727	1	1	0.8	16.57
445	h0	0.7	0.7	0.8	0.727	1.0	0.727	1	1	0.8	16.57
446	h0	0.7	0.7	0.8	0.727	1.0	0.727	1	1	0.765	15.85
447	h0	0.56	0.467	0.364	0.221	1.0	0.727	1	1	0.431	0.66
800	h1	0.95	0.633	0.545	0.83	0.783	0.75	1	1	0.324	5.18
801	h1	1.0	0.7	0.6	0.909	0.818	0.818	1	1	0.333	8.51
802	h1	1.0	0.7	0.6	0.83	0.64	0.614	1	1	0.275	3.77
803	h1	0.665	0.724	0.727	0.747	0.957	0.667	1	1	0.776	12.95
804	h1	0.7	0.8	0.8	0.866	1.0	0.727	1	1	0.8	22.56
805	h1	0.7	0.8	0.8	0.791	1.0	0.636	1	1	0.659	14.85
806	h1	0.76	0.633	0.727	0.664	0.783	0.958	1	1	0.776	13.52
807	h1	0.765	0.7	0.8	0.727	0.818	1.0	1	1	0.8	20.38
808	h1	0.7	0.7	0.8	0.644	0.818	1.0	1	1	0.659	13.61
809	h1	0.855	0.905	0.636	0.498	0.957	0.667	1	1	0.324	5.07
810	h1	0.94	1.0	0.7	0.545	1.0	0.727	1	1	0.333	8.68
811	h1	1.0	1.0	0.7	0.474	0.783	0.545	1	1	0.275	3.89
824	h1	0.665	0.905	0.909	0.747	0.696	0.667	1	1	0.776	14.72
825	h1	0.7	1.0	1.0	0.775	0.727	0.727	1	1	0.8	22.94
826	h1	0.7	1.0	1.0	0.692	0.727	0.727	1	1	0.741	18.97
827	h1	0.7	1.0	1.0	0.455	0.727	0.727	1	1	0.357	6.01
828	h1	0.95	0.633	0.636	0.664	0.696	0.917	1	1	0.776	12.58
829	h1	1.0	0.662	0.6	0.727	0.727	1.0	1	1	0.8	16.79
830	h1	1.0	0.6	0.6	0.727	0.727	1.0	1	1	0.8	15.22
831	h1	1.0	0.686	0.6	0.727	0.727	1.0	1	1	0.612	13.31
832	h1	0.72	0.614	0.605	0.688	0.652	0.727	1	1	0.8	6.98
833	h1	0.9	0.7	0.7	0.727	0.727	0.727	1	1	0.8	13.56
834	h1	0.9	0.7	0.7	0.727	0.727	0.727	1	1	0.8	13.56
835	h1	0.9	0.643	0.7	0.466	0.727	0.727	1	1	0.541	5.4
836	h1	0.7	1.0	0.7	1.0	0.727	1.0	1	1	0.867	30.89
837	h1	0.7	1.0	0.7	1.0	0.727	1.0	1	1	0.867	30.89
838	h1	0.7	1.0	0.7	1.0	0.727	1.0	1	1	0.867	30.89
839	h1	0.7	1.0	0.7	1.0	0.609	0.792	1	1	0.561	13.26
840	h1	1.0	0.8	1.0	0.818	1.0	0.727	1	1	0.933	44.39
841	h1	1.0	0.8	1.0	0.818	1.0	0.727	1	1	0.933	44.39
842	h1	1.0	0.8	1.0	0.818	1.0	0.727	1	1	0.933	44.39
843	h1	1.0	0.8	1.0	0.818	0.87	0.576	1	1	0.631	20.69
844	h1	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.867	12.86
845	h1	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.867	12.86
846	h1	0.7	0.7	0.7	0.727	0.818	0.727	1	1	0.933	13.84
847	h1	0.7	0.7	0.7	0.727	0.711	0.545	1	1	0.604	5.84
848	h1	0.61	0.952	0.632	0.818	0.727	0.727	1	1	0.8	12.69
849	h1	0.7	1.0	0.7	0.818	0.727	0.727	1	1	0.8	16.95
850	h1	0.7	1.0	0.7	0.818	0.727	0.727	1	1	0.8	16.95
851	h1	0.686	1.0	0.618	0.818	0.727	0.697	1	1	0.541	9.51
852	h1	0.76	0.905	0.636	0.664	0.696	0.697	1	1	0.776	10.93
853	h1	0.8	1.0	0.7	0.727	0.727	0.727	1	1	0.8	17.21
854	h1	0.8	1.0	0.7	0.727	0.727	0.727	1	1	0.8	17.21
855	h1	0.8	1.0	0.7	0.727	0.727	0.727	1	1	0.588	12.65
856	h1	0.95	0.633	0.909	0.913	0.696	0.75	1	1	0.776	20.22
857	h1	1.0	0.7	1.0	1.0	0.727	0.818	1	1	0.8	33.3
858	h1	1.0	0.7	1.0	1.0	0.727	0.818	1	1	0.753	31.35
859	h1	1.0	0.7	1.0	1.0	0.727	0.818	1	1	0.408	16.98
896	h1	0.665	0.814	0.636	0.913	0.87	0.75	1	1	0.776	15.92
897	h1	0.7	0.943	0.7	1.0	0.909	0.818	1	1	0.8	27.49
898	h1	0.7	1.0	0.7	1.0	0.909	0.818	1	1	0.8	29.15
899	h1	0.7	0.919	0.7	1.0	0.909	0.727	1	1	0.769	22.88
900	h1	0.567	0.643	0.35	0.348	0.909	0.727	1	1	0.451	1.32
901	h1	0.855	0.814	0.909	0.664	0.957	0.667	1	1	0.776	20.81
902	h1	0.9	0.9	1.0	0.727	0.949	0.727	1	1	0.8	32.5
903	h1	0.9	0.9	1.0	0.727	0.909	0.727	1	1	0.8	31.13
904	h1	0.9	0.9	1.0	0.727	0.909	0.727	1	1	0.8	31.13
905	h1	0.729	0.6	0.5	0.253	0.909	0.727	1	1	0.541	1.98
906	h1	0.95	0.633	0.909	0.913	0.696	0.958	1	1	0.776	25.82
907	h1	1.0	0.7	1.0	1.0	0.727	1.0	1	1	0.8	40.71
908	h1	1.0	0.7	1.0	1.0	0.727	1.0	1	1	0.8	40.71
909	h1	1.0	0.7	1.0	1.0	0.727	1.0	1	1	0.8	40.71
910	h1	0.81	0.467	0.5	0.348	0.727	1.0	1	1	0.541	2.59
911	h1	0.633	0.633	0.727	0.664	0.957	0.697	1	1	0.776	10.01
