ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
332	h0	0.477	0.868	0.0	1	0.64	0.08	0.0	1	0.0	0.0
333	h0	0.5	0.909	0.0	1	0.667	0.083	0.0	1	0.0	0.0
334	h0	0.477	0.826	0.0	1	0.373	0.042	0.0	1	0.0	0.0
335	h0	0.668	0.781	0.957	1	0.72	0.881	0.8	1	0.875	22.17
336	h0	0.7	0.868	1.0	1	0.75	0.917	0.8	1	0.875	29.25
337	h0	0.668	0.826	0.783	1	0.567	0.458	0.75	1	0.535	4.5
338	h0	0.955	0.694	0.783	1	0.72	0.721	0.867	1	0.875	20.44
339	h0	0.95	0.727	0.964	1	0.75	0.75	0.867	1	0.875	28.41
340	h0	0.859	0.678	0.783	1	0.567	0.667	0.812	1	0.535	7.49
341	h0	0.573	0.607	0.87	1	0.64	0.881	0.867	1	0.0	0.0
342	h0	0.655	0.636	0.909	1	0.667	0.917	0.867	1	0.0	0.0
343	h0	0.668	0.661	0.711	1	0.373	0.458	0.812	1	0.0	0.0
356	h0	0.955	0.781	0.696	1	0.72	0.881	0.867	1	0.875	24.98
357	h0	1.0	0.773	0.727	1	0.75	0.917	0.867	1	0.875	29.32
358	h0	1.0	0.702	0.708	1	0.75	0.917	0.812	1	0.535	14.85
359	h0	1.0	0.455	0.636	1	0.63	0.67	0.0	1	0.0	0.0
360	h0	0.668	0.694	0.696	1	0.96	0.721	0.867	1	0.812	15.72
361	h0	0.7	0.727	0.727	1	1.0	0.75	0.867	1	0.812	19.53
362	h0	0.7	0.818	0.727	1	1.0	0.75	0.867	1	0.812	21.98
363	h0	0.7	0.818	0.727	1	0.84	0.548	0.812	1	0.384	5.97
364	h0	0.645	0.711	0.708	1	0.833	0.917	0.867	1	0.812	17.46
365	h0	0.7	0.727	0.727	1	0.833	0.917	0.867	1	0.812	19.9
366	h0	0.7	0.727	0.727	1	0.833	0.917	0.867	1	0.812	19.9
367	h0	0.664	0.438	0.561	1	0.767	0.917	0.623	1	0.335	2.39
368	h0	0.7	1.0	0.727	1	0.667	0.917	0.933	1	0.812	23.58
369	h0	0.7	1.0	0.727	1	0.667	0.917	0.933	1	0.812	23.58
370	h0	0.7	1.0	0.727	1	0.667	0.917	0.933	1	0.812	23.58
371	h0	0.7	1.0	0.632	1	0.32	0.423	0.729	1	0.231	1.01
372	h0	1.0	0.727	1.0	1	1.0	0.75	0.933	1	0.875	44.51
373	h0	1.0	0.727	1.0	1	1.0	0.75	0.933	1	0.875	44.51
374	h0	1.0	0.727	1.0	1	1.0	0.75	0.933	1	0.875	44.51
375	h0	1.0	0.727	0.913	1	0.52	0.314	0.729	1	0.292	2.31
376	h0	0.7	0.727	0.727	1	0.833	0.75	0.933	1	0.812	17.51
377	h0	0.7	0.727	0.727	1	0.833	0.75	0.933	1	0.812	17.51
378	h0	0.7	0.727	0.727	1	0.833	0.75	0.933	1	0.812	17.51
379	h0	0.7	0.727	0.632	1	0.433	0.314	0.729	1	0.271	0.86
380	h0	0.655	1.0	0.711	1	0.667	0.75	0.933	1	0.812	17.65
381	h0	0.7	1.0	0.727	1	0.667	0.75	0.933	1	0.812	19.29
382	h0	0.7	1.0	0.727	1	0.667	0.75	0.933	1	0.812	19.29
383	h0	0.6	1.0	0.526	1	0.627	0.494	0.671	1	0.304	1.99
384	h0	0.668	0.781	0.696	1	0.96	0.721	0.933	1	0.812	19.04
385	h0	0.7	0.818	0.727	1	1.0	0.75	0.933	1	0.812	23.65
386	h0	0.7	0.818	0.727	1	1.0	0.75	0.933	1	0.812	23.65
387	h0	0.7	0.818	0.727	1	0.84	0.571	0.875	1	0.384	6.71
388	h0	0.955	0.955	0.783	1	0.72	0.721	0.933	1	0.812	28.08
389	h0	1.0	1.0	0.767	1	0.75	0.75	0.933	1	0.812	32.69
390	h0	1.0	1.0	0.688	1	0.75	0.75	0.812	1	0.497	15.62
391	h0	1.0	1.0	0.545	1	0.63	0.548	0.0	1	0.0	0.0
428	h0	0.668	0.955	0.957	1	0.88	0.721	0.867	1	0.812	27.27
429	h0	0.7	1.0	1.0	1	0.917	0.75	0.867	1	0.812	33.89
430	h0	0.7	1.0	1.0	1	0.957	0.75	0.867	1	0.812	35.37
431	h0	0.7	1.0	1.0	1	0.987	0.66	0.812	1	0.516	19.11
432	h0	0.318	0.364	0.174	1	0.833	0.401	0.0	1	0.083	0.0
433	h0	0.955	0.694	0.87	1	0.72	0.721	0.867	1	0.812	21.07
434	h0	1.0	0.727	0.909	1	0.75	0.75	0.867	1	0.812	26.17
435	h0	1.0	0.727	0.909	1	0.713	0.75	0.867	1	0.812	24.88
436	h0	1.0	0.727	0.909	1	0.683	0.75	0.812	1	0.812	22.32
437	h0	0.455	0.264	0.158	1	0.75	0.721	0.0	1	0.271	0.0
438	h0	0.955	0.781	0.783	1	0.8	0.881	0.933	1	0.812	31.18
439	h0	1.0	0.818	0.818	1	0.833	0.917	0.933	1	0.812	38.72
440	h0	1.0	0.818	0.818	1	0.833	0.917	0.933	1	0.812	38.72
441	h0	1.0	0.818	0.818	1	0.833	0.917	0.875	1	0.812	36.31
442	h0	0.455	0.298	0.142	1	0.833	0.881	0.0	1	0.293	0.0
443	h0	0.764	0.694	0.957	1	0.72	0.962	0.933	1	0.812	26.63
444	h0	0.8	0.727	1.0	1	0.75	1.0	0.933	1	0.812	33.05
445	h0	0.8	0.727	1.0	1	0.75	1.0	0.933	1	0.812	33.05
446	h0	0.8	0.727	1.0	1	0.75	1.0	0.875	1	0.549	20.95
447	h0	0.364	0.264	0.174	1	0.75	0.962	0.0	1	0.104	0.0
800	h1	0.455	0.781	0.0	1	0.72	0.154	0.0	1	0.0	0.0
801	h1	0.5	0.818	0.0	1	0.75	0.167	0.0	1	0.0	0.0
802	h1	0.5	0.744	0.0	1	0.45	0.09	0.0	1	0.0	0.0
803	h1	0.636	0.955	0.957	1	0.72	0.846	0.867	1	0.851	26.12
804	h1	0.7	1.0	1.0	1	0.75	0.917	0.867	1	0.875	36.52
805	h1	0.668	0.909	0.783	1	0.617	0.494	0.84	1	0.535	6.51
806	h1	0.909	0.694	0.87	1	0.72	0.692	0.8	1	0.851	18.62
807	h1	0.955	0.727	0.909	1	0.75	0.75	0.8	1	0.875	24.85
808	h1	0.859	0.669	0.711	1	0.55	0.673	0.775	1	0.535	6.27
809	h1	0.545	0.607	0.87	1	0.56	0.769	0.775	1	0.0	0.0
