Configurations	Weights(%)
0.1.2.3.6.8	0.0
0.1.2.3.6.9	0.0
0.1.2.3.7.8	0.0
0.1.2.3.7.9	0.0
0.1.2.4.6.7	0.0
0.1.2.4.6.8	0.0
0.1.2.4.6.9	0.0
0.1.2.4.7.8	0.0
0.1.2.4.7.9	0.0
0.1.2.4.8.9	0.0
0.1.2.5.6.7	-3.88
0.1.2.5.6.8	-5.27
0.1.2.5.6.9	-4.75
0.1.2.5.7.8	-5.12
0.1.2.5.7.9	-4.32
0.1.2.5.8.9	-4.49
0.1.2.6.7.8	0.0
0.1.2.6.7.9	0.0
0.1.2.6.8.9	0.0
0.1.2.7.8.9	0.0
0.1.3.4.6.7	0.0
0.1.3.4.6.8	0.0
0.1.3.4.6.9	0.0
0.1.3.4.7.8	0.0
0.1.3.4.7.9	0.0
0.1.3.4.8.9	0.0
0.1.3.5.6.7	-4.22
0.1.3.5.6.8	-5.14
0.1.3.5.6.9	-4.28
0.1.3.5.7.8	-5.05
0.1.3.5.7.9	-3.88
0.1.3.5.8.9	-4.01
0.1.3.6.7.8	0.0
0.1.3.6.7.9	0.0
0.1.3.6.8.9	0.0
0.1.3.7.8.9	0.0
0.1.4.5.6.8	-4.85
0.1.4.5.6.9	-4.53
0.1.4.5.7.8	-4.71
0.1.4.5.7.9	-4.1
0.1.4.6.7.8	0.0
0.1.4.6.7.9	0.0
0.1.4.6.8.9	0.0
0.1.4.7.8.9	0.0
0.1.5.6.7.8	-4.91
0.1.5.6.7.9	-4.27
0.1.5.6.8.9	-4.41
0.1.5.7.8.9	-4.02
0.2.3.4.6.7	0.0
0.2.3.4.6.8	0.0
0.2.3.4.6.9	0.0
0.2.3.4.7.8	0.0
0.2.3.4.7.9	0.0
0.2.3.4.8.9	0.0
0.2.3.5.6.7	-4.25
0.2.3.5.6.8	-5.23
0.2.3.5.6.9	-4.5
0.2.3.5.7.8	-5.2
0.2.3.5.7.9	-4.07
0.2.3.5.8.9	-4.22
0.2.3.6.7.8	0.0
0.2.3.6.7.9	0.0
0.2.3.6.8.9	0.0
0.2.3.7.8.9	0.0
0.2.4.5.6.7	-3.9
0.2.4.5.6.8	-4.91
0.2.4.5.6.9	-4.71
0.2.4.5.7.8	-4.84
0.2.4.5.7.9	-4.25
0.2.4.5.8.9	-4.42
0.2.4.6.7.8	0.0
0.2.4.6.7.9	0.0
0.2.4.6.8.9	0.0
0.2.4.7.8.9	0.0
0.2.5.6.7.8	-5.11
0.2.5.6.7.9	-4.49
0.2.5.6.8.9	-4.65
0.2.5.7.8.9	-4.24
0.2.6.7.8.9	0.0
0.3.4.5.6.7	-4.36
0.3.4.5.6.8	-4.96
0.3.4.5.6.9	-4.39
0.3.4.5.7.8	-4.91
0.3.4.5.7.9	-3.95
0.3.4.5.8.9	-4.08
0.3.4.6.7.8	0.0
0.3.4.6.7.9	0.0
0.3.4.6.8.9	0.0
0.3.4.7.8.9	0.0
0.3.5.6.7.8	-5.15
