 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    815   h1       1 0.750000       1 0.720000       1 1.000000       1 0.812500 0.764706     0.335515
    816   h1       1 0.818182       1 0.750000       1 0.940171       1 0.812500 0.764706     0.358456
    817   h1       1 0.613636       1 0.420000       1 0.376068       1 0.580357 0.342105     0.019243
    818   h1       1 0.916667       1 0.333333       1 1.000000       1 0.187500 0.106811     0.006119
    819   h1       1 1.000000       1 0.333333       1 0.940171       1 0.187500 0.058824     0.003457
    820   h1       1 0.750000       1 0.173333       1 0.376068       1 0.133929 0.026316     0.000172
    821   h1       1 0.000000       1 0.000000       1 0.000000       1 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829       1 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339       1 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077       1 0.812500 0.823529     0.362353
    861   h1       1 0.727273       1 0.916667       1 0.923077       1 0.812500 0.823529     0.411765
    862   h1       1 0.636364       1 0.476667       1 0.923077       1 0.557143 0.368421     0.057474
    863   h1       1 0.363636       1 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231       1 0.812500 0.823529     0.343137
    865   h1       1 0.727273       1 1.000000       1 0.769231       1 0.812500 0.823529     0.374332
    866   h1       1 0.727273       1 1.000000       1 0.769231       1 0.675000 0.823529     0.310983
    867   h1       1 0.727273       1 0.769231       1 0.427350       1 0.235714 0.216718     0.012213
    868   h1       1 0.715909       1 0.750000       1 0.769231       1 0.812500 0.823529     0.276362
    869   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    870   h1       1 0.727273       1 0.660256       1 0.769231       1 0.769643 0.823529     0.234118
    871   h1       1 0.367424       1 0.115385       1 0.569801       1 0.255357 0.021672     0.000134
    872   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500 0.823529     0.424632
    873   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500 0.823529     0.424632
    874   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500 0.823529     0.424632
    875   h1       1 0.681818       1 0.423077       1 0.156695       1 0.325000 0.044892     0.000659
    876   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    877   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    878   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000 0.823529     0.720588
    879   h1       1 0.833333       1 0.461538       1 0.222222       1 0.350000 0.043344     0.001297
    880   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500 0.823529     0.308824
    881   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500 0.823529     0.308824
    882   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500 0.773994     0.290248
    883   h1       1 0.587121       1 0.288462       1 0.125356       1 0.325000 0.037152     0.000256
    884   h1       1 0.681818       1 0.750000       1 0.769231       1 0.812500 0.823529     0.263202
    885   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    886   h1       1 0.727273       1 0.733974       1 0.769231       1 0.801786 0.823529     0.271127
    887   h1       1 0.606061       1 0.259615       1 0.678063       1 0.255357 0.253870     0.006916
    888   h1       1 0.666667       1 1.000000       1 0.846154       1 0.812500 0.823529     0.377451
    889   h1       1 0.727273       1 1.000000       1 0.786325       1 0.812500 0.801858     0.372580
    890   h1       1 0.727273       1 1.000000       1 0.817664       1 0.675000 0.602167     0.241709
    891   h1       1 0.727273       1 0.769231       1 0.470085       1 0.235714 0.123839     0.007677
    892   h1       1 0.666667       1 0.750000       1 0.923077       1 0.812500 0.837461     0.314048
    893   h1       1 0.727273       1 0.750000       1 0.923077       1 0.812500 0.882353     0.360963
    894   h1       1 0.704545       1 0.390000       1 0.923077       1 0.557143 0.394737     0.055781
    895   h1       1 0.636364       1 0.000000       1 0.512821       1 0.000000 0.000000     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231       1 0.812500 0.823529     0.353860
    917   h1       1 1.000000       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    918   h1       1 1.000000       1 0.750000       1 0.769231       1 0.812500 0.823529     0.386029
    919   h1       1 1.000000       1 0.570000       1 0.666667       1 0.510714 0.530960     0.103044
    920   h1       1 0.166667       1 0.000000       1 0.398860       1 0.000000 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1 0.769231       1 0.812500 0.823529     0.251634
    922   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    923   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500 0.823529     0.280749
    924   h1       1 0.727273       1 0.576923       1 0.769231       1 0.492857 0.823529     0.131000
    925   h1       1 0.121212       1 0.000000       1 0.569801       1 0.000000 0.108359     0.000000
