 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1       1 0.750000       1 0.720000       1 1.000000 0.733333 0.812500       1     0.321750
    816   h1       1 0.818182       1 0.750000       1 0.940171 0.733333 0.812500       1     0.343750
    817   h1       1 0.613636       1 0.420000       1 0.376068 0.635294 0.580357       1     0.035735
    818   h1       1 0.916667       1 0.333333       1 1.000000 0.800000 0.187500       1     0.045833
    819   h1       1 1.000000       1 0.333333       1 0.940171 0.800000 0.187500       1     0.047009
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765 0.133929       1     0.004006
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000 0.000000       1     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000 0.000000       1     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000 0.000000       1     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667 0.812500       1     0.381333
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667 0.812500       1     0.433333
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745 0.557143       1     0.103388
    863   h1       1 0.363636       1 0.000000       1 0.512821 0.000000 0.000000       1     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231 0.933333 0.812500       1     0.388889
    865   h1       1 0.727273       1 1.000000       1 0.769231 0.933333 0.812500       1     0.424242
    866   h1       1 0.727273       1 1.000000       1 0.769231 0.933333 0.675000       1     0.352448
    867   h1       1 0.727273       1 0.769231       1 0.427350 0.658824 0.235714       1     0.037127
    868   h1       1 0.715909       1 0.750000       1 0.769231 0.800000 0.812500       1     0.268466
    869   h1       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    870   h1       1 0.727273       1 0.660256       1 0.769231 0.800000 0.769643       1     0.227429
    871   h1       1 0.367424       1 0.115385       1 0.569801 0.329412 0.255357       1     0.002032
    872   h1       1 0.818182       1 0.916667       1 0.846154 0.800000 0.812500       1     0.412500
    873   h1       1 0.818182       1 0.916667       1 0.846154 0.800000 0.812500       1     0.412500
    874   h1       1 0.818182       1 0.916667       1 0.846154 0.800000 0.812500       1     0.412500
    875   h1       1 0.681818       1 0.423077       1 0.156695 0.403922 0.325000       1     0.005934
    876   h1       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    877   h1       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    878   h1       1 1.000000       1 1.000000       1 1.000000 0.800000 0.875000       1     0.700000
    879   h1       1 0.833333       1 0.461538       1 0.222222 0.400000 0.350000       1     0.011966
    880   h1       1 0.727273       1 0.750000       1 0.846154 0.800000 0.812500       1     0.300000
    881   h1       1 0.727273       1 0.750000       1 0.846154 0.800000 0.812500       1     0.300000
    882   h1       1 0.727273       1 0.750000       1 0.846154 0.800000 0.812500       1     0.300000
    883   h1       1 0.587121       1 0.288462       1 0.125356 0.376471 0.325000       1     0.002598
    884   h1       1 0.681818       1 0.750000       1 0.769231 0.800000 0.812500       1     0.255682
    885   h1       1 0.727273       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    886   h1       1 0.727273       1 0.733974       1 0.769231 0.752941 0.801786       1     0.247887
    887   h1       1 0.606061       1 0.259615       1 0.678063 0.247059 0.255357       1     0.006731
    888   h1       1 0.666667       1 1.000000       1 0.846154 0.800000 0.812500       1     0.366667
    889   h1       1 0.727273       1 1.000000       1 0.786325 0.800000 0.812500       1     0.371717
    890   h1       1 0.727273       1 1.000000       1 0.817664 0.658824 0.675000       1     0.264451
    891   h1       1 0.727273       1 0.769231       1 0.470085 0.141176 0.235714       1     0.008751
    892   h1       1 0.666667       1 0.750000       1 0.923077 0.800000 0.812500       1     0.300000
    893   h1       1 0.727273       1 0.750000       1 0.923077 0.800000 0.812500       1     0.327273
    894   h1       1 0.704545       1 0.390000       1 0.923077 0.611765 0.557143       1     0.086450
    895   h1       1 0.636364       1 0.000000       1 0.512821 0.000000 0.000000       1     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231 0.933333 0.812500       1     0.401042
    917   h1       1 1.000000       1 0.750000       1 0.769231 0.933333 0.812500       1     0.437500
    918   h1       1 1.000000       1 0.750000       1 0.769231 0.933333 0.812500       1     0.437500
    919   h1       1 1.000000       1 0.570000       1 0.666667 0.658824 0.510714       1     0.127859
    920   h1       1 0.166667       1 0.000000       1 0.398860 0.000000 0.000000       1     0.000000
