 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    815   h1 0.695652       1 0.960000       1 0.750000       1 0.733333       1 0.764706     0.280880
    816   h1 0.727273       1 1.000000       1 0.750000       1 0.733333       1 0.764706     0.305882
    817   h1 0.600791       1 0.600000       1 0.525641       1 0.635294       1 0.342105     0.041181
    818   h1 0.695652       1 0.727273       1 0.916667       1 0.800000       1 0.106811     0.039628
    819   h1 0.727273       1 0.727273       1 0.916667       1 0.800000       1 0.058824     0.022816
    820   h1 0.600791       1 0.465455       1 0.423077       1 0.611765       1 0.026316     0.001905
    821   h1 0.956522       1 0.436364       1 0.000000       1 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1 0.866667       1 0.823529     0.344450
    861   h1 1.000000       1 0.727273       1 0.750000       1 0.866667       1 0.823529     0.389305
    862   h1 1.000000       1 0.690909       1 0.750000       1 0.662745       1 0.368421     0.126524
    863   h1 1.000000       1 0.585455       1 0.461538       1 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1 0.933333       1 0.823529     0.327948
    865   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1 0.823529     0.372668
    866   h1 0.727273       1 0.727273       1 0.916667       1 0.933333       1 0.823529     0.372668
    867   h1 0.727273       1 0.669091       1 0.564103       1 0.658824       1 0.216718     0.039193
    868   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    869   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    870   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    871   h1 0.909091       1 0.581818       1 0.394231       1 0.329412       1 0.021672     0.001489
    872   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    873   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    874   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    875   h1 0.660079       1 0.450909       1 0.182692       1 0.403922       1 0.044892     0.000986
    876   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    877   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    878   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    879   h1 0.695652       1 0.465455       1 0.198718       1 0.400000       1 0.043344     0.001116
    880   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1 0.823529     0.603922
    881   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1 0.823529     0.603922
    882   h1 1.000000       1 1.000000       1 0.916667       1 0.800000       1 0.773994     0.567595
    883   h1 0.956522       1 0.680000       1 0.271605       1 0.376471       1 0.037152     0.002471
    884   h1 0.727273       1 0.818182       1 1.000000       1 0.800000       1 0.823529     0.392027
    885   h1 0.727273       1 0.818182       1 1.000000       1 0.800000       1 0.823529     0.392027
    886   h1 0.727273       1 0.818182       1 1.000000       1 0.752941       1 0.823529     0.368967
    887   h1 0.284585       1 0.130909       1 1.000000       1 0.247059       1 0.253870     0.002337
    888   h1 0.869565       1 0.960000       1 0.750000       1 0.800000       1 0.823529     0.412481
    889   h1 0.909091       1 1.000000       1 0.750000       1 0.800000       1 0.801858     0.437377
    890   h1 1.000000       1 1.000000       1 0.750000       1 0.658824       1 0.602167     0.297541
    891   h1 1.000000       1 0.920000       1 0.461538       1 0.141176       1 0.123839     0.007424
    892   h1 0.695652       1 0.909091       1 0.750000       1 0.800000       1 0.837461     0.317772
    893   h1 0.727273       1 0.909091       1 0.750000       1 0.800000       1 0.882353     0.350024
    894   h1 0.632411       1 0.640000       1 0.701923       1 0.611765       1 0.394737     0.068606
    895   h1 0.181818       1 0.000000       1 0.410256       1 0.000000       1 0.000000     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1 0.933333       1 0.823529     0.402481
    917   h1 0.727273       1 0.818182       1 1.000000       1 0.933333       1 0.823529     0.457365
    918   h1 0.727273       1 0.818182       1 1.000000       1 0.933333       1 0.823529     0.457365
    919   h1 0.727273       1 0.752727       1 1.000000       1 0.658824       1 0.530960     0.191499
    920   h1 0.158103       1 0.000000       1 0.807692       1 0.000000       1 0.054180     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1 0.866667       1 0.823529     0.446854
    922   h1 0.909091       1 1.000000       1 0.750000       1 0.866667       1 0.823529     0.486631
    923   h1 0.909091       1 1.000000       1 0.750000       1 0.866667       1 0.823529     0.486631
    924   h1 0.909091       1 0.920000       1 0.750000       1 0.637255       1 0.823529     0.329192
    925   h1 0.197628       1 0.000000       1 0.605769       1 0.000000       1 0.108359     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1 0.800000       1 0.823529     0.244080
    927   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    928   h1 0.727273       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.261351
    929   h1 0.727273       1 0.669091       1 0.750000       1 0.564706       1 0.823529     0.169725
    930   h1 0.158103       1 0.000000       1 0.611111       1 0.000000       1 0.108359     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1 0.800000       1 0.823529     0.313622
    932   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.825077     0.327303
    933   h1 0.909091       1 0.727273       1 0.750000       1 0.800000       1 0.823529     0.326689
    934   h1 0.909091       1 0.669091       1 0.525641       1 0.564706       1 0.235294     0.042483
    935   h1 0.197628       1 0.000000       1 0.134615       1 0.000000       1 0.000000     0.000000
