 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    815   h1       1 0.750000       1 0.720000       1       1 0.733333 0.812500 0.764706     0.246044
    816   h1       1 0.818182       1 0.750000       1       1 0.733333 0.812500 0.764706     0.279596
    817   h1       1 0.613636       1 0.420000       1       1 0.635294 0.580357 0.342105     0.032508
    818   h1       1 0.916667       1 0.333333       1       1 0.800000 0.187500 0.106811     0.004896
    819   h1       1 1.000000       1 0.333333       1       1 0.800000 0.187500 0.058824     0.002941
    820   h1       1 0.750000       1 0.173333       1       1 0.611765 0.133929 0.026316     0.000280
    821   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1       1 0.866667 0.812500 0.823529     0.340209
    861   h1       1 0.727273       1 0.916667       1       1 0.866667 0.812500 0.823529     0.386601
    862   h1       1 0.636364       1 0.476667       1       1 0.662745 0.557143 0.368421     0.041265
    863   h1       1 0.363636       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1       1 0.933333 0.812500 0.823529     0.416340
    865   h1       1 0.727273       1 1.000000       1       1 0.933333 0.812500 0.823529     0.454189
    866   h1       1 0.727273       1 1.000000       1       1 0.933333 0.675000 0.823529     0.377326
    867   h1       1 0.727273       1 0.769231       1       1 0.658824 0.235714 0.216718     0.018828
    868   h1       1 0.715909       1 0.750000       1       1 0.800000 0.812500 0.823529     0.287416
    869   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    870   h1       1 0.727273       1 0.660256       1       1 0.800000 0.769643 0.823529     0.243483
    871   h1       1 0.367424       1 0.115385       1       1 0.329412 0.255357 0.021672     0.000077
    872   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500 0.823529     0.401471
    873   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500 0.823529     0.401471
    874   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500 0.823529     0.401471
    875   h1       1 0.681818       1 0.423077       1       1 0.403922 0.325000 0.044892     0.001700
    876   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    877   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    878   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000 0.823529     0.576471
    879   h1       1 0.833333       1 0.461538       1       1 0.400000 0.350000 0.043344     0.002334
    880   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    881   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    882   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.773994     0.274416
    883   h1       1 0.587121       1 0.288462       1       1 0.376471 0.325000 0.037152     0.000770
    884   h1       1 0.681818       1 0.750000       1       1 0.800000 0.812500 0.823529     0.273730
    885   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.823529     0.291979
    886   h1       1 0.727273       1 0.733974       1       1 0.752941 0.801786 0.823529     0.265385
    887   h1       1 0.606061       1 0.259615       1       1 0.247059 0.255357 0.253870     0.002520
    888   h1       1 0.666667       1 1.000000       1       1 0.800000 0.812500 0.823529     0.356863
    889   h1       1 0.727273       1 1.000000       1       1 0.800000 0.812500 0.801858     0.379060
    890   h1       1 0.727273       1 1.000000       1       1 0.658824 0.675000 0.602167     0.194754
    891   h1       1 0.727273       1 0.769231       1       1 0.141176 0.235714 0.123839     0.002305
    892   h1       1 0.666667       1 0.750000       1       1 0.800000 0.812500 0.837461     0.272175
    893   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500 0.882353     0.312834
    894   h1       1 0.704545       1 0.390000       1       1 0.611765 0.557143 0.394737     0.036969
    895   h1       1 0.636364       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
    916   h1       1 0.916667       1 0.750000       1       1 0.933333 0.812500 0.823529     0.429350
    917   h1       1 1.000000       1 0.750000       1       1 0.933333 0.812500 0.823529     0.468382
    918   h1       1 1.000000       1 0.750000       1       1 0.933333 0.812500 0.823529     0.468382
    919   h1       1 1.000000       1 0.570000       1       1 0.658824 0.510714 0.530960     0.101832
    920   h1       1 0.166667       1 0.000000       1       1 0.000000 0.000000 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1       1 0.866667 0.812500 0.823529     0.283508
    922   h1       1 0.727273       1 0.750000       1       1 0.866667 0.812500 0.823529     0.316310
    923   h1       1 0.727273       1 0.750000       1       1 0.866667 0.812500 0.823529     0.316310
    924   h1       1 0.727273       1 0.576923       1       1 0.637255 0.492857 0.823529     0.108525
    925   h1       1 0.121212       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    926   h1       1 0.833333       1 0.721154       1       1 0.800000 0.812500 0.823529     0.321691
    927   h1       1 0.909091       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    928   h1       1 0.909091       1 0.750000       1       1 0.800000 0.812500 0.823529     0.364973
    929   h1       1 0.909091       1 0.576923       1       1 0.564706 0.505357 0.823529     0.123261
    930   h1       1 0.151515       1 0.000000       1       1 0.000000 0.000000 0.108359     0.000000
    931   h1       1 0.833333       1 0.881410       1       1 0.800000 0.812500 0.823529     0.393178
    932   h1       1 0.909091       1 0.916667       1       1 0.800000 0.812500 0.825077     0.446917
    933   h1       1 0.909091       1 0.916667       1       1 0.800000 0.812500 0.823529     0.446078
    934   h1       1 0.909091       1 0.705128       1       1 0.564706 0.496429 0.235294     0.042283
    935   h1       1 0.151515       1 0.000000       1       1 0.000000 0.000000 0.000000     0.000000
