 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    416   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    417   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    418   h0 0.727273       1       1 0.730769       1 0.769231 0.758824       1 0.823529     0.255478
    419   h0 0.316206       1       1 0.201923       1 0.643875 0.205882       1 0.255418     0.002162
    420   h0 0.956522       1       1 0.960000       1 0.712251 0.800000       1 0.823529     0.430892
    421   h0 1.000000       1       1 1.000000       1 0.769231 0.800000       1 0.823529     0.506787
    422   h0 1.000000       1       1 1.000000       1 0.769231 0.662745       1 0.606811     0.309355
    423   h0 1.000000       1       1 0.800000       1 0.455840 0.094118       1 0.119195     0.004091
    424   h0 0.695652       1       1 0.720000       1 0.925926 0.800000       1 0.823529     0.305541
    425   h0 0.727273       1       1 0.750000       1 1.000000 0.800000       1 0.823529     0.359358
    426   h0 0.632411       1       1 0.420000       1 1.000000 0.635294       1 0.390093     0.065825
    427   h0 0.181818       1       1 0.000000       1 0.592593 0.000000       1 0.000000     0.000000
    448   h0 0.695652       1       1 0.720000       1 0.740741 0.866667       1 0.823529     0.264803
    449   h0 0.727273       1       1 0.750000       1 0.769231 0.866667       1 0.823529     0.299465
    450   h0 0.727273       1       1 0.750000       1 0.769231 0.866667       1 0.823529     0.299465
    451   h0 0.727273       1       1 0.576923       1 0.643875 0.611765       1 0.572755     0.094661
    452   h0 0.189723       1       1 0.000000       1 0.341880 0.000000       1 0.061920     0.000000
    453   h0 0.869565       1       1 0.720000       1 0.740741 0.800000       1 0.823529     0.305541
    454   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    455   h0 0.909091       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.345537
    456   h0 0.909091       1       1 0.600000       1 0.769231 0.564706       1 0.823529     0.195127
    457   h0 0.237154       1       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    458   h0 0.695652       1       1 0.720000       1 0.769231 0.800000       1 0.823529     0.253834
    459   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    460   h0 0.727273       1       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    461   h0 0.727273       1       1 0.600000       1 0.769231 0.564706       1 0.823529     0.156101
    462   h0 0.189723       1       1 0.000000       1 0.569801 0.000000       1 0.108359     0.000000
    463   h0 0.782609       1       1 0.800000       1 0.732194 0.800000       1 0.823529     0.302016
    464   h0 0.818182       1       1 0.833333       1 0.769231 0.800000       1 0.823529     0.345537
    465   h0 0.818182       1       1 0.833333       1 0.769231 0.800000       1 0.856037     0.359176
    466   h0 0.818182       1       1 0.666667       1 0.675214 0.564706       1 0.255418     0.053122
    467   h0 0.213439       1       1 0.000000       1 0.398860 0.000000       1 0.000000     0.000000
    812   h1 0.434783       1       1 0.400000       1 0.000000 0.000000       1 0.000000     0.000000
    813   h1 0.363636       1       1 0.416667       1 0.059829 0.000000       1 0.000000     0.000000
    814   h1 0.300395       1       1 0.216667       1 0.031339 0.000000       1 0.000000     0.000000
    815   h1 0.695652       1       1 0.720000       1 1.000000 0.733333       1 0.764706     0.280880
    816   h1 0.727273       1       1 0.750000       1 0.940171 0.733333       1 0.764706     0.287582
    817   h1 0.600791       1       1 0.420000       1 0.376068 0.635294       1 0.342105     0.020624
    818   h1 0.695652       1       1 0.333333       1 1.000000 0.800000       1 0.106811     0.019814
    819   h1 0.727273       1       1 0.333333       1 0.940171 0.800000       1 0.058824     0.010726
    820   h1 0.600791       1       1 0.173333       1 0.376068 0.611765       1 0.026316     0.000630
    821   h1 0.956522       1       1 0.000000       1 0.000000 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077 0.866667       1 0.823529     0.554558
    861   h1 1.000000       1       1 0.916667       1 0.923077 0.866667       1 0.823529     0.603922
    862   h1 1.000000       1       1 0.476667       1 0.923077 0.662745       1 0.368421     0.107434
    863   h1 1.000000       1       1 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231 0.933333       1 0.823529     0.411306
