 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    462   h0       1 0.151515       1       1 0.705128       1 0.000000 0.000000 0.108359     0.000000
    463   h0       1 0.958333       1       1 0.721154       1 0.800000 0.812500 0.823529     0.369945
    464   h0       1 1.000000       1       1 0.750000       1 0.800000 0.812500 0.823529     0.401471
    465   h0       1 1.000000       1       1 0.750000       1 0.800000 0.812500 0.856037     0.417318
    466   h0       1 1.000000       1       1 0.548077       1 0.564706 0.487500 0.255418     0.038538
    467   h0       1 0.166667       1       1 0.141026       1 0.000000 0.000000 0.000000     0.000000
    812   h1       1 0.916667       1       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    813   h1       1 1.000000       1       1 0.583333       1 0.000000 0.062500 0.000000     0.000000
    814   h1       1 0.750000       1       1 0.269231       1 0.000000 0.042857 0.000000     0.000000
    815   h1       1 0.750000       1       1 0.750000       1 0.733333 0.812500 0.764706     0.256296
    816   h1       1 0.818182       1       1 0.750000       1 0.733333 0.812500 0.764706     0.279596
    817   h1       1 0.613636       1       1 0.525641       1 0.635294 0.580357 0.342105     0.040685
    818   h1       1 0.916667       1       1 0.916667       1 0.800000 0.187500 0.106811     0.013463
    819   h1       1 1.000000       1       1 0.916667       1 0.800000 0.187500 0.058824     0.008088
    820   h1       1 0.750000       1       1 0.423077       1 0.611765 0.133929 0.026316     0.000684
    821   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1       1 0.750000       1 0.866667 0.812500 0.823529     0.289951
    861   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500 0.823529     0.316310
    862   h1       1 0.636364       1       1 0.750000       1 0.662745 0.557143 0.368421     0.064927
    863   h1       1 0.363636       1       1 0.461538       1 0.000000 0.000000 0.000000     0.000000
    864   h1       1 0.666667       1       1 0.916667       1 0.933333 0.812500 0.823529     0.381645
    865   h1       1 0.727273       1       1 0.916667       1 0.933333 0.812500 0.823529     0.416340
    866   h1       1 0.727273       1       1 0.916667       1 0.933333 0.675000 0.823529     0.345882
    867   h1       1 0.727273       1       1 0.564103       1 0.658824 0.235714 0.216718     0.013807
    868   h1       1 0.715909       1       1 0.750000       1 0.800000 0.812500 0.823529     0.287416
    869   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.823529     0.291979
    870   h1       1 0.727273       1       1 0.750000       1 0.800000 0.769643 0.823529     0.276578
    871   h1       1 0.367424       1       1 0.394231       1 0.329412 0.255357 0.021672     0.000264
    872   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    873   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    874   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500 0.823529     0.328476
    875   h1       1 0.681818       1       1 0.182692       1 0.403922 0.325000 0.044892     0.000734
    876   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    877   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    878   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000 0.823529     0.432353
    879   h1       1 0.833333       1       1 0.198718       1 0.400000 0.350000 0.043344     0.001005
    880   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500 0.823529     0.356863
    881   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500 0.823529     0.356863
    882   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500 0.773994     0.335397
    883   h1       1 0.587121       1       1 0.271605       1 0.376471 0.325000 0.037152     0.000725
    884   h1       1 0.681818       1       1 1.000000       1 0.800000 0.812500 0.823529     0.364973
    885   h1       1 0.727273       1       1 1.000000       1 0.800000 0.812500 0.823529     0.389305
    886   h1       1 0.727273       1       1 1.000000       1 0.752941 0.801786 0.823529     0.361573
    887   h1       1 0.606061       1       1 1.000000       1 0.247059 0.255357 0.253870     0.009707
    888   h1       1 0.666667       1       1 0.750000       1 0.800000 0.812500 0.823529     0.267647
    889   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.801858     0.284295
    890   h1       1 0.727273       1       1 0.750000       1 0.658824 0.675000 0.602167     0.146066
    891   h1       1 0.727273       1       1 0.461538       1 0.141176 0.235714 0.123839     0.001383
    892   h1       1 0.666667       1       1 0.750000       1 0.800000 0.812500 0.837461     0.272175
    893   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500 0.882353     0.312834
    894   h1       1 0.704545       1       1 0.701923       1 0.611765 0.557143 0.394737     0.066536
    895   h1       1 0.636364       1       1 0.410256       1 0.000000 0.000000 0.000000     0.000000
    916   h1       1 0.916667       1       1 1.000000       1 0.933333 0.812500 0.823529     0.572467
    917   h1       1 1.000000       1       1 1.000000       1 0.933333 0.812500 0.823529     0.624510
    918   h1       1 1.000000       1       1 1.000000       1 0.933333 0.812500 0.823529     0.624510
    919   h1       1 1.000000       1       1 1.000000       1 0.658824 0.510714 0.530960     0.178652
    920   h1       1 0.166667       1       1 0.807692       1 0.000000 0.000000 0.054180     0.000000
    921   h1       1 0.666667       1       1 0.750000       1 0.866667 0.812500 0.823529     0.289951
    922   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500 0.823529     0.316310
    923   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500 0.823529     0.316310
    924   h1       1 0.727273       1       1 0.750000       1 0.637255 0.492857 0.823529     0.141082
    925   h1       1 0.121212       1       1 0.605769       1 0.000000 0.000000 0.108359     0.000000
    926   h1       1 0.833333       1       1 0.750000       1 0.800000 0.812500 0.823529     0.334559
    927   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    928   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    929   h1       1 0.909091       1       1 0.750000       1 0.564706 0.505357 0.823529     0.160239
    930   h1       1 0.151515       1       1 0.611111       1 0.000000 0.000000 0.108359     0.000000
    931   h1       1 0.833333       1       1 0.750000       1 0.800000 0.812500 0.823529     0.334559
    932   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500 0.825077     0.365659
    933   h1       1 0.909091       1       1 0.750000       1 0.800000 0.812500 0.823529     0.364973
    934   h1       1 0.909091       1       1 0.525641       1 0.564706 0.496429 0.235294     0.031520
    935   h1       1 0.151515       1       1 0.134615       1 0.000000 0.000000 0.000000     0.000000
