 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.695652       1 0.960000       1 0.750000       1 0.733333 0.812500       1     0.298435
    816   h1 0.727273       1 1.000000       1 0.750000       1 0.733333 0.812500       1     0.325000
    817   h1 0.600791       1 0.600000       1 0.525641       1 0.635294 0.580357       1     0.069861
    818   h1 0.695652       1 0.727273       1 0.916667       1 0.800000 0.187500       1     0.069565
    819   h1 0.727273       1 0.727273       1 0.916667       1 0.800000 0.187500       1     0.072727
    820   h1 0.600791       1 0.465455       1 0.423077       1 0.611765 0.133929       1     0.009693
    821   h1 0.956522       1 0.436364       1 0.000000       1 0.000000 0.000000       1     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1 0.000000 0.000000       1     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1 0.000000 0.000000       1     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1 0.866667 0.812500       1     0.339837
    861   h1 1.000000       1 0.727273       1 0.750000       1 0.866667 0.812500       1     0.384091
    862   h1 1.000000       1 0.690909       1 0.750000       1 0.662745 0.557143       1     0.191335
    863   h1 1.000000       1 0.585455       1 0.461538       1 0.000000 0.000000       1     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1 0.933333 0.812500       1     0.323556
    865   h1 0.727273       1 0.727273       1 0.916667       1 0.933333 0.812500       1     0.367677
    866   h1 0.727273       1 0.727273       1 0.916667       1 0.933333 0.675000       1     0.305455
    867   h1 0.727273       1 0.669091       1 0.564103       1 0.658824 0.235714       1     0.042628
    868   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.322314
    869   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.322314
    870   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.769643       1     0.305313
    871   h1 0.909091       1 0.581818       1 0.394231       1 0.329412 0.255357       1     0.017540
    872   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.257851
    873   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.257851
    874   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.257851
    875   h1 0.660079       1 0.450909       1 0.182692       1 0.403922 0.325000       1     0.007138
    876   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000       1     0.277686
    877   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000       1     0.277686
    878   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.875000       1     0.277686
    879   h1 0.695652       1 0.465455       1 0.198718       1 0.400000 0.350000       1     0.009008
    880   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500       1     0.595833
    881   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500       1     0.595833
    882   h1 1.000000       1 1.000000       1 0.916667       1 0.800000 0.812500       1     0.595833
    883   h1 0.956522       1 0.680000       1 0.271605       1 0.376471 0.325000       1     0.021615
    884   h1 0.727273       1 0.818182       1 1.000000       1 0.800000 0.812500       1     0.386777
    885   h1 0.727273       1 0.818182       1 1.000000       1 0.800000 0.812500       1     0.386777
    886   h1 0.727273       1 0.818182       1 1.000000       1 0.752941 0.801786       1     0.359225
    887   h1 0.284585       1 0.130909       1 1.000000       1 0.247059 0.255357       1     0.002350
    888   h1 0.869565       1 0.960000       1 0.750000       1 0.800000 0.812500       1     0.406957
    889   h1 0.909091       1 1.000000       1 0.750000       1 0.800000 0.812500       1     0.443182
    890   h1 1.000000       1 1.000000       1 0.750000       1 0.658824 0.675000       1     0.333529
    891   h1 1.000000       1 0.920000       1 0.461538       1 0.141176 0.235714       1     0.014130
    892   h1 0.695652       1 0.909091       1 0.750000       1 0.800000 0.812500       1     0.308300
    893   h1 0.727273       1 0.909091       1 0.750000       1 0.800000 0.812500       1     0.322314
    894   h1 0.632411       1 0.640000       1 0.701923       1 0.611765 0.557143       1     0.096832
    895   h1 0.181818       1 0.000000       1 0.410256       1 0.000000 0.000000       1     0.000000
    916   h1 0.695652       1 0.752727       1 1.000000       1 0.933333 0.812500       1     0.397091
    917   h1 0.727273       1 0.818182       1 1.000000       1 0.933333 0.812500       1     0.451240
    918   h1 0.727273       1 0.818182       1 1.000000       1 0.933333 0.812500       1     0.451240
    919   h1 0.727273       1 0.752727       1 1.000000       1 0.658824 0.510714       1     0.184197
    920   h1 0.158103       1 0.000000       1 0.807692       1 0.000000 0.000000       1     0.000000
    921   h1 0.869565       1 0.960000       1 0.750000       1 0.866667 0.812500       1     0.440870
    922   h1 0.909091       1 1.000000       1 0.750000       1 0.866667 0.812500       1     0.480114
    923   h1 0.909091       1 1.000000       1 0.750000       1 0.866667 0.812500       1     0.480114
    924   h1 0.909091       1 0.920000       1 0.750000       1 0.637255 0.492857       1     0.197011
    925   h1 0.197628       1 0.000000       1 0.605769       1 0.000000 0.000000       1     0.000000
    926   h1 0.707510       1 0.698182       1 0.750000       1 0.800000 0.812500       1     0.240811
    927   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.257851
    928   h1 0.727273       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.257851
    929   h1 0.727273       1 0.669091       1 0.750000       1 0.564706 0.505357       1     0.104151
    930   h1 0.158103       1 0.000000       1 0.611111       1 0.000000 0.000000       1     0.000000
    931   h1 0.909091       1 0.698182       1 0.750000       1 0.800000 0.812500       1     0.309421
    932   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.322314
    933   h1 0.909091       1 0.727273       1 0.750000       1 0.800000 0.812500       1     0.322314
    934   h1 0.909091       1 0.669091       1 0.525641       1 0.564706 0.496429       1     0.089632
    935   h1 0.197628       1 0.000000       1 0.134615       1 0.000000 0.000000       1     0.000000
