 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1 0.000000 0.000000       1       1     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1 0.000000 0.000000       1       1     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1 0.000000 0.000000       1       1     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1 0.962963 0.800000       1       1     0.370421
    348   h0 0.727273       1 1.000000 0.750000       1 1.000000 0.800000       1       1     0.436364
    349   h0 0.569170       1 0.640000 0.420000       1 0.407407 0.635294       1       1     0.039598
    350   h0 0.695652       1 0.610909 0.240000       1 0.888889 0.866667       1       1     0.078574
    351   h0 0.727273       1 0.636364 0.250000       1 0.923077 0.866667       1       1     0.092562
    352   h0 0.600791       1 0.407273 0.140000       1 0.376068 0.688235       1       1     0.008866
    353   h0 0.956522       1 0.436364 0.000000       1 0.074074 0.000000       1       1     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1 0.076923 0.000000       1       1     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1 0.031339 0.000000       1       1     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1 0.814815 0.933333       1       1     0.406302
    393   h0 1.000000       1 0.727273 0.833333       1 0.846154 0.933333       1       1     0.478632
    394   h0 1.000000       1 0.727273 0.448718       1 0.846154 0.741176       1       1     0.204664
    395   h0 1.000000       1 0.669091 0.000000       1 0.501425 0.000000       1       1     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1 0.740741 0.933333       1       1     0.322355
    397   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1       1     0.379741
    398   h0 0.727273       1 0.727273 1.000000       1 0.769231 0.933333       1       1     0.379741
    399   h0 0.727273       1 0.669091 0.769231       1 0.455840 0.658824       1       1     0.112414
    400   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000       1       1     0.343293
    401   h0 0.909091       1 0.818182 0.750000       1 0.769231 0.800000       1       1     0.343293
    402   h0 0.909091       1 0.818182 0.680000       1 0.769231 0.800000       1       1     0.311252
    403   h0 0.909091       1 0.654545 0.115385       1 0.598291 0.333333       1       1     0.013693
    404   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1       1     0.298368
    405   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1       1     0.298368
    406   h0 0.727273       1 0.727273 0.833333       1 0.846154 0.800000       1       1     0.298368
    407   h0 0.703557       1 0.461818 0.384615       1 0.188034 0.405882       1       1     0.009537
    408   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1       1     0.423140
    409   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1       1     0.423140
    410   h0 0.727273       1 0.727273 1.000000       1 1.000000 0.800000       1       1     0.423140
    411   h0 0.723320       1 0.490909 0.461538       1 0.222222 0.423529       1       1     0.015424
    412   h0 1.000000       1 1.000000 0.750000       1 0.769231 0.800000       1       1     0.461538
