 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    815   h1 0.695652       1       1 0.720000       1 1.000000 0.733333 0.812500       1     0.298435
    816   h1 0.727273       1       1 0.750000       1 0.940171 0.733333 0.812500       1     0.305556
    817   h1 0.600791       1       1 0.420000       1 0.376068 0.635294 0.580357       1     0.034987
    818   h1 0.695652       1       1 0.333333       1 1.000000 0.800000 0.187500       1     0.034783
    819   h1 0.727273       1       1 0.333333       1 0.940171 0.800000 0.187500       1     0.034188
    820   h1 0.600791       1       1 0.173333       1 0.376068 0.611765 0.133929       1     0.003209
    821   h1 0.956522       1       1 0.000000       1 0.000000 0.000000 0.000000       1     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829 0.000000 0.000000       1     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339 0.000000 0.000000       1     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077 0.866667 0.812500       1     0.547130
    861   h1 1.000000       1       1 0.916667       1 0.923077 0.866667 0.812500       1     0.595833
    862   h1 1.000000       1       1 0.476667       1 0.923077 0.662745 0.557143       1     0.162467
    863   h1 1.000000       1       1 0.000000       1 0.512821 0.000000 0.000000       1     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231 0.933333 0.812500       1     0.405797
    865   h1 0.727273       1       1 1.000000       1 0.769231 0.933333 0.812500       1     0.424242
    866   h1 0.727273       1       1 1.000000       1 0.769231 0.933333 0.675000       1     0.352448
    867   h1 0.727273       1       1 0.769231       1 0.427350 0.658824 0.235714       1     0.037127
    868   h1 0.909091       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    869   h1 0.909091       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.340909
    870   h1 0.909091       1       1 0.660256       1 0.769231 0.800000 0.769643       1     0.284286
    871   h1 0.909091       1       1 0.115385       1 0.569801 0.329412 0.255357       1     0.005028
    872   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500       1     0.366667
    873   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500       1     0.366667
    874   h1 0.727273       1       1 0.916667       1 0.846154 0.800000 0.812500       1     0.366667
    875   h1 0.660079       1       1 0.423077       1 0.156695 0.403922 0.325000       1     0.005744
    876   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000       1     0.509091
    877   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000       1     0.509091
    878   h1 0.727273       1       1 1.000000       1 1.000000 0.800000 0.875000       1     0.509091
    879   h1 0.695652       1       1 0.461538       1 0.222222 0.400000 0.350000       1     0.009989
    880   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500       1     0.412500
    881   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500       1     0.412500
    882   h1 1.000000       1       1 0.750000       1 0.846154 0.800000 0.812500       1     0.412500
    883   h1 0.956522       1       1 0.288462       1 0.125356 0.376471 0.325000       1     0.004232
    884   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    885   h1 0.727273       1       1 0.750000       1 0.769231 0.800000 0.812500       1     0.272727
    886   h1 0.727273       1       1 0.733974       1 0.769231 0.752941 0.801786       1     0.247887
    887   h1 0.284585       1       1 0.259615       1 0.678063 0.247059 0.255357       1     0.003161
    888   h1 0.869565       1       1 1.000000       1 0.846154 0.800000 0.812500       1     0.478261
    889   h1 0.909091       1       1 1.000000       1 0.786325 0.800000 0.812500       1     0.464646
    890   h1 1.000000       1       1 1.000000       1 0.817664 0.658824 0.675000       1     0.363620
    891   h1 1.000000       1       1 0.769231       1 0.470085 0.141176 0.235714       1     0.012033
    892   h1 0.695652       1       1 0.750000       1 0.923077 0.800000 0.812500       1     0.313043
    893   h1 0.727273       1       1 0.750000       1 0.923077 0.800000 0.812500       1     0.327273
    894   h1 0.632411       1       1 0.390000       1 0.923077 0.611765 0.557143       1     0.077598
