 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    815   h1       1 0.750000       1 0.720000       1 1.000000 0.733333       1 0.764706     0.302824
    816   h1       1 0.818182       1 0.750000       1 0.940171 0.733333       1 0.764706     0.323529
    817   h1       1 0.613636       1 0.420000       1 0.376068 0.635294       1 0.342105     0.021065
    818   h1       1 0.916667       1 0.333333       1 1.000000 0.800000       1 0.106811     0.026109
    819   h1       1 1.000000       1 0.333333       1 0.940171 0.800000       1 0.058824     0.014748
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765       1 0.026316     0.000787
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000       1 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000       1 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000       1 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667       1 0.823529     0.386510
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667       1 0.823529     0.439216
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745       1 0.368421     0.068367
    863   h1       1 0.363636       1 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231 0.933333       1 0.823529     0.394168
    865   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    866   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1 0.823529     0.430001
    867   h1       1 0.727273       1 0.769231       1 0.427350 0.658824       1 0.216718     0.034135
    868   h1       1 0.715909       1 0.750000       1 0.769231 0.800000       1 0.823529     0.272110
    869   h1       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    870   h1       1 0.727273       1 0.660256       1 0.769231 0.800000       1 0.823529     0.243352
    871   h1       1 0.367424       1 0.115385       1 0.569801 0.329412       1 0.021672     0.000172
    872   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1 0.823529     0.418100
    873   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1 0.823529     0.418100
    874   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1 0.823529     0.418100
    875   h1       1 0.681818       1 0.423077       1 0.156695 0.403922       1 0.044892     0.000820
    876   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    877   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    878   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1 0.823529     0.658824
    879   h1       1 0.833333       1 0.461538       1 0.222222 0.400000       1 0.043344     0.001482
    880   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1 0.823529     0.304072
    881   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1 0.823529     0.304072
    882   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1 0.773994     0.285782
    883   h1       1 0.587121       1 0.288462       1 0.125356 0.376471       1 0.037152     0.000297
    884   h1       1 0.681818       1 0.750000       1 0.769231 0.800000       1 0.823529     0.259153
    885   h1       1 0.727273       1 0.750000       1 0.769231 0.800000       1 0.823529     0.276429
    886   h1       1 0.727273       1 0.733974       1 0.769231 0.752941       1 0.823529     0.254610
    887   h1       1 0.606061       1 0.259615       1 0.678063 0.247059       1 0.253870     0.006692
    888   h1       1 0.666667       1 1.000000       1 0.846154 0.800000       1 0.823529     0.371644
    889   h1       1 0.727273       1 1.000000       1 0.786325 0.800000       1 0.801858     0.366848
    890   h1       1 0.727273       1 1.000000       1 0.817664 0.658824       1 0.602167     0.235916
    891   h1       1 0.727273       1 0.769231       1 0.470085 0.141176       1 0.123839     0.004598
    892   h1       1 0.666667       1 0.750000       1 0.923077 0.800000       1 0.837461     0.309216
    893   h1       1 0.727273       1 0.750000       1 0.923077 0.800000       1 0.882353     0.355409
    894   h1       1 0.704545       1 0.390000       1 0.923077 0.611765       1 0.394737     0.061250
    895   h1       1 0.636364       1 0.000000       1 0.512821 0.000000       1 0.000000     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231 0.933333       1 0.823529     0.406486
    917   h1       1 1.000000       1 0.750000       1 0.769231 0.933333       1 0.823529     0.443439
    918   h1       1 1.000000       1 0.750000       1 0.769231 0.933333       1 0.823529     0.443439
    919   h1       1 1.000000       1 0.570000       1 0.666667 0.658824       1 0.530960     0.132927
    920   h1       1 0.166667       1 0.000000       1 0.398860 0.000000       1 0.054180     0.000000
    921   h1       1 0.666667       1 0.733333       1 0.769231 0.866667       1 0.823529     0.268410
