 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.434783       1 0.000000 0.480000       1       1       1 0.062500 0.000000     0.000000
    345   h0 0.454545       1 0.000000 0.500000       1       1       1 0.062500 0.000000     0.000000
    346   h0 0.355731       1 0.000000 0.280000       1       1       1 0.044643 0.000000     0.000000
    347   h0 0.695652       1 0.960000 0.720000       1       1       1 0.812500 0.764706     0.298754
    348   h0 0.727273       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.364973
    349   h0 0.569170       1 0.640000 0.420000       1       1       1 0.580357 0.390093     0.034637
    350   h0 0.695652       1 0.610909 0.240000       1       1       1 0.125000 0.058824     0.000750
    351   h0 0.727273       1 0.636364 0.250000       1       1       1 0.125000 0.058824     0.000851
    352   h0 0.600791       1 0.407273 0.140000       1       1       1 0.089286 0.027864     0.000085
    353   h0 0.956522       1 0.436364 0.000000       1       1       1 0.000000 0.000000     0.000000
    354   h0 1.000000       1 0.454545 0.000000       1       1       1 0.000000 0.000000     0.000000
    355   h0 0.826087       1 0.290909 0.000000       1       1       1 0.000000 0.000000     0.000000
    392   h0 0.956522       1 0.698182 0.800000       1       1       1 0.812500 0.823529     0.357483
    393   h0 1.000000       1 0.727273 0.833333       1       1       1 0.812500 0.823529     0.405526
    394   h0 1.000000       1 0.727273 0.448718       1       1       1 0.580357 0.390093     0.073881
    395   h0 1.000000       1 0.669091 0.000000       1       1       1 0.000000 0.000000     0.000000
    396   h0 0.695652       1 0.698182 0.960000       1       1       1 0.812500 0.882353     0.334270
    397   h0 0.727273       1 0.727273 1.000000       1       1       1 0.812500 0.860681     0.369879
    398   h0 0.727273       1 0.727273 1.000000       1       1       1 0.687500 0.823529     0.299465
    399   h0 0.727273       1 0.669091 0.769231       1       1       1 0.225000 0.238390     0.020078
    400   h0 0.909091       1 0.818182 0.750000       1       1       1 0.812500 0.823529     0.373268
    401   h0 0.909091       1 0.818182 0.750000       1       1       1 0.812500 0.823529     0.373268
    402   h0 0.909091       1 0.818182 0.680000       1       1       1 0.792857 0.823529     0.330248
    403   h0 0.909091       1 0.654545 0.115385       1       1       1 0.278571 0.043344     0.000829
    404   h0 0.727273       1 0.727273 0.833333       1       1       1 0.875000 0.823529     0.317615
    405   h0 0.727273       1 0.727273 0.833333       1       1       1 0.875000 0.823529     0.317615
    406   h0 0.727273       1 0.727273 0.833333       1       1       1 0.875000 0.823529     0.317615
    407   h0 0.703557       1 0.461818 0.384615       1       1       1 0.350000 0.068111     0.002979
    408   h0 0.727273       1 0.727273 1.000000       1       1       1 0.875000 0.823529     0.381138
    409   h0 0.727273       1 0.727273 1.000000       1       1       1 0.875000 0.823529     0.381138
    410   h0 0.727273       1 0.727273 1.000000       1       1       1 0.875000 0.823529     0.381138
    411   h0 0.723320       1 0.490909 0.461538       1       1       1 0.350000 0.065015     0.003729
    412   h0 1.000000       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.501838
    413   h0 1.000000       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.501838
    414   h0 1.000000       1 1.000000 0.750000       1       1       1 0.812500 0.767802     0.467879
    415   h0 1.000000       1 0.680000 0.317308       1       1       1 0.325000 0.038700     0.002714
    416   h0 0.727273       1 0.909091 0.750000       1       1       1 0.812500 0.823529     0.331794
    417   h0 0.727273       1 0.909091 0.750000       1       1       1 0.812500 0.823529     0.331794
    418   h0 0.727273       1 0.909091 0.730769       1       1       1 0.787500 0.823529     0.313339
    419   h0 0.316206       1 0.181818 0.201923       1       1       1 0.235714 0.255418     0.000699
    420   h0 0.956522       1 0.872727 0.960000       1       1       1 0.812500 0.823529     0.536225
    421   h0 1.000000       1 0.909091 1.000000       1       1       1 0.812500 0.823529     0.608289
    422   h0 1.000000       1 0.909091 1.000000       1       1       1 0.687500 0.606811     0.379257
    423   h0 1.000000       1 0.836364 0.800000       1       1       1 0.225000 0.119195     0.017944
    424   h0 0.695652       1 0.960000 0.720000       1       1       1 0.812500 0.823529     0.321735
    425   h0 0.727273       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.364973
    426   h0 0.632411       1 0.640000 0.420000       1       1       1 0.580357 0.390093     0.038485
    427   h0 0.181818       1 0.000000 0.000000       1       1       1 0.000000 0.000000     0.000000
    448   h0 0.695652       1 0.698182 0.720000       1       1       1 0.812500 0.823529     0.233989
    449   h0 0.727273       1 0.727273 0.750000       1       1       1 0.812500 0.823529     0.265435
    450   h0 0.727273       1 0.727273 0.750000       1       1       1 0.812500 0.823529     0.265435
    451   h0 0.727273       1 0.669091 0.576923       1       1       1 0.487500 0.572755     0.078387
    452   h0 0.189723       1 0.000000 0.000000       1       1       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1 0.960000 0.720000       1       1       1 0.812500 0.823529     0.402169
    454   h0 0.909091       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.456217
    455   h0 0.909091       1 1.000000 0.750000       1       1       1 0.812500 0.823529     0.456217
    456   h0 0.909091       1 0.920000 0.600000       1       1       1 0.487500 0.823529     0.201465
    457   h0 0.237154       1 0.000000 0.000000       1       1       1 0.000000 0.108359     0.000000
