 ChipID Half  Layer0   Layer1   Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    344   h0       1 0.871212 0.000000       1 0.641026       1 0.000000       1 0.000000     0.000000
    345   h0       1 0.965909 0.000000       1 0.666667       1 0.000000       1 0.000000     0.000000
    346   h0       1 0.708333 0.000000       1 0.307692       1 0.000000       1 0.000000     0.000000
    347   h0       1 0.784091 0.960000       1 0.721154       1 0.800000       1 0.764706     0.332086
    348   h0       1 0.818182 1.000000       1 0.750000       1 0.800000       1 0.823529     0.404278
    349   h0       1 0.579545 0.640000       1 0.570513       1 0.635294       1 0.390093     0.052442
    350   h0       1 0.958333 0.610909       1 0.801282       1 0.866667       1 0.058824     0.023916
    351   h0       1 1.000000 0.636364       1 0.833333       1 0.866667       1 0.058824     0.027035
    352   h0       1 0.708333 0.407273       1 0.352564       1 0.688235       1 0.027864     0.001950
    353   h0       1 0.000000 0.436364       1 0.000000       1 0.000000       1 0.000000     0.000000
    354   h0       1 0.000000 0.454545       1 0.000000       1 0.000000       1 0.000000     0.000000
    355   h0       1 0.000000 0.290909       1 0.000000       1 0.000000       1 0.000000     0.000000
    392   h0       1 0.696970 0.698182       1 0.721154       1 0.933333       1 0.823529     0.269728
    393   h0       1 0.727273 0.727273       1 0.750000       1 0.933333       1 0.823529     0.304910
    394   h0       1 0.647727 0.727273       1 0.750000       1 0.741176       1 0.390093     0.102150
    395   h0       1 0.454545 0.669091       1 0.490385       1 0.000000       1 0.000000     0.000000
    396   h0       1 0.696970 0.698182       1 0.801282       1 0.933333       1 0.882353     0.321105
    397   h0       1 0.727273 0.727273       1 0.833333       1 0.933333       1 0.860681     0.354073
    398   h0       1 0.727273 0.727273       1 0.833333       1 0.933333       1 0.823529     0.338789
    399   h0       1 0.727273 0.669091       1 0.544872       1 0.658824       1 0.238390     0.041642
    400   h0       1 0.727273 0.818182       1 0.750000       1 0.800000       1 0.823529     0.294020
    401   h0       1 0.727273 0.818182       1 0.750000       1 0.800000       1 0.823529     0.294020
    402   h0       1 0.727273 0.818182       1 0.750000       1 0.800000       1 0.823529     0.294020
    403   h0       1 0.454545 0.654545       1 0.384615       1 0.333333       1 0.043344     0.001653
    404   h0       1 0.818182 0.727273       1 0.750000       1 0.800000       1 0.823529     0.294020
    405   h0       1 0.818182 0.727273       1 0.750000       1 0.800000       1 0.823529     0.294020
    406   h0       1 0.818182 0.727273       1 0.750000       1 0.800000       1 0.823529     0.294020
    407   h0       1 0.681818 0.461818       1 0.221154       1 0.405882       1 0.068111     0.001925
    408   h0       1 1.000000 0.727273       1 0.750000       1 0.800000       1 0.823529     0.359358
    409   h0       1 1.000000 0.727273       1 0.750000       1 0.800000       1 0.823529     0.359358
    410   h0       1 1.000000 0.727273       1 0.750000       1 0.800000       1 0.823529     0.359358
    411   h0       1 0.875000 0.490909       1 0.224359       1 0.423529       1 0.065015     0.002654
    412   h0       1 0.727273 1.000000       1 0.833333       1 0.800000       1 0.823529     0.399287
    413   h0       1 0.727273 1.000000       1 0.833333       1 0.800000       1 0.823529     0.399287
    414   h0       1 0.727273 1.000000       1 0.833333       1 0.800000       1 0.767802     0.372268
    415   h0       1 0.587121 0.680000       1 0.288462       1 0.358824       1 0.038700     0.001599
    416   h0       1 0.689394 0.909091       1 1.000000       1 0.800000       1 0.823529     0.412899
    417   h0       1 0.727273 0.909091       1 1.000000       1 0.800000       1 0.823529     0.435586
    418   h0       1 0.727273 0.909091       1 1.000000       1 0.758824       1 0.823529     0.413166
    419   h0       1 0.545455 0.181818       1 1.000000       1 0.205882       1 0.255418     0.005215
