 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    449   h0 0.727273       1 0.727273       1 1.000000       1       1 0.812500 0.823529     0.353913
    450   h0 0.727273       1 0.727273       1 1.000000       1       1 0.812500 0.823529     0.353913
    451   h0 0.727273       1 0.669091       1 1.000000       1       1 0.487500 0.572755     0.135871
    452   h0 0.189723       1 0.000000       1 0.846154       1       1 0.000000 0.061920     0.000000
    453   h0 0.869565       1 0.960000       1 0.801282       1       1 0.812500 0.823529     0.447570
    454   h0 0.909091       1 1.000000       1 0.833333       1       1 0.812500 0.823529     0.506907
    455   h0 0.909091       1 1.000000       1 0.833333       1       1 0.812500 0.823529     0.506907
    456   h0 0.909091       1 0.920000       1 0.833333       1       1 0.487500 0.823529     0.279813
    457   h0 0.237154       1 0.000000       1 0.705128       1       1 0.000000 0.108359     0.000000
    458   h0 0.695652       1 0.698182       1 0.801282       1       1 0.812500 0.823529     0.260405
    459   h0 0.727273       1 0.727273       1 0.833333       1       1 0.812500 0.823529     0.294928
    460   h0 0.727273       1 0.727273       1 0.833333       1       1 0.812500 0.823529     0.294928
    461   h0 0.727273       1 0.669091       1 0.833333       1       1 0.487500 0.823529     0.162800
    462   h0 0.189723       1 0.000000       1 0.705128       1       1 0.000000 0.108359     0.000000
    463   h0 0.782609       1 0.698182       1 0.721154       1       1 0.812500 0.823529     0.263660
    464   h0 0.818182       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.298614
    465   h0 0.818182       1 0.727273       1 0.750000       1       1 0.812500 0.856037     0.310402
    466   h0 0.818182       1 0.669091       1 0.548077       1       1 0.487500 0.255418     0.037360
    467   h0 0.213439       1 0.000000       1 0.141026       1       1 0.000000 0.000000     0.000000
    812   h1 0.434783       1 0.000000       1 0.583333       1       1 0.062500 0.000000     0.000000
    813   h1 0.363636       1 0.000000       1 0.583333       1       1 0.062500 0.000000     0.000000
    814   h1 0.300395       1 0.000000       1 0.269231       1       1 0.042857 0.000000     0.000000
    815   h1 0.695652       1 0.960000       1 0.750000       1       1 0.812500 0.764706     0.311202
    816   h1 0.727273       1 1.000000       1 0.750000       1       1 0.812500 0.764706     0.338904
    817   h1 0.600791       1 0.600000       1 0.525641       1       1 0.580357 0.342105     0.037620
    818   h1 0.695652       1 0.727273       1 0.916667       1       1 0.187500 0.106811     0.009288
    819   h1 0.727273       1 0.727273       1 0.916667       1       1 0.187500 0.058824     0.005348
    820   h1 0.600791       1 0.465455       1 0.423077       1       1 0.133929 0.026316     0.000417
    821   h1 0.956522       1 0.436364       1 0.000000       1       1 0.000000 0.000000     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1       1 0.000000 0.000000     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1       1 0.000000 0.000000     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1       1 0.812500 0.823529     0.322922
    861   h1 1.000000       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.364973
    862   h1 1.000000       1 0.690909       1 0.750000       1       1 0.557143 0.368421     0.106364
    863   h1 1.000000       1 0.585455       1 0.461538       1       1 0.000000 0.000000     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1       1 0.812500 0.823529     0.285490
    865   h1 0.727273       1 0.727273       1 0.916667       1       1 0.812500 0.823529     0.324421
    866   h1 0.727273       1 0.727273       1 0.916667       1       1 0.675000 0.823529     0.269519
    867   h1 0.727273       1 0.669091       1 0.564103       1       1 0.235714 0.216718     0.014022
    868   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.331794
    869   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500 0.823529     0.331794
    870   h1 0.909091       1 0.727273       1 0.750000       1       1 0.769643 0.823529     0.314293
