Configurations	Weights(%)
0.1.2.3.6.8	-4.51
0.1.2.3.6.9	-4.91
0.1.2.3.7.8	0.0
0.1.2.3.7.9	0.0
0.1.2.4.6.7	-4.98
0.1.2.4.6.8	-4.29
0.1.2.4.6.9	-4.82
0.1.2.4.7.8	0.0
0.1.2.4.7.9	0.0
0.1.2.4.8.9	0.0
0.1.2.5.6.7	-4.86
0.1.2.5.6.8	-4.58
0.1.2.5.6.9	-4.82
0.1.2.5.7.8	0.0
0.1.2.5.7.9	0.0
0.1.2.5.8.9	0.0
0.1.2.6.7.8	-4.12
0.1.2.6.7.9	-4.66
0.1.2.6.8.9	-4.65
0.1.2.7.8.9	0.0
0.1.3.4.6.7	-4.81
0.1.3.4.6.8	-4.26
0.1.3.4.6.9	-4.69
0.1.3.4.7.8	0.0
0.1.3.4.7.9	0.0
0.1.3.4.8.9	0.0
0.1.3.5.6.7	-4.75
0.1.3.5.6.8	-4.89
0.1.3.5.6.9	-4.8
0.1.3.5.7.8	0.0
0.1.3.5.7.9	0.0
0.1.3.5.8.9	0.0
0.1.3.6.7.8	-4.35
0.1.3.6.7.9	-4.64
0.1.3.6.8.9	-4.63
0.1.3.7.8.9	0.0
0.1.4.5.6.8	-4.45
0.1.4.5.6.9	-4.64
0.1.4.5.7.8	0.0
0.1.4.5.7.9	0.0
0.1.4.6.7.8	-4.02
0.1.4.6.7.9	-4.59
0.1.4.6.8.9	-4.56
0.1.4.7.8.9	0.0
0.1.5.6.7.8	-4.39
0.1.5.6.7.9	-4.48
0.1.5.6.8.9	-4.52
0.1.5.7.8.9	0.0
0.2.3.4.6.7	-5.27
0.2.3.4.6.8	-4.27
0.2.3.4.6.9	-5.14
0.2.3.4.7.8	0.0
0.2.3.4.7.9	0.0
0.2.3.4.8.9	0.0
0.2.3.5.6.7	-5.31
0.2.3.5.6.8	-4.63
0.2.3.5.6.9	-5.18
0.2.3.5.7.8	0.0
0.2.3.5.7.9	0.0
0.2.3.5.8.9	0.0
0.2.3.6.7.8	-4.16
0.2.3.6.7.9	-4.92
0.2.3.6.8.9	-4.9
0.2.3.7.8.9	0.0
0.2.4.5.6.7	-5.06
0.2.4.5.6.8	-4.52
0.2.4.5.6.9	-5.14
0.2.4.5.7.8	0.0
0.2.4.5.7.9	0.0
0.2.4.5.8.9	0.0
0.2.4.6.7.8	-4.11
0.2.4.6.7.9	-5.07
0.2.4.6.8.9	-4.99
0.2.4.7.8.9	0.0
0.2.5.6.7.8	-4.25
0.2.5.6.7.9	-4.83
0.2.5.6.8.9	-4.85
0.2.5.7.8.9	0.0
0.2.6.7.8.9	-4.71
0.3.4.5.6.7	-4.77
0.3.4.5.6.8	-4.38
0.3.4.5.6.9	-4.92
0.3.4.5.7.8	0.0
0.3.4.5.7.9	0.0
0.3.4.5.8.9	0.0
