 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1 0.600791       1       1       1 0.423077       1 0.611765       1 0.026316     0.004092
    821   h1 0.956522       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1       1       1 0.750000       1 0.866667       1 0.823529     0.512020
    861   h1 1.000000       1       1       1 0.750000       1 0.866667       1 0.823529     0.535294
    862   h1 1.000000       1       1       1 0.750000       1 0.662745       1 0.368421     0.183127
    863   h1 1.000000       1       1       1 0.461538       1 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1       1       1 0.916667       1 0.933333       1 0.823529     0.490139
    865   h1 0.727273       1       1       1 0.916667       1 0.933333       1 0.823529     0.512418
    866   h1 0.727273       1       1       1 0.916667       1 0.933333       1 0.823529     0.512418
    867   h1 0.727273       1       1       1 0.564103       1 0.658824       1 0.216718     0.058576
    868   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    869   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    870   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    871   h1 0.909091       1       1       1 0.394231       1 0.329412       1 0.021672     0.002559
    872   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    873   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    874   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    875   h1 0.660079       1       1       1 0.182692       1 0.403922       1 0.044892     0.002187
    876   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    877   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    878   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    879   h1 0.695652       1       1       1 0.198718       1 0.400000       1 0.043344     0.002397
    880   h1 1.000000       1       1       1 0.916667       1 0.800000       1 0.823529     0.603922
    881   h1 1.000000       1       1       1 0.916667       1 0.800000       1 0.823529     0.603922
    882   h1 1.000000       1       1       1 0.916667       1 0.800000       1 0.773994     0.567595
    883   h1 0.956522       1       1       1 0.271605       1 0.376471       1 0.037152     0.003634
    884   h1 0.727273       1       1       1 1.000000       1 0.800000       1 0.823529     0.479144
    885   h1 0.727273       1       1       1 1.000000       1 0.800000       1 0.823529     0.479144
    886   h1 0.727273       1       1       1 1.000000       1 0.752941       1 0.823529     0.450959
    887   h1 0.284585       1       1       1 1.000000       1 0.247059       1 0.253870     0.017849
    888   h1 0.869565       1       1       1 0.750000       1 0.800000       1 0.823529     0.429668
    889   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.801858     0.437377
    890   h1 1.000000       1       1       1 0.750000       1 0.658824       1 0.602167     0.297541
    891   h1 1.000000       1       1       1 0.461538       1 0.141176       1 0.123839     0.008069
    892   h1 0.695652       1       1       1 0.750000       1 0.800000       1 0.837461     0.349549
    893   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.882353     0.385027
    894   h1 0.632411       1       1       1 0.701923       1 0.611765       1 0.394737     0.107197
    895   h1 0.181818       1       1       1 0.410256       1 0.000000       1 0.000000     0.000000
    916   h1 0.695652       1       1       1 1.000000       1 0.933333       1 0.823529     0.534697
    917   h1 0.727273       1       1       1 1.000000       1 0.933333       1 0.823529     0.559002
    918   h1 0.727273       1       1       1 1.000000       1 0.933333       1 0.823529     0.559002
    919   h1 0.727273       1       1       1 1.000000       1 0.658824       1 0.530960     0.254406
    920   h1 0.158103       1       1       1 0.807692       1 0.000000       1 0.054180     0.000000
    921   h1 0.869565       1       1       1 0.750000       1 0.866667       1 0.823529     0.465473
    922   h1 0.909091       1       1       1 0.750000       1 0.866667       1 0.823529     0.486631
    923   h1 0.909091       1       1       1 0.750000       1 0.866667       1 0.823529     0.486631
    924   h1 0.909091       1       1       1 0.750000       1 0.637255       1 0.823529     0.357817
    925   h1 0.197628       1       1       1 0.605769       1 0.000000       1 0.108359     0.000000
    926   h1 0.707510       1       1       1 0.750000       1 0.800000       1 0.823529     0.349593
    927   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    928   h1 0.727273       1       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    929   h1 0.727273       1       1       1 0.750000       1 0.564706       1 0.823529     0.253665
    930   h1 0.158103       1       1       1 0.611111       1 0.000000       1 0.108359     0.000000
    931   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    932   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.825077     0.450042
    933   h1 0.909091       1       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    934   h1 0.909091       1       1       1 0.525641       1 0.564706       1 0.235294     0.063494
    935   h1 0.197628       1       1       1 0.134615       1 0.000000       1 0.000000     0.000000
