 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    816   h1 0.727273       1       1 0.750000       1       1 0.733333 0.812500       1     0.325000
    817   h1 0.600791       1       1 0.420000       1       1 0.635294 0.580357       1     0.093034
    818   h1 0.695652       1       1 0.333333       1       1 0.800000 0.187500       1     0.034783
    819   h1 0.727273       1       1 0.333333       1       1 0.800000 0.187500       1     0.036364
    820   h1 0.600791       1       1 0.173333       1       1 0.611765 0.133929       1     0.008532
    821   h1 0.956522       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    822   h1 1.000000       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    823   h1 0.826087       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    860   h1 0.956522       1       1 0.880000       1       1 0.866667 0.812500       1     0.592725
    861   h1 1.000000       1       1 0.916667       1       1 0.866667 0.812500       1     0.645486
    862   h1 1.000000       1       1 0.476667       1       1 0.662745 0.557143       1     0.176006
    863   h1 1.000000       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    864   h1 0.695652       1       1 1.000000       1       1 0.933333 0.812500       1     0.527536
    865   h1 0.727273       1       1 1.000000       1       1 0.933333 0.812500       1     0.551515
    866   h1 0.727273       1       1 1.000000       1       1 0.933333 0.675000       1     0.458182
    867   h1 0.727273       1       1 0.769231       1       1 0.658824 0.235714       1     0.086878
    868   h1 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    869   h1 0.909091       1       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    870   h1 0.909091       1       1 0.660256       1       1 0.800000 0.769643       1     0.369572
    871   h1 0.909091       1       1 0.115385       1       1 0.329412 0.255357       1     0.008824
    872   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500       1     0.433333
    873   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500       1     0.433333
    874   h1 0.727273       1       1 0.916667       1       1 0.800000 0.812500       1     0.433333
    875   h1 0.660079       1       1 0.423077       1       1 0.403922 0.325000       1     0.036660
    876   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    877   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    878   h1 0.727273       1       1 1.000000       1       1 0.800000 0.875000       1     0.509091
    879   h1 0.695652       1       1 0.461538       1       1 0.400000 0.350000       1     0.044950
    880   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    881   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    882   h1 1.000000       1       1 0.750000       1       1 0.800000 0.812500       1     0.487500
    883   h1 0.956522       1       1 0.288462       1       1 0.376471 0.325000       1     0.033760
    884   h1 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    885   h1 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    886   h1 0.727273       1       1 0.733974       1       1 0.752941 0.801786       1     0.322253
    887   h1 0.284585       1       1 0.259615       1       1 0.247059 0.255357       1     0.004661
    888   h1 0.869565       1       1 1.000000       1       1 0.800000 0.812500       1     0.565217
    889   h1 0.909091       1       1 1.000000       1       1 0.800000 0.812500       1     0.590909
    890   h1 1.000000       1       1 1.000000       1       1 0.658824 0.675000       1     0.444706
    891   h1 1.000000       1       1 0.769231       1       1 0.141176 0.235714       1     0.025598
    892   h1 0.695652       1       1 0.750000       1       1 0.800000 0.812500       1     0.339130
    893   h1 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    894   h1 0.632411       1       1 0.390000       1       1 0.611765 0.557143       1     0.084065
    895   h1 0.181818       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    916   h1 0.695652       1       1 0.750000       1       1 0.933333 0.812500       1     0.395652
    917   h1 0.727273       1       1 0.750000       1       1 0.933333 0.812500       1     0.413636
    918   h1 0.727273       1       1 0.750000       1       1 0.933333 0.812500       1     0.413636
    919   h1 0.727273       1       1 0.570000       1       1 0.658824 0.510714       1     0.139482
    920   h1 0.158103       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    921   h1 0.869565       1       1 0.733333       1       1 0.866667 0.812500       1     0.449034
    922   h1 0.909091       1       1 0.750000       1       1 0.866667 0.812500       1     0.480114
    923   h1 0.909091       1       1 0.750000       1       1 0.866667 0.812500       1     0.480114
    924   h1 0.909091       1       1 0.576923       1       1 0.637255 0.492857       1     0.164725
    925   h1 0.197628       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    926   h1 0.707510       1       1 0.721154       1       1 0.800000 0.812500       1     0.331645
    927   h1 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    928   h1 0.727273       1       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    929   h1 0.727273       1       1 0.576923       1       1 0.564706 0.505357       1     0.119739
    930   h1 0.158103       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    931   h1 0.909091       1       1 0.881410       1       1 0.800000 0.812500       1     0.520833
    932   h1 0.909091       1       1 0.916667       1       1 0.800000 0.812500       1     0.541667
    933   h1 0.909091       1       1 0.916667       1       1 0.800000 0.812500       1     0.541667
    934   h1 0.909091       1       1 0.705128       1       1 0.564706 0.496429       1     0.179703
    935   h1 0.197628       1       1 0.000000       1       1 0.000000 0.000000       1     0.000000
