 ChipID Half   Layer0  Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    466   h0 0.818182       1       1       1 0.548077       1 0.564706 0.487500       1     0.123449
    467   h0 0.213439       1       1       1 0.141026       1 0.000000 0.000000       1     0.000000
    812   h1 0.434783       1       1       1 0.583333       1 0.000000 0.062500       1     0.000000
    813   h1 0.363636       1       1       1 0.583333       1 0.000000 0.062500       1     0.000000
    814   h1 0.300395       1       1       1 0.269231       1 0.000000 0.042857       1     0.000000
    815   h1 0.695652       1       1       1 0.750000       1 0.733333 0.812500       1     0.310870
    816   h1 0.727273       1       1       1 0.750000       1 0.733333 0.812500       1     0.325000
    817   h1 0.600791       1       1       1 0.525641       1 0.635294 0.580357       1     0.116435
    818   h1 0.695652       1       1       1 0.916667       1 0.800000 0.187500       1     0.095652
    819   h1 0.727273       1       1       1 0.916667       1 0.800000 0.187500       1     0.100000
    820   h1 0.600791       1       1       1 0.423077       1 0.611765 0.133929       1     0.020826
    821   h1 0.956522       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    822   h1 1.000000       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    823   h1 0.826087       1       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    860   h1 0.956522       1       1       1 0.750000       1 0.866667 0.812500       1     0.505163
    861   h1 1.000000       1       1       1 0.750000       1 0.866667 0.812500       1     0.528125
    862   h1 1.000000       1       1       1 0.750000       1 0.662745 0.557143       1     0.276933
    863   h1 1.000000       1       1       1 0.461538       1 0.000000 0.000000       1     0.000000
    864   h1 0.695652       1       1       1 0.916667       1 0.933333 0.812500       1     0.483575
    865   h1 0.727273       1       1       1 0.916667       1 0.933333 0.812500       1     0.505556
    866   h1 0.727273       1       1       1 0.916667       1 0.933333 0.675000       1     0.420000
    867   h1 0.727273       1       1       1 0.564103       1 0.658824 0.235714       1     0.063710
    868   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    869   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    870   h1 0.909091       1       1       1 0.750000       1 0.800000 0.769643       1     0.419805
    871   h1 0.909091       1       1       1 0.394231       1 0.329412 0.255357       1     0.030147
    872   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    873   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    874   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    875   h1 0.660079       1       1       1 0.182692       1 0.403922 0.325000       1     0.015831
    876   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    877   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    878   h1 0.727273       1       1       1 0.750000       1 0.800000 0.875000       1     0.381818
    879   h1 0.695652       1       1       1 0.198718       1 0.400000 0.350000       1     0.019353
    880   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500       1     0.595833
    881   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500       1     0.595833
    882   h1 1.000000       1       1       1 0.916667       1 0.800000 0.812500       1     0.595833
    883   h1 0.956522       1       1       1 0.271605       1 0.376471 0.325000       1     0.031787
    884   h1 0.727273       1       1       1 1.000000       1 0.800000 0.812500       1     0.472727
    885   h1 0.727273       1       1       1 1.000000       1 0.800000 0.812500       1     0.472727
    886   h1 0.727273       1       1       1 1.000000       1 0.752941 0.801786       1     0.439053
    887   h1 0.284585       1       1       1 1.000000       1 0.247059 0.255357       1     0.017954
    888   h1 0.869565       1       1       1 0.750000       1 0.800000 0.812500       1     0.423913
    889   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    890   h1 1.000000       1       1       1 0.750000       1 0.658824 0.675000       1     0.333529
    891   h1 1.000000       1       1       1 0.461538       1 0.141176 0.235714       1     0.015359
    892   h1 0.695652       1       1       1 0.750000       1 0.800000 0.812500       1     0.339130
    893   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    894   h1 0.632411       1       1       1 0.701923       1 0.611765 0.557143       1     0.151300
    895   h1 0.181818       1       1       1 0.410256       1 0.000000 0.000000       1     0.000000
    916   h1 0.695652       1       1       1 1.000000       1 0.933333 0.812500       1     0.527536
    917   h1 0.727273       1       1       1 1.000000       1 0.933333 0.812500       1     0.551515
    918   h1 0.727273       1       1       1 1.000000       1 0.933333 0.812500       1     0.551515
    919   h1 0.727273       1       1       1 1.000000       1 0.658824 0.510714       1     0.244706
    920   h1 0.158103       1       1       1 0.807692       1 0.000000 0.000000       1     0.000000
    921   h1 0.869565       1       1       1 0.750000       1 0.866667 0.812500       1     0.459239
    922   h1 0.909091       1       1       1 0.750000       1 0.866667 0.812500       1     0.480114
    923   h1 0.909091       1       1       1 0.750000       1 0.866667 0.812500       1     0.480114
    924   h1 0.909091       1       1       1 0.750000       1 0.637255 0.492857       1     0.214142
    925   h1 0.197628       1       1       1 0.605769       1 0.000000 0.000000       1     0.000000
    926   h1 0.707510       1       1       1 0.750000       1 0.800000 0.812500       1     0.344911
    927   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    928   h1 0.727273       1       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    929   h1 0.727273       1       1       1 0.750000       1 0.564706 0.505357       1     0.155661
    930   h1 0.158103       1       1       1 0.611111       1 0.000000 0.000000       1     0.000000
    931   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    932   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    933   h1 0.909091       1       1       1 0.750000       1 0.800000 0.812500       1     0.443182
    934   h1 0.909091       1       1       1 0.525641       1 0.564706 0.496429       1     0.133960
    935   h1 0.197628       1       1       1 0.134615       1 0.000000 0.000000       1     0.000000
