 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1 0.600791       1       1 0.173333       1       1 0.611765       1 0.026316     0.001677
    821   h1 0.956522       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1       1 0.866667       1 0.823529     0.600771
    861   h1 1.000000       1       1 0.916667       1       1 0.866667       1 0.823529     0.654248
    862   h1 1.000000       1       1 0.476667       1       1 0.662745       1 0.368421     0.116387
    863   h1 1.000000       1       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1       1 0.933333       1 0.823529     0.534697
    865   h1 0.727273       1       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    866   h1 0.727273       1       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    867   h1 0.727273       1       1 0.769231       1       1 0.658824       1 0.216718     0.079876
    868   h1 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    869   h1 0.909091       1       1 0.750000       1       1 0.800000       1 0.823529     0.449198
    870   h1 0.909091       1       1 0.660256       1       1 0.800000       1 0.823529     0.395448
    871   h1 0.909091       1       1 0.115385       1       1 0.329412       1 0.021672     0.000749
    872   h1 0.727273       1       1 0.916667       1       1 0.800000       1 0.823529     0.439216
    873   h1 0.727273       1       1 0.916667       1       1 0.800000       1 0.823529     0.439216
    874   h1 0.727273       1       1 0.916667       1       1 0.800000       1 0.823529     0.439216
    875   h1 0.660079       1       1 0.423077       1       1 0.403922       1 0.044892     0.005064
    876   h1 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    877   h1 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    878   h1 0.727273       1       1 1.000000       1       1 0.800000       1 0.823529     0.479144
    879   h1 0.695652       1       1 0.461538       1       1 0.400000       1 0.043344     0.005567
    880   h1 1.000000       1       1 0.750000       1       1 0.800000       1 0.823529     0.494118
    881   h1 1.000000       1       1 0.750000       1       1 0.800000       1 0.823529     0.494118
    882   h1 1.000000       1       1 0.750000       1       1 0.800000       1 0.773994     0.464396
    883   h1 0.956522       1       1 0.288462       1       1 0.376471       1 0.037152     0.003859
    884   h1 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    885   h1 0.727273       1       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    886   h1 0.727273       1       1 0.733974       1       1 0.752941       1 0.823529     0.330993
    887   h1 0.284585       1       1 0.259615       1       1 0.247059       1 0.253870     0.004634
    888   h1 0.869565       1       1 1.000000       1       1 0.800000       1 0.823529     0.572890
    889   h1 0.909091       1       1 1.000000       1       1 0.800000       1 0.801858     0.583169
