 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1 0.173333       1 0.376068       1 0.133929       1     0.006548
    821   h1       1 0.000000       1 0.000000       1 0.000000       1 0.000000       1     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829       1 0.000000       1     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339       1 0.000000       1     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077       1 0.812500       1     0.440000
    861   h1       1 0.727273       1 0.916667       1 0.923077       1 0.812500       1     0.500000
    862   h1       1 0.636364       1 0.476667       1 0.923077       1 0.557143       1     0.156000
    863   h1       1 0.363636       1 0.000000       1 0.512821       1 0.000000       1     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231       1 0.812500       1     0.416667
    865   h1       1 0.727273       1 1.000000       1 0.769231       1 0.812500       1     0.454545
    866   h1       1 0.727273       1 1.000000       1 0.769231       1 0.675000       1     0.377622
    867   h1       1 0.727273       1 0.769231       1 0.427350       1 0.235714       1     0.056354
    868   h1       1 0.715909       1 0.750000       1 0.769231       1 0.812500       1     0.335582
    869   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    870   h1       1 0.727273       1 0.660256       1 0.769231       1 0.769643       1     0.284286
    871   h1       1 0.367424       1 0.115385       1 0.569801       1 0.255357       1     0.006169
    872   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500       1     0.515625
    873   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500       1     0.515625
    874   h1       1 0.818182       1 0.916667       1 0.846154       1 0.812500       1     0.515625
    875   h1       1 0.681818       1 0.423077       1 0.156695       1 0.325000       1     0.014690
    876   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    877   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    878   h1       1 1.000000       1 1.000000       1 1.000000       1 0.875000       1     0.875000
    879   h1       1 0.833333       1 0.461538       1 0.222222       1 0.350000       1     0.029915
    880   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500       1     0.375000
    881   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500       1     0.375000
    882   h1       1 0.727273       1 0.750000       1 0.846154       1 0.812500       1     0.375000
    883   h1       1 0.587121       1 0.288462       1 0.125356       1 0.325000       1     0.006900
    884   h1       1 0.681818       1 0.750000       1 0.769231       1 0.812500       1     0.319602
    885   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    886   h1       1 0.727273       1 0.733974       1 0.769231       1 0.801786       1     0.329225
    887   h1       1 0.606061       1 0.259615       1 0.678063       1 0.255357       1     0.027244
    888   h1       1 0.666667       1 1.000000       1 0.846154       1 0.812500       1     0.458333
    889   h1       1 0.727273       1 1.000000       1 0.786325       1 0.812500       1     0.464646
    890   h1       1 0.727273       1 1.000000       1 0.817664       1 0.675000       1     0.401399
    891   h1       1 0.727273       1 0.769231       1 0.470085       1 0.235714       1     0.061989
    892   h1       1 0.666667       1 0.750000       1 0.923077       1 0.812500       1     0.375000
    893   h1       1 0.727273       1 0.750000       1 0.923077       1 0.812500       1     0.409091
    894   h1       1 0.704545       1 0.390000       1 0.923077       1 0.557143       1     0.141312
    895   h1       1 0.636364       1 0.000000       1 0.512821       1 0.000000       1     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231       1 0.812500       1     0.429688
    917   h1       1 1.000000       1 0.750000       1 0.769231       1 0.812500       1     0.468750
    918   h1       1 1.000000       1 0.750000       1 0.769231       1 0.812500       1     0.468750
    919   h1       1 1.000000       1 0.570000       1 0.666667       1 0.510714       1     0.194071
    920   h1       1 0.166667       1 0.000000       1 0.398860       1 0.000000       1     0.000000
    921   h1       1 0.666667       1 0.733333       1 0.769231       1 0.812500       1     0.305556
    922   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    923   h1       1 0.727273       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    924   h1       1 0.727273       1 0.576923       1 0.769231       1 0.492857       1     0.159072
    925   h1       1 0.121212       1 0.000000       1 0.569801       1 0.000000       1     0.000000
    926   h1       1 0.833333       1 0.721154       1 0.769231       1 0.812500       1     0.375601
    927   h1       1 0.909091       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    928   h1       1 0.909091       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    929   h1       1 0.909091       1 0.576923       1 0.769231       1 0.505357       1     0.203883
    930   h1       1 0.151515       1 0.000000       1 0.569801       1 0.000000       1     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308       1 0.812500       1     0.413161
    932   h1       1 0.909091       1 0.916667       1 0.754986       1 0.812500       1     0.511188
    933   h1       1 0.909091       1 0.916667       1 0.723647       1 0.812500       1     0.489969
    934   h1       1 0.909091       1 0.705128       1 0.589744       1 0.496429       1     0.187670
    935   h1       1 0.151515       1 0.000000       1 0.341880       1 0.000000       1     0.000000
