 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1       1 0.423077       1 0.611765 0.133929       1     0.025998
    821   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    822   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    823   h1       1 0.000000       1       1 0.000000       1 0.000000 0.000000       1     0.000000
    860   h1       1 0.666667       1       1 0.750000       1 0.866667 0.812500       1     0.352083
    861   h1       1 0.727273       1       1 0.750000       1 0.866667 0.812500       1     0.384091
    862   h1       1 0.636364       1       1 0.750000       1 0.662745 0.557143       1     0.176230
    863   h1       1 0.363636       1       1 0.461538       1 0.000000 0.000000       1     0.000000
    864   h1       1 0.666667       1       1 0.916667       1 0.933333 0.812500       1     0.463426
    865   h1       1 0.727273       1       1 0.916667       1 0.933333 0.812500       1     0.505556
    866   h1       1 0.727273       1       1 0.916667       1 0.933333 0.675000       1     0.420000
    867   h1       1 0.727273       1       1 0.564103       1 0.658824 0.235714       1     0.063710
    868   h1       1 0.715909       1       1 0.750000       1 0.800000 0.812500       1     0.349006
    869   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    870   h1       1 0.727273       1       1 0.750000       1 0.800000 0.769643       1     0.335844
    871   h1       1 0.367424       1       1 0.394231       1 0.329412 0.255357       1     0.012184
    872   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500       1     0.398864
    873   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500       1     0.398864
    874   h1       1 0.818182       1       1 0.750000       1 0.800000 0.812500       1     0.398864
    875   h1       1 0.681818       1       1 0.182692       1 0.403922 0.325000       1     0.016352
    876   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    877   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    878   h1       1 1.000000       1       1 0.750000       1 0.800000 0.875000       1     0.525000
    879   h1       1 0.833333       1       1 0.198718       1 0.400000 0.350000       1     0.023184
    880   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500       1     0.433333
    881   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500       1     0.433333
    882   h1       1 0.727273       1       1 0.916667       1 0.800000 0.812500       1     0.433333
    883   h1       1 0.587121       1       1 0.271605       1 0.376471 0.325000       1     0.019511
    884   h1       1 0.681818       1       1 1.000000       1 0.800000 0.812500       1     0.443182
    885   h1       1 0.727273       1       1 1.000000       1 0.800000 0.812500       1     0.472727
    886   h1       1 0.727273       1       1 1.000000       1 0.752941 0.801786       1     0.439053
    887   h1       1 0.606061       1       1 1.000000       1 0.247059 0.255357       1     0.038235
    888   h1       1 0.666667       1       1 0.750000       1 0.800000 0.812500       1     0.325000
    889   h1       1 0.727273       1       1 0.750000       1 0.800000 0.812500       1     0.354545
    890   h1       1 0.727273       1       1 0.750000       1 0.658824 0.675000       1     0.242567
    891   h1       1 0.727273       1       1 0.461538       1 0.141176 0.235714       1     0.011170
