 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1 0.173333       1       1 0.611765       1 0.026316     0.002093
    821   h1       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1       1 0.866667       1 0.823529     0.418719
    861   h1       1 0.727273       1 0.916667       1       1 0.866667       1 0.823529     0.475817
    862   h1       1 0.636364       1 0.476667       1       1 0.662745       1 0.368421     0.074065
    863   h1       1 0.363636       1 0.000000       1       1 0.000000       1 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1       1 0.933333       1 0.823529     0.512418
    865   h1       1 0.727273       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    866   h1       1 0.727273       1 1.000000       1       1 0.933333       1 0.823529     0.559002
    867   h1       1 0.727273       1 0.769231       1       1 0.658824       1 0.216718     0.079876
    868   h1       1 0.715909       1 0.750000       1       1 0.800000       1 0.823529     0.353743
    869   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    870   h1       1 0.727273       1 0.660256       1       1 0.800000       1 0.823529     0.316358
    871   h1       1 0.367424       1 0.115385       1       1 0.329412       1 0.021672     0.000303
    872   h1       1 0.818182       1 0.916667       1       1 0.800000       1 0.823529     0.494118
    873   h1       1 0.818182       1 0.916667       1       1 0.800000       1 0.823529     0.494118
    874   h1       1 0.818182       1 0.916667       1       1 0.800000       1 0.823529     0.494118
    875   h1       1 0.681818       1 0.423077       1       1 0.403922       1 0.044892     0.005231
    876   h1       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    877   h1       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    878   h1       1 1.000000       1 1.000000       1       1 0.800000       1 0.823529     0.658824
    879   h1       1 0.833333       1 0.461538       1       1 0.400000       1 0.043344     0.006668
    880   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    881   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    882   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.773994     0.337743
    883   h1       1 0.587121       1 0.288462       1       1 0.376471       1 0.037152     0.002369
    884   h1       1 0.681818       1 0.750000       1       1 0.800000       1 0.823529     0.336898
    885   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.823529     0.359358
    886   h1       1 0.727273       1 0.733974       1       1 0.752941       1 0.823529     0.330993
    887   h1       1 0.606061       1 0.259615       1       1 0.247059       1 0.253870     0.009869
    888   h1       1 0.666667       1 1.000000       1       1 0.800000       1 0.823529     0.439216
    889   h1       1 0.727273       1 1.000000       1       1 0.800000       1 0.801858     0.466535
    890   h1       1 0.727273       1 1.000000       1       1 0.658824       1 0.602167     0.288525
    891   h1       1 0.727273       1 0.769231       1       1 0.141176       1 0.123839     0.009781
    892   h1       1 0.666667       1 0.750000       1       1 0.800000       1 0.837461     0.334985
    893   h1       1 0.727273       1 0.750000       1       1 0.800000       1 0.882353     0.385027
    894   h1       1 0.704545       1 0.390000       1       1 0.611765       1 0.394737     0.066354
    895   h1       1 0.636364       1 0.000000       1       1 0.000000       1 0.000000     0.000000
