 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1 0.600791       1 0.465455       1 0.423077       1       1 0.133929       1     0.015845
    821   h1 0.956522       1 0.436364       1 0.000000       1       1 0.000000       1     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1       1 0.000000       1     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1       1 0.000000       1     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1       1 0.812500       1     0.392120
    861   h1 1.000000       1 0.727273       1 0.750000       1       1 0.812500       1     0.443182
    862   h1 1.000000       1 0.690909       1 0.750000       1       1 0.557143       1     0.288701
    863   h1 1.000000       1 0.585455       1 0.461538       1       1 0.000000       1     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1       1 0.812500       1     0.346667
    865   h1 0.727273       1 0.727273       1 0.916667       1       1 0.812500       1     0.393939
    866   h1 0.727273       1 0.727273       1 0.916667       1       1 0.675000       1     0.327273
    867   h1 0.727273       1 0.669091       1 0.564103       1       1 0.235714       1     0.064703
    868   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500       1     0.402893
    869   h1 0.909091       1 0.727273       1 0.750000       1       1 0.812500       1     0.402893
    870   h1 0.909091       1 0.727273       1 0.750000       1       1 0.769643       1     0.381641
    871   h1 0.909091       1 0.581818       1 0.394231       1       1 0.255357       1     0.053247
    872   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500       1     0.322314
    873   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500       1     0.322314
    874   h1 0.727273       1 0.727273       1 0.750000       1       1 0.812500       1     0.322314
    875   h1 0.660079       1 0.450909       1 0.182692       1       1 0.325000       1     0.017672
    876   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    877   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    878   h1 0.727273       1 0.727273       1 0.750000       1       1 0.875000       1     0.347107
    879   h1 0.695652       1 0.465455       1 0.198718       1       1 0.350000       1     0.022520
