 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1 0.173333       1       1 0.611765 0.133929       1     0.010651
    821   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    822   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    823   h1       1 0.000000       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    860   h1       1 0.666667       1 0.880000       1       1 0.866667 0.812500       1     0.413111
    861   h1       1 0.727273       1 0.916667       1       1 0.866667 0.812500       1     0.469444
    862   h1       1 0.636364       1 0.476667       1       1 0.662745 0.557143       1     0.112004
    863   h1       1 0.363636       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    864   h1       1 0.666667       1 1.000000       1       1 0.933333 0.812500       1     0.505556
    865   h1       1 0.727273       1 1.000000       1       1 0.933333 0.812500       1     0.551515
    866   h1       1 0.727273       1 1.000000       1       1 0.933333 0.675000       1     0.458182
    867   h1       1 0.727273       1 0.769231       1       1 0.658824 0.235714       1     0.086878
    868   h1       1 0.715909       1 0.750000       1       1 0.800000 0.812500       1     0.349006
    869   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    870   h1       1 0.727273       1 0.660256       1       1 0.800000 0.769643       1     0.295658
    871   h1       1 0.367424       1 0.115385       1       1 0.329412 0.255357       1     0.003566
    872   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500       1     0.487500
    873   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500       1     0.487500
    874   h1       1 0.818182       1 0.916667       1       1 0.800000 0.812500       1     0.487500
    875   h1       1 0.681818       1 0.423077       1       1 0.403922 0.325000       1     0.037868
    876   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    877   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    878   h1       1 1.000000       1 1.000000       1       1 0.800000 0.875000       1     0.700000
    879   h1       1 0.833333       1 0.461538       1       1 0.400000 0.350000       1     0.053846
    880   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    881   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    882   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    883   h1       1 0.587121       1 0.288462       1       1 0.376471 0.325000       1     0.020722
    884   h1       1 0.681818       1 0.750000       1       1 0.800000 0.812500       1     0.332386
    885   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    886   h1       1 0.727273       1 0.733974       1       1 0.752941 0.801786       1     0.322253
    887   h1       1 0.606061       1 0.259615       1       1 0.247059 0.255357       1     0.009926
    888   h1       1 0.666667       1 1.000000       1       1 0.800000 0.812500       1     0.433333
    889   h1       1 0.727273       1 1.000000       1       1 0.800000 0.812500       1     0.472727
    890   h1       1 0.727273       1 1.000000       1       1 0.658824 0.675000       1     0.323422
    891   h1       1 0.727273       1 0.769231       1       1 0.141176 0.235714       1     0.018617
    892   h1       1 0.666667       1 0.750000       1       1 0.800000 0.812500       1     0.325000
    893   h1       1 0.727273       1 0.750000       1       1 0.800000 0.812500       1     0.354545
    894   h1       1 0.704545       1 0.390000       1       1 0.611765 0.557143       1     0.093654
    895   h1       1 0.636364       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    916   h1       1 0.916667       1 0.750000       1       1 0.933333 0.812500       1     0.521354
    917   h1       1 1.000000       1 0.750000       1       1 0.933333 0.812500       1     0.568750
    918   h1       1 1.000000       1 0.750000       1       1 0.933333 0.812500       1     0.568750
    919   h1       1 1.000000       1 0.570000       1       1 0.658824 0.510714       1     0.191788
    920   h1       1 0.166667       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    921   h1       1 0.666667       1 0.733333       1       1 0.866667 0.812500       1     0.344259
    922   h1       1 0.727273       1 0.750000       1       1 0.866667 0.812500       1     0.384091
    923   h1       1 0.727273       1 0.750000       1       1 0.866667 0.812500       1     0.384091
    924   h1       1 0.727273       1 0.576923       1       1 0.637255 0.492857       1     0.131780
    925   h1       1 0.121212       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    926   h1       1 0.833333       1 0.721154       1       1 0.800000 0.812500       1     0.390625
    927   h1       1 0.909091       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    928   h1       1 0.909091       1 0.750000       1       1 0.800000 0.812500       1     0.443182
    929   h1       1 0.909091       1 0.576923       1       1 0.564706 0.505357       1     0.149674
    930   h1       1 0.151515       1 0.000000       1       1 0.000000 0.000000       1     0.000000
    931   h1       1 0.833333       1 0.881410       1       1 0.800000 0.812500       1     0.477431
    932   h1       1 0.909091       1 0.916667       1       1 0.800000 0.812500       1     0.541667
    933   h1       1 0.909091       1 0.916667       1       1 0.800000 0.812500       1     0.541667
    934   h1       1 0.909091       1 0.705128       1       1 0.564706 0.496429       1     0.179703
    935   h1       1 0.151515       1 0.000000       1       1 0.000000 0.000000       1     0.000000
