 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    466   h0 0.818182       1       1 0.666667       1 0.675214 0.564706       1       1     0.207980
    467   h0 0.213439       1       1 0.000000       1 0.398860 0.000000       1       1     0.000000
    812   h1 0.434783       1       1 0.400000       1 0.000000 0.000000       1       1     0.000000
    813   h1 0.363636       1       1 0.416667       1 0.059829 0.000000       1       1     0.000000
    814   h1 0.300395       1       1 0.216667       1 0.031339 0.000000       1       1     0.000000
    815   h1 0.695652       1       1 0.720000       1 1.000000 0.733333       1       1     0.367304
    816   h1 0.727273       1       1 0.750000       1 0.940171 0.733333       1       1     0.376068
    817   h1 0.600791       1       1 0.420000       1 0.376068 0.635294       1       1     0.060286
    818   h1 0.695652       1       1 0.333333       1 1.000000 0.800000       1       1     0.185507
    819   h1 0.727273       1       1 0.333333       1 0.940171 0.800000       1       1     0.182336
    820   h1 0.600791       1       1 0.173333       1 0.376068 0.611765       1       1     0.023958
    821   h1 0.956522       1       1 0.000000       1 0.000000 0.000000       1       1     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829 0.000000       1       1     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339 0.000000       1       1     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077 0.866667       1       1     0.673391
    861   h1 1.000000       1       1 0.916667       1 0.923077 0.866667       1       1     0.733333
    862   h1 1.000000       1       1 0.476667       1 0.923077 0.662745       1       1     0.291608
    863   h1 1.000000       1       1 0.000000       1 0.512821 0.000000       1       1     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231 0.933333       1       1     0.499443
    865   h1 0.727273       1       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    866   h1 0.727273       1       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    867   h1 0.727273       1       1 0.769231       1 0.427350 0.658824       1       1     0.157510
    868   h1 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    869   h1 0.909091       1       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    870   h1 0.909091       1       1 0.660256       1 0.769231 0.800000       1       1     0.369374
    871   h1 0.909091       1       1 0.115385       1 0.569801 0.329412       1       1     0.019689
    872   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1       1     0.451282
    873   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1       1     0.451282
    874   h1 0.727273       1       1 0.916667       1 0.846154 0.800000       1       1     0.451282
    875   h1 0.660079       1       1 0.423077       1 0.156695 0.403922       1       1     0.017675
