 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1       1 0.423077       1       1 0.133929 0.026316     0.001118
    821   h1       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    822   h1       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    823   h1       1 0.000000       1       1 0.000000       1       1 0.000000 0.000000     0.000000
    860   h1       1 0.666667       1       1 0.750000       1       1 0.812500 0.823529     0.334559
    861   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    862   h1       1 0.636364       1       1 0.750000       1       1 0.557143 0.368421     0.097967
    863   h1       1 0.363636       1       1 0.461538       1       1 0.000000 0.000000     0.000000
    864   h1       1 0.666667       1       1 0.916667       1       1 0.812500 0.823529     0.408905
    865   h1       1 0.727273       1       1 0.916667       1       1 0.812500 0.823529     0.446078
    866   h1       1 0.727273       1       1 0.916667       1       1 0.675000 0.823529     0.370588
    867   h1       1 0.727273       1       1 0.564103       1       1 0.235714 0.216718     0.020957
    868   h1       1 0.715909       1       1 0.750000       1       1 0.812500 0.823529     0.359271
    869   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    870   h1       1 0.727273       1       1 0.750000       1       1 0.769643 0.823529     0.345722
    871   h1       1 0.367424       1       1 0.394231       1       1 0.255357 0.021672     0.000802
    872   h1       1 0.818182       1       1 0.750000       1       1 0.812500 0.823529     0.410595
    873   h1       1 0.818182       1       1 0.750000       1       1 0.812500 0.823529     0.410595
    874   h1       1 0.818182       1       1 0.750000       1       1 0.812500 0.823529     0.410595
    875   h1       1 0.681818       1       1 0.182692       1       1 0.325000 0.044892     0.001817
    876   h1       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    877   h1       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    878   h1       1 1.000000       1       1 0.750000       1       1 0.875000 0.823529     0.540441
    879   h1       1 0.833333       1       1 0.198718       1       1 0.350000 0.043344     0.002512
    880   h1       1 0.727273       1       1 0.916667       1       1 0.812500 0.823529     0.446078
    881   h1       1 0.727273       1       1 0.916667       1       1 0.812500 0.823529     0.446078
    882   h1       1 0.727273       1       1 0.916667       1       1 0.812500 0.773994     0.419247
    883   h1       1 0.587121       1       1 0.271605       1       1 0.325000 0.037152     0.001925
    884   h1       1 0.681818       1       1 1.000000       1       1 0.812500 0.823529     0.456217
    885   h1       1 0.727273       1       1 1.000000       1       1 0.812500 0.823529     0.486631
    886   h1       1 0.727273       1       1 1.000000       1       1 0.801786 0.823529     0.480214
    887   h1       1 0.606061       1       1 1.000000       1       1 0.255357 0.253870     0.039289
    888   h1       1 0.666667       1       1 0.750000       1       1 0.812500 0.823529     0.334559
    889   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.801858     0.355369
    890   h1       1 0.727273       1       1 0.750000       1       1 0.675000 0.602167     0.221707
    891   h1       1 0.727273       1       1 0.461538       1       1 0.235714 0.123839     0.009798
    892   h1       1 0.666667       1       1 0.750000       1       1 0.812500 0.837461     0.340219
    893   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.882353     0.391043
    894   h1       1 0.704545       1       1 0.701923       1       1 0.557143 0.394737     0.108761
    895   h1       1 0.636364       1       1 0.410256       1       1 0.000000 0.000000     0.000000
    916   h1       1 0.916667       1       1 1.000000       1       1 0.812500 0.823529     0.613358
    917   h1       1 1.000000       1       1 1.000000       1       1 0.812500 0.823529     0.669118
    918   h1       1 1.000000       1       1 1.000000       1       1 0.812500 0.823529     0.669118
    919   h1       1 1.000000       1       1 1.000000       1       1 0.510714 0.530960     0.271169
    920   h1       1 0.166667       1       1 0.807692       1       1 0.000000 0.054180     0.000000
    921   h1       1 0.666667       1       1 0.750000       1       1 0.812500 0.823529     0.334559
    922   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    923   h1       1 0.727273       1       1 0.750000       1       1 0.812500 0.823529     0.364973
    924   h1       1 0.727273       1       1 0.750000       1       1 0.492857 0.823529     0.221390
    925   h1       1 0.121212       1       1 0.605769       1       1 0.000000 0.108359     0.000000
    926   h1       1 0.833333       1       1 0.750000       1       1 0.812500 0.823529     0.418199
    927   h1       1 0.909091       1       1 0.750000       1       1 0.812500 0.823529     0.456217
    928   h1       1 0.909091       1       1 0.750000       1       1 0.812500 0.823529     0.456217
    929   h1       1 0.909091       1       1 0.750000       1       1 0.505357 0.823529     0.283757
    930   h1       1 0.151515       1       1 0.611111       1       1 0.000000 0.108359     0.000000
    931   h1       1 0.833333       1       1 0.750000       1       1 0.812500 0.823529     0.418199
    932   h1       1 0.909091       1       1 0.750000       1       1 0.812500 0.825077     0.457074
    933   h1       1 0.909091       1       1 0.750000       1       1 0.812500 0.823529     0.456217
    934   h1       1 0.909091       1       1 0.525641       1       1 0.496429 0.235294     0.055817
    935   h1       1 0.151515       1       1 0.134615       1       1 0.000000 0.000000     0.000000
