 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7  Layer8  Pseaudo_Eff
    820   h1 0.600791       1       1 0.173333       1 0.376068       1 0.133929       1     0.005245
    821   h1 0.956522       1       1 0.000000       1 0.000000       1 0.000000       1     0.000000
    822   h1 1.000000       1       1 0.000000       1 0.059829       1 0.000000       1     0.000000
    823   h1 0.826087       1       1 0.000000       1 0.031339       1 0.000000       1     0.000000
    860   h1 0.956522       1       1 0.880000       1 0.923077       1 0.812500       1     0.631304
    861   h1 1.000000       1       1 0.916667       1 0.923077       1 0.812500       1     0.687500
    862   h1 1.000000       1       1 0.476667       1 0.923077       1 0.557143       1     0.245143
    863   h1 1.000000       1       1 0.000000       1 0.512821       1 0.000000       1     0.000000
    864   h1 0.695652       1       1 1.000000       1 0.769231       1 0.812500       1     0.434783
    865   h1 0.727273       1       1 1.000000       1 0.769231       1 0.812500       1     0.454545
    866   h1 0.727273       1       1 1.000000       1 0.769231       1 0.675000       1     0.377622
    867   h1 0.727273       1       1 0.769231       1 0.427350       1 0.235714       1     0.056354
    868   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    869   h1 0.909091       1       1 0.750000       1 0.769231       1 0.812500       1     0.426136
    870   h1 0.909091       1       1 0.660256       1 0.769231       1 0.769643       1     0.355358
    871   h1 0.909091       1       1 0.115385       1 0.569801       1 0.255357       1     0.015263
    872   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500       1     0.458333
    873   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500       1     0.458333
    874   h1 0.727273       1       1 0.916667       1 0.846154       1 0.812500       1     0.458333
    875   h1 0.660079       1       1 0.423077       1 0.156695       1 0.325000       1     0.014222
    876   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    877   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    878   h1 0.727273       1       1 1.000000       1 1.000000       1 0.875000       1     0.636364
    879   h1 0.695652       1       1 0.461538       1 0.222222       1 0.350000       1     0.024972
    880   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500       1     0.515625
    881   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500       1     0.515625
    882   h1 1.000000       1       1 0.750000       1 0.846154       1 0.812500       1     0.515625
    883   h1 0.956522       1       1 0.288462       1 0.125356       1 0.325000       1     0.011241
    884   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    885   h1 0.727273       1       1 0.750000       1 0.769231       1 0.812500       1     0.340909
    886   h1 0.727273       1       1 0.733974       1 0.769231       1 0.801786       1     0.329225
    887   h1 0.284585       1       1 0.259615       1 0.678063       1 0.255357       1     0.012793
    888   h1 0.869565       1       1 1.000000       1 0.846154       1 0.812500       1     0.597826
    889   h1 0.909091       1       1 1.000000       1 0.786325       1 0.812500       1     0.580808
    890   h1 1.000000       1       1 1.000000       1 0.817664       1 0.675000       1     0.551923
    891   h1 1.000000       1       1 0.769231       1 0.470085       1 0.235714       1     0.085235
    892   h1 0.695652       1       1 0.750000       1 0.923077       1 0.812500       1     0.391304
    893   h1 0.727273       1       1 0.750000       1 0.923077       1 0.812500       1     0.409091
