 ChipID Half  Layer0   Layer1  Layer2  Layer3   Layer4  Layer5   Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1       1 0.423077       1 0.611765       1 0.026316     0.005108
    821   h1       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    822   h1       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    823   h1       1 0.000000       1       1 0.000000       1 0.000000       1 0.000000     0.000000
    860   h1       1 0.666667       1       1 0.750000       1 0.866667       1 0.823529     0.356863
    861   h1       1 0.727273       1       1 0.750000       1 0.866667       1 0.823529     0.389305
    862   h1       1 0.636364       1       1 0.750000       1 0.662745       1 0.368421     0.116535
    863   h1       1 0.363636       1       1 0.461538       1 0.000000       1 0.000000     0.000000
    864   h1       1 0.666667       1       1 0.916667       1 0.933333       1 0.823529     0.469717
    865   h1       1 0.727273       1       1 0.916667       1 0.933333       1 0.823529     0.512418
    866   h1       1 0.727273       1       1 0.916667       1 0.933333       1 0.823529     0.512418
    867   h1       1 0.727273       1       1 0.564103       1 0.658824       1 0.216718     0.058576
    868   h1       1 0.715909       1       1 0.750000       1 0.800000       1 0.823529     0.353743
    869   h1       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    870   h1       1 0.727273       1       1 0.750000       1 0.800000       1 0.823529     0.359358
    871   h1       1 0.367424       1       1 0.394231       1 0.329412       1 0.021672     0.001034
    872   h1       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    873   h1       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    874   h1       1 0.818182       1       1 0.750000       1 0.800000       1 0.823529     0.404278
    875   h1       1 0.681818       1       1 0.182692       1 0.403922       1 0.044892     0.002259
    876   h1       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    877   h1       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    878   h1       1 1.000000       1       1 0.750000       1 0.800000       1 0.823529     0.494118
    879   h1       1 0.833333       1       1 0.198718       1 0.400000       1 0.043344     0.002871
    880   h1       1 0.727273       1       1 0.916667       1 0.800000       1 0.823529     0.439216
    881   h1       1 0.727273       1       1 0.916667       1 0.800000       1 0.823529     0.439216
    882   h1       1 0.727273       1       1 0.916667       1 0.800000       1 0.773994     0.412797
    883   h1       1 0.587121       1       1 0.271605       1 0.376471       1 0.037152     0.002230
    884   h1       1 0.681818       1       1 1.000000       1 0.800000       1 0.823529     0.449198
    885   h1       1 0.727273       1       1 1.000000       1 0.800000       1 0.823529     0.479144
    886   h1       1 0.727273       1       1 1.000000       1 0.752941       1 0.823529     0.450959
    887   h1       1 0.606061       1       1 1.000000       1 0.247059       1 0.253870     0.038013
    888   h1       1 0.666667       1       1 0.750000       1 0.800000       1 0.823529     0.329412
    889   h1       1 0.727273       1       1 0.750000       1 0.800000       1 0.801858     0.349901
    890   h1       1 0.727273       1       1 0.750000       1 0.658824       1 0.602167     0.216394
    891   h1       1 0.727273       1       1 0.461538       1 0.141176       1 0.123839     0.005868
    892   h1       1 0.666667       1       1 0.750000       1 0.800000       1 0.837461     0.334985
    893   h1       1 0.727273       1       1 0.750000       1 0.800000       1 0.882353     0.385027
    894   h1       1 0.704545       1       1 0.701923       1 0.611765       1 0.394737     0.119424
    895   h1       1 0.636364       1       1 0.410256       1 0.000000       1 0.000000     0.000000
    916   h1       1 0.916667       1       1 1.000000       1 0.933333       1 0.823529     0.704575
    917   h1       1 1.000000       1       1 1.000000       1 0.933333       1 0.823529     0.768627
    918   h1       1 1.000000       1       1 1.000000       1 0.933333       1 0.823529     0.768627
    919   h1       1 1.000000       1       1 1.000000       1 0.658824       1 0.530960     0.349809
    920   h1       1 0.166667       1       1 0.807692       1 0.000000       1 0.054180     0.000000
    921   h1       1 0.666667       1       1 0.750000       1 0.866667       1 0.823529     0.356863
    922   h1       1 0.727273       1       1 0.750000       1 0.866667       1 0.823529     0.389305
    923   h1       1 0.727273       1       1 0.750000       1 0.866667       1 0.823529     0.389305
    924   h1       1 0.727273       1       1 0.750000       1 0.637255       1 0.823529     0.286254
    925   h1       1 0.121212       1       1 0.605769       1 0.000000       1 0.108359     0.000000
    926   h1       1 0.833333       1       1 0.750000       1 0.800000       1 0.823529     0.411765
    927   h1       1 0.909091       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    928   h1       1 0.909091       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    929   h1       1 0.909091       1       1 0.750000       1 0.564706       1 0.823529     0.317081
    930   h1       1 0.151515       1       1 0.611111       1 0.000000       1 0.108359     0.000000
    931   h1       1 0.833333       1       1 0.750000       1 0.800000       1 0.823529     0.411765
    932   h1       1 0.909091       1       1 0.750000       1 0.800000       1 0.825077     0.450042
    933   h1       1 0.909091       1       1 0.750000       1 0.800000       1 0.823529     0.449198
    934   h1       1 0.909091       1       1 0.525641       1 0.564706       1 0.235294     0.063494
    935   h1       1 0.151515       1       1 0.134615       1 0.000000       1 0.000000     0.000000
