 ChipID Half   Layer0  Layer1   Layer2  Layer3   Layer4  Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1 0.600791       1 0.465455       1 0.423077       1       1       1 0.026316     0.003113
    821   h1 0.956522       1 0.436364       1 0.000000       1       1       1 0.000000     0.000000
    822   h1 1.000000       1 0.454545       1 0.000000       1       1       1 0.000000     0.000000
    823   h1 0.826087       1 0.290909       1 0.000000       1       1       1 0.000000     0.000000
    860   h1 0.956522       1 0.672727       1 0.750000       1       1       1 0.823529     0.397442
    861   h1 1.000000       1 0.727273       1 0.750000       1       1       1 0.823529     0.449198
    862   h1 1.000000       1 0.690909       1 0.750000       1       1       1 0.368421     0.190909
    863   h1 1.000000       1 0.585455       1 0.461538       1       1       1 0.000000     0.000000
    864   h1 0.695652       1 0.669091       1 0.916667       1       1       1 0.823529     0.351373
    865   h1 0.727273       1 0.727273       1 0.916667       1       1       1 0.823529     0.399287
    866   h1 0.727273       1 0.727273       1 0.916667       1       1       1 0.823529     0.399287
    867   h1 0.727273       1 0.669091       1 0.564103       1       1       1 0.216718     0.059489
    868   h1 0.909091       1 0.727273       1 0.750000       1       1       1 0.823529     0.408362
    869   h1 0.909091       1 0.727273       1 0.750000       1       1       1 0.823529     0.408362
    870   h1 0.909091       1 0.727273       1 0.750000       1       1       1 0.823529     0.408362
    871   h1 0.909091       1 0.581818       1 0.394231       1       1       1 0.021672     0.004519
    872   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    873   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    874   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    875   h1 0.660079       1 0.450909       1 0.182692       1       1       1 0.044892     0.002441
    876   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    877   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    878   h1 0.727273       1 0.727273       1 0.750000       1       1       1 0.823529     0.326689
    879   h1 0.695652       1 0.465455       1 0.198718       1       1       1 0.043344     0.002789
    880   h1 1.000000       1 1.000000       1 0.916667       1       1       1 0.823529     0.754902
    881   h1 1.000000       1 1.000000       1 0.916667       1       1       1 0.823529     0.754902
    882   h1 1.000000       1 1.000000       1 0.916667       1       1       1 0.773994     0.709494
    883   h1 0.956522       1 0.680000       1 0.271605       1       1       1 0.037152     0.006563
    884   h1 0.727273       1 0.818182       1 1.000000       1       1       1 0.823529     0.490034
    885   h1 0.727273       1 0.818182       1 1.000000       1       1       1 0.823529     0.490034
    886   h1 0.727273       1 0.818182       1 1.000000       1       1       1 0.823529     0.490034
    887   h1 0.284585       1 0.130909       1 1.000000       1       1       1 0.253870     0.009458
