 ChipID Half   Layer0  Layer1  Layer2   Layer3  Layer4  Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    820   h1 0.600791       1       1 0.173333       1       1       1 0.133929 0.026316     0.000367
    821   h1 0.956522       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    822   h1 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    823   h1 0.826087       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    860   h1 0.956522       1       1 0.880000       1       1       1 0.812500 0.823529     0.563223
    861   h1 1.000000       1       1 0.916667       1       1       1 0.812500 0.823529     0.613358
    862   h1 1.000000       1       1 0.476667       1       1       1 0.557143 0.368421     0.097842
    863   h1 1.000000       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    864   h1 0.695652       1       1 1.000000       1       1       1 0.812500 0.823529     0.465473
    865   h1 0.727273       1       1 1.000000       1       1       1 0.812500 0.823529     0.486631
    866   h1 0.727273       1       1 1.000000       1       1       1 0.675000 0.823529     0.404278
    867   h1 0.727273       1       1 0.769231       1       1       1 0.235714 0.216718     0.028578
    868   h1 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    869   h1 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    870   h1 0.909091       1       1 0.660256       1       1       1 0.769643 0.823529     0.380442
    871   h1 0.909091       1       1 0.115385       1       1       1 0.255357 0.021672     0.000580
    872   h1 0.727273       1       1 0.916667       1       1       1 0.812500 0.823529     0.446078
    873   h1 0.727273       1       1 0.916667       1       1       1 0.812500 0.823529     0.446078
    874   h1 0.727273       1       1 0.916667       1       1       1 0.812500 0.823529     0.446078
    875   h1 0.660079       1       1 0.423077       1       1       1 0.325000 0.044892     0.004074
    876   h1 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    877   h1 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    878   h1 0.727273       1       1 1.000000       1       1       1 0.875000 0.823529     0.524064
    879   h1 0.695652       1       1 0.461538       1       1       1 0.350000 0.043344     0.004871
    880   h1 1.000000       1       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    881   h1 1.000000       1       1 0.750000       1       1       1 0.812500 0.823529     0.501838
    882   h1 1.000000       1       1 0.750000       1       1       1 0.812500 0.773994     0.471652
    883   h1 0.956522       1       1 0.288462       1       1       1 0.325000 0.037152     0.003332
    884   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    885   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    886   h1 0.727273       1       1 0.733974       1       1       1 0.801786 0.823529     0.352465
    887   h1 0.284585       1       1 0.259615       1       1       1 0.255357 0.253870     0.004790
    888   h1 0.869565       1       1 1.000000       1       1       1 0.812500 0.823529     0.581841
    889   h1 0.909091       1       1 1.000000       1       1       1 0.812500 0.801858     0.592281
    890   h1 1.000000       1       1 1.000000       1       1       1 0.675000 0.602167     0.406463
    891   h1 1.000000       1       1 0.769231       1       1       1 0.235714 0.123839     0.022454
    892   h1 0.695652       1       1 0.750000       1       1       1 0.812500 0.837461     0.355011
    893   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.882353     0.391043
    894   h1 0.632411       1       1 0.390000       1       1       1 0.557143 0.394737     0.054242
    895   h1 0.181818       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
    916   h1 0.695652       1       1 0.750000       1       1       1 0.812500 0.823529     0.349105
    917   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    918   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    919   h1 0.727273       1       1 0.570000       1       1       1 0.510714 0.530960     0.112412
    920   h1 0.158103       1       1 0.000000       1       1       1 0.000000 0.054180     0.000000
    921   h1 0.869565       1       1 0.733333       1       1       1 0.812500 0.823529     0.426684
    922   h1 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    923   h1 0.909091       1       1 0.750000       1       1       1 0.812500 0.823529     0.456217
    924   h1 0.909091       1       1 0.576923       1       1       1 0.492857 0.823529     0.212875
    925   h1 0.197628       1       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    926   h1 0.707510       1       1 0.721154       1       1       1 0.812500 0.823529     0.341400
    927   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    928   h1 0.727273       1       1 0.750000       1       1       1 0.812500 0.823529     0.364973
    929   h1 0.727273       1       1 0.576923       1       1       1 0.505357 0.823529     0.174619
    930   h1 0.158103       1       1 0.000000       1       1       1 0.000000 0.108359     0.000000
    931   h1 0.909091       1       1 0.881410       1       1       1 0.812500 0.823529     0.536152
    932   h1 0.909091       1       1 0.916667       1       1       1 0.812500 0.825077     0.558646
    933   h1 0.909091       1       1 0.916667       1       1       1 0.812500 0.823529     0.557598
    934   h1 0.909091       1       1 0.705128       1       1       1 0.496429 0.235294     0.074876
    935   h1 0.197628       1       1 0.000000       1       1       1 0.000000 0.000000     0.000000
