 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1 0.173333       1 0.376068 0.611765       1       1     0.029908
    821   h1       1 0.000000       1 0.000000       1 0.000000 0.000000       1       1     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829 0.000000       1       1     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339 0.000000       1       1     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077 0.866667       1       1     0.469333
    861   h1       1 0.727273       1 0.916667       1 0.923077 0.866667       1       1     0.533333
    862   h1       1 0.636364       1 0.476667       1 0.923077 0.662745       1       1     0.185569
    863   h1       1 0.363636       1 0.000000       1 0.512821 0.000000       1       1     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231 0.933333       1       1     0.478632
    865   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    866   h1       1 0.727273       1 1.000000       1 0.769231 0.933333       1       1     0.522145
    867   h1       1 0.727273       1 0.769231       1 0.427350 0.658824       1       1     0.157510
    868   h1       1 0.715909       1 0.750000       1 0.769231 0.800000       1       1     0.330420
    869   h1       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    870   h1       1 0.727273       1 0.660256       1 0.769231 0.800000       1       1     0.295499
    871   h1       1 0.367424       1 0.115385       1 0.569801 0.329412       1       1     0.007958
    872   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    873   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    874   h1       1 0.818182       1 0.916667       1 0.846154 0.800000       1       1     0.507692
    875   h1       1 0.681818       1 0.423077       1 0.156695 0.403922       1       1     0.018257
    876   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    877   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    878   h1       1 1.000000       1 1.000000       1 1.000000 0.800000       1       1     0.800000
    879   h1       1 0.833333       1 0.461538       1 0.222222 0.400000       1       1     0.034188
    880   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1       1     0.369231
    881   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1       1     0.369231
    882   h1       1 0.727273       1 0.750000       1 0.846154 0.800000       1       1     0.369231
    883   h1       1 0.587121       1 0.288462       1 0.125356 0.376471       1       1     0.007993
    884   h1       1 0.681818       1 0.750000       1 0.769231 0.800000       1       1     0.314685
    885   h1       1 0.727273       1 0.750000       1 0.769231 0.800000       1       1     0.335664
    886   h1       1 0.727273       1 0.733974       1 0.769231 0.752941       1       1     0.309169
    887   h1       1 0.606061       1 0.259615       1 0.678063 0.247059       1       1     0.026358
    888   h1       1 0.666667       1 1.000000       1 0.846154 0.800000       1       1     0.451282
    889   h1       1 0.727273       1 1.000000       1 0.786325 0.800000       1       1     0.457498
    890   h1       1 0.727273       1 1.000000       1 0.817664 0.658824       1       1     0.391779
    891   h1       1 0.727273       1 0.769231       1 0.470085 0.141176       1       1     0.037127
    892   h1       1 0.666667       1 0.750000       1 0.923077 0.800000       1       1     0.369231
    893   h1       1 0.727273       1 0.750000       1 0.923077 0.800000       1       1     0.402797
    894   h1       1 0.704545       1 0.390000       1 0.923077 0.611765       1       1     0.155166
    895   h1       1 0.636364       1 0.000000       1 0.512821 0.000000       1       1     0.000000
    916   h1       1 0.916667       1 0.750000       1 0.769231 0.933333       1       1     0.493590
    917   h1       1 1.000000       1 0.750000       1 0.769231 0.933333       1       1     0.538462
    918   h1       1 1.000000       1 0.750000       1 0.769231 0.933333       1       1     0.538462
    919   h1       1 1.000000       1 0.570000       1 0.666667 0.658824       1       1     0.250353
    920   h1       1 0.166667       1 0.000000       1 0.398860 0.000000       1       1     0.000000
    921   h1       1 0.666667       1 0.733333       1 0.769231 0.866667       1       1     0.325926
    922   h1       1 0.727273       1 0.750000       1 0.769231 0.866667       1       1     0.363636
    923   h1       1 0.727273       1 0.750000       1 0.769231 0.866667       1       1     0.363636
    924   h1       1 0.727273       1 0.576923       1 0.769231 0.637255       1       1     0.205677
    925   h1       1 0.121212       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    926   h1       1 0.833333       1 0.721154       1 0.769231 0.800000       1       1     0.369822
    927   h1       1 0.909091       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    928   h1       1 0.909091       1 0.750000       1 0.769231 0.800000       1       1     0.419580
    929   h1       1 0.909091       1 0.576923       1 0.769231 0.564706       1       1     0.227826
    930   h1       1 0.151515       1 0.000000       1 0.569801 0.000000       1       1     0.000000
    931   h1       1 0.833333       1 0.881410       1 0.692308 0.800000       1       1     0.406805
    932   h1       1 0.909091       1 0.916667       1 0.754986 0.800000       1       1     0.503324
    933   h1       1 0.909091       1 0.916667       1 0.723647 0.800000       1       1     0.482431
    934   h1       1 0.909091       1 0.705128       1 0.589744 0.564706       1       1     0.213482
    935   h1       1 0.151515       1 0.000000       1 0.341880 0.000000       1       1     0.000000
