 ChipID Half  Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6  Layer7   Layer8  Pseaudo_Eff
    820   h1       1 0.750000       1 0.173333       1 0.376068       1       1 0.026316     0.001287
    821   h1       1 0.000000       1 0.000000       1 0.000000       1       1 0.000000     0.000000
    822   h1       1 0.000000       1 0.000000       1 0.059829       1       1 0.000000     0.000000
    823   h1       1 0.000000       1 0.000000       1 0.031339       1       1 0.000000     0.000000
    860   h1       1 0.666667       1 0.880000       1 0.923077       1       1 0.823529     0.445973
    861   h1       1 0.727273       1 0.916667       1 0.923077       1       1 0.823529     0.506787
    862   h1       1 0.636364       1 0.476667       1 0.923077       1       1 0.368421     0.103158
    863   h1       1 0.363636       1 0.000000       1 0.512821       1       1 0.000000     0.000000
    864   h1       1 0.666667       1 1.000000       1 0.769231       1       1 0.823529     0.422323
    865   h1       1 0.727273       1 1.000000       1 0.769231       1       1 0.823529     0.460716
    866   h1       1 0.727273       1 1.000000       1 0.769231       1       1 0.823529     0.460716
    867   h1       1 0.727273       1 0.769231       1 0.427350       1       1 0.216718     0.051812
    868   h1       1 0.715909       1 0.750000       1 0.769231       1       1 0.823529     0.340138
    869   h1       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    870   h1       1 0.727273       1 0.660256       1 0.769231       1       1 0.823529     0.304191
    871   h1       1 0.367424       1 0.115385       1 0.569801       1       1 0.021672     0.000524
    872   h1       1 0.818182       1 0.916667       1 0.846154       1       1 0.823529     0.522624
    873   h1       1 0.818182       1 0.916667       1 0.846154       1       1 0.823529     0.522624
    874   h1       1 0.818182       1 0.916667       1 0.846154       1       1 0.823529     0.522624
    875   h1       1 0.681818       1 0.423077       1 0.156695       1       1 0.044892     0.002029
    876   h1       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    877   h1       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    878   h1       1 1.000000       1 1.000000       1 1.000000       1       1 0.823529     0.823529
    879   h1       1 0.833333       1 0.461538       1 0.222222       1       1 0.043344     0.003705
    880   h1       1 0.727273       1 0.750000       1 0.846154       1       1 0.823529     0.380090
    881   h1       1 0.727273       1 0.750000       1 0.846154       1       1 0.823529     0.380090
    882   h1       1 0.727273       1 0.750000       1 0.846154       1       1 0.773994     0.357228
    883   h1       1 0.587121       1 0.288462       1 0.125356       1       1 0.037152     0.000789
    884   h1       1 0.681818       1 0.750000       1 0.769231       1       1 0.823529     0.323941
    885   h1       1 0.727273       1 0.750000       1 0.769231       1       1 0.823529     0.345537
    886   h1       1 0.727273       1 0.733974       1 0.769231       1       1 0.823529     0.338154
    887   h1       1 0.606061       1 0.259615       1 0.678063       1       1 0.253870     0.027085
    888   h1       1 0.666667       1 1.000000       1 0.846154       1       1 0.823529     0.464555
    889   h1       1 0.727273       1 1.000000       1 0.786325       1       1 0.801858     0.458560
    890   h1       1 0.727273       1 1.000000       1 0.817664       1       1 0.602167     0.358088
    891   h1       1 0.727273       1 0.769231       1 0.470085       1       1 0.123839     0.032568
