Configurations	Weights(%)
0.1.2.3.4.6.7	0.0
0.1.2.3.4.6.8	0.0
0.1.2.3.4.6.9	0.0
0.1.2.3.4.7.8	0.0
0.1.2.3.4.7.9	0.0
0.1.2.3.4.8.9	0.0
0.1.2.3.5.6.7	-3.79
0.1.2.3.5.6.8	-3.96
0.1.2.3.5.6.9	-4.2
0.1.2.3.5.7.8	-3.91
0.1.2.3.5.7.9	-3.88
0.1.2.3.5.8.9	-4.02
0.1.2.3.6.7.8	0.0
0.1.2.3.6.7.9	0.0
0.1.2.3.6.8.9	0.0
0.1.2.3.7.8.9	0.0
0.1.2.4.5.6.7	-3.62
0.1.2.4.5.6.8	-3.46
0.1.2.4.5.6.9	-3.9
0.1.2.4.5.7.8	-3.41
0.1.2.4.5.7.9	-3.67
0.1.2.4.5.8.9	-3.79
0.1.2.4.6.7.8	0.0
0.1.2.4.6.7.9	0.0
0.1.2.4.6.8.9	0.0
0.1.2.4.7.8.9	0.0
0.1.2.5.6.7.8	-3.46
0.1.2.5.6.7.9	-3.8
0.1.2.5.6.8.9	-3.89
0.1.2.5.7.8.9	-3.61
0.1.2.6.7.8.9	0.0
0.1.3.4.5.6.7	-3.46
0.1.3.4.5.6.8	-3.53
0.1.3.4.5.6.9	-3.87
0.1.3.4.5.7.8	-3.47
0.1.3.4.5.7.9	-3.61
0.1.3.4.5.8.9	-3.73
0.1.3.4.6.7.8	0.0
0.1.3.4.6.7.9	0.0
0.1.3.4.6.8.9	0.0
0.1.3.4.7.8.9	0.0
0.1.3.5.6.7.8	-3.76
0.1.3.5.6.7.9	-3.87
0.1.3.5.6.8.9	-3.96
0.1.3.5.7.8.9	-3.66
0.1.3.6.7.8.9	0.0
0.1.4.5.6.7.8	-3.18
0.1.4.5.6.7.9	-3.61
0.1.4.5.6.8.9	-3.68
0.1.4.5.7.8.9	-3.45
0.1.4.6.7.8.9	0.0
0.1.5.6.7.8.9	-3.62
0.2.3.4.5.6.7	-3.91
0.2.3.4.5.6.8	-3.47
0.2.3.4.5.6.9	-4.2
0.2.3.4.5.7.8	-3.42
0.2.3.4.5.7.9	-3.96
0.2.3.4.5.8.9	-4.06
0.2.3.4.6.7.8	0.0
0.2.3.4.6.7.9	0.0
0.2.3.4.6.8.9	0.0
0.2.3.4.7.8.9	0.0
0.2.3.5.6.7.8	-3.53
0.2.3.5.6.7.9	-4.06
0.2.3.5.6.8.9	-4.13
0.2.3.5.7.8.9	-3.85
0.2.3.6.7.8.9	0.0
0.2.4.5.6.7.8	-3.21
0.2.4.5.6.7.9	-3.93
0.2.4.5.6.8.9	-3.97
0.2.4.5.7.8.9	-3.77
0.2.4.6.7.8.9	0.0
0.2.5.6.7.8.9	-3.78
0.3.4.5.6.7.8	-3.16
0.3.4.5.6.7.9	-3.82
0.3.4.5.6.8.9	-3.87
0.3.4.5.7.8.9	-3.64
0.3.4.6.7.8.9	0.0
0.3.5.6.7.8.9	-3.77
0.4.5.6.7.8.9	-3.66
1.2.3.4.5.6.7	-3.34
1.2.3.4.5.6.8	-3.33
1.2.3.4.5.6.9	-3.75
1.2.3.4.5.7.8	-3.28
1.2.3.4.5.7.9	-3.49
1.2.3.4.5.8.9	-3.58
1.2.3.4.6.7.8	0.0
1.2.3.4.6.7.9	0.0
1.2.3.4.6.8.9	0.0
1.2.3.4.7.8.9	0.0
1.2.3.5.6.7.8	-3.46
1.2.3.5.6.7.9	-3.71
1.2.3.5.6.8.9	-3.79
1.2.3.5.7.8.9	-3.48
1.2.3.6.7.8.9	0.0
1.2.4.5.6.7.8	-3.06
1.2.4.5.6.7.9	-3.52
1.2.4.5.6.8.9	-3.57
1.2.4.5.7.8.9	-3.35
1.2.4.6.7.8.9	0.0
1.2.5.6.7.8.9	-3.49
1.3.4.5.6.7.8	-3.16
1.3.4.5.6.7.9	-3.5
1.3.4.5.6.8.9	-3.56
1.3.4.5.7.8.9	-3.31
1.3.4.6.7.8.9	0.0
1.3.5.6.7.8.9	-3.57
1.4.5.6.7.8.9	-3.38
2.3.4.5.6.7.8	-3.04
2.3.4.5.6.7.9	-3.75
2.3.4.5.6.8.9	-3.78
2.3.4.5.7.8.9	-3.56
2.3.4.6.7.8.9	0.0
2.3.5.6.7.8.9	-3.66
2.4.5.6.7.8.9	-3.61
3.4.5.6.7.8.9	-3.52
