Configurations	Weights(%)
0.1.2.3.6.8	-3.99
0.1.2.3.6.9	-3.58
0.1.2.3.7.8	-3.65
0.1.2.3.7.9	-3.19
0.1.2.4.6.7	-2.88
0.1.2.4.6.8	-4.0
0.1.2.4.6.9	-4.07
0.1.2.4.7.8	-3.65
0.1.2.4.7.9	-3.61
0.1.2.4.8.9	-3.64
0.1.2.5.6.7	-2.96
0.1.2.5.6.8	-4.19
0.1.2.5.6.9	-3.77
0.1.2.5.7.8	-3.83
0.1.2.5.7.9	-3.37
0.1.2.5.8.9	-3.42
0.1.2.6.7.8	-3.9
0.1.2.6.7.9	-3.65
0.1.2.6.8.9	-3.69
0.1.2.7.8.9	-3.3
0.1.3.4.6.7	-2.96
0.1.3.4.6.8	-3.76
0.1.3.4.6.9	-3.61
0.1.3.4.7.8	-3.41
0.1.3.4.7.9	-3.21
0.1.3.4.8.9	-3.23
0.1.3.5.6.7	-3.02
0.1.3.5.6.8	-3.84
0.1.3.5.6.9	-3.45
0.1.3.5.7.8	-3.49
0.1.3.5.7.9	-3.06
0.1.3.5.8.9	-3.11
0.1.3.6.7.8	-3.53
0.1.3.6.7.9	-3.25
0.1.3.6.8.9	-3.29
0.1.3.7.8.9	-2.93
0.1.4.5.6.8	-3.78
0.1.4.5.6.9	-3.7
0.1.4.5.7.8	-3.43
0.1.4.5.7.9	-3.29
0.1.4.6.7.8	-3.48
0.1.4.6.7.9	-3.63
0.1.4.6.8.9	-3.66
0.1.4.7.8.9	-3.26
0.1.5.6.7.8	-3.65
0.1.5.6.7.9	-3.37
0.1.5.6.8.9	-3.42
0.1.5.7.8.9	-3.06
0.2.3.4.6.7	-2.94
0.2.3.4.6.8	-3.72
0.2.3.4.6.9	-3.6
0.2.3.4.7.8	-3.43
0.2.3.4.7.9	-3.17
0.2.3.4.8.9	-3.21
0.2.3.5.6.7	-3.03
0.2.3.5.6.8	-3.89
0.2.3.5.6.9	-3.52
0.2.3.5.7.8	-3.6
0.2.3.5.7.9	-3.11
0.2.3.5.8.9	-3.17
0.2.3.6.7.8	-3.61
0.2.3.6.7.9	-3.26
0.2.3.6.8.9	-3.32
0.2.3.7.8.9	-2.94
0.2.4.5.6.7	-2.99
0.2.4.5.6.8	-3.82
0.2.4.5.6.9	-3.73
0.2.4.5.7.8	-3.53
0.2.4.5.7.9	-3.29
0.2.4.5.8.9	-3.34
0.2.4.6.7.8	-3.56
0.2.4.6.7.9	-3.6
0.2.4.6.8.9	-3.64
0.2.4.7.8.9	-3.22
0.2.5.6.7.8	-3.82
0.2.5.6.7.9	-3.42
0.2.5.6.8.9	-3.49
0.2.5.7.8.9	-3.11
0.2.6.7.8.9	-3.3
0.3.4.5.6.7	-3.17
0.3.4.5.6.8	-3.65
0.3.4.5.6.9	-3.56
0.3.4.5.7.8	-3.34
0.3.4.5.7.9	-3.12
0.3.4.5.8.9	-3.18
0.3.4.6.7.8	-3.34
0.3.4.6.7.9	-3.32
0.3.4.6.8.9	-3.37
0.3.4.7.8.9	-2.98
0.3.5.6.7.8	-3.52
0.3.5.6.7.9	-3.27
0.3.5.6.8.9	-3.35
0.3.5.7.8.9	-2.95
0.3.6.7.8.9	-3.06
0.4.5.6.7.8	-3.39
0.4.5.6.7.9	-3.39
0.4.5.6.8.9	-3.45
0.4.5.7.8.9	-3.05
0.4.6.7.8.9	-3.3
0.5.6.7.8.9	-3.17
1.2.3.4.6.7	0.0
1.2.3.4.6.8	0.0
1.2.3.4.6.9	0.0
1.2.3.4.7.8	0.0
1.2.3.4.7.9	0.0
1.2.3.4.8.9	0.0
