 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    462   h0 1.000000 0.777778       1 0.714286 0.700000       1 0.581197 0.461538 0.778802     0.081243
    463   h0 0.631579 0.631579       1 0.666667 0.954545       1 0.740741 0.769231 0.785714     0.113644
    464   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    465   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1 0.484330 0.384615 0.656682     0.027184
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1 0.769231 0.846154 0.785714     0.199671
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.272753
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.272753
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1 0.769231 0.769231 0.785714     0.117032
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1 0.769231 0.769231 0.857143     0.182387
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.236686
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.236686
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1 0.769231 0.923077 0.857143     0.218865
    822   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077 0.788018     0.261119
    823   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077 0.785714     0.260355
    860   h1 0.795322 0.631579       1 0.952381 0.763636       1 0.846154 0.769231 0.785714     0.186826
    861   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.769231 0.785714     0.242447
    862   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.769231 0.785714     0.242447
    863   h1 0.888889 0.666667       1 1.000000 0.800000       1 0.846154 0.620879 0.785714     0.195689
    864   h1 0.596491 0.947368       1 0.666667 0.954545       1 1.000000 0.769231 0.785714     0.217345
    865   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    866   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    867   h1 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    868   h1 0.842105 0.573099       1 0.642857 0.954545       1 0.683761 0.846154 0.737327     0.126334
    869   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.846154 0.785714     0.278435
    870   h1 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    871   h1 1.000000 0.777778       1 0.676190 1.000000       1 0.769231 0.846154 0.767281     0.262655
    872   h1 0.596491 0.666667       1 0.700000 0.700000       1 0.757835 0.923077 0.778802     0.106157
    873   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.121499
    874   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.121499
    875   h1 0.666667 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.121499
    876   h1 0.695906 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.760369     0.284924
    877   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    878   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    879   h1 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    880   h1 0.894737 0.649123       1 0.700000 1.000000       1 0.814815 0.846154 0.744240     0.208613
    881   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.846154 0.846154 0.785714     0.262525
    882   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.846154 0.785714     0.238659
    883   h1 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.846154 0.767281     0.233060
    884   h1 0.479532 0.736842       1 0.647619 0.663636       1 0.925926 0.747253 0.702765     0.073841
    885   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.225641
    886   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.225641
    887   h1 0.666667 1.000000       1 0.800000 0.700000       1 1.000000 0.769231 0.785714     0.225641
    888   h1 0.947368 0.947368       1 0.952381 0.668182       1 0.769231 0.769231 0.785714     0.265535
    889   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.788018     0.326398
    890   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.788018     0.326398
    891   h1 1.000000 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.325444
    892   h1 0.695906 0.631579       1 0.761905 0.668182       1 0.769231 0.769231 0.857143     0.113485
    893   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231 0.769231 0.857143     0.147272
    894   h1 0.777778 0.666667       1 0.800000 0.700000       1 0.769231 0.769231 0.790323     0.135791
    895   h1 0.777778 0.666667       1 0.900000 0.700000       1 0.555556 0.670330 0.714286     0.086895
    916   h1 0.894737 0.631579       1 0.661905 0.668182       1 0.846154 0.769231 0.785714     0.127816
    917   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    918   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    919   h1 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    920   h1 1.000000 0.666667       1 0.500000 0.700000       1 0.532764 0.376374 0.785714     0.036762
    921   h1 0.298246 0.947368       1 0.904762 0.763636       1 0.307692 0.706044 0.619816     0.026286
    922   h1 0.631579 1.000000       1 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.234907
    923   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.247957
    924   h1 0.666667 1.000000       1 1.000000 0.800000       1 0.769231 0.769231 0.785714     0.247957
    925   h1 0.666667 1.000000       1 0.714286 0.800000       1 0.740741 0.398352 0.764977     0.085991
    926   h1 0.894737 0.631579       1 0.900000 0.668182       1 0.923077 0.620879 0.714286     0.139116
    927   h1 1.000000 0.666667       1 0.900000 0.700000       1 0.923077 0.769231 0.714286     0.213018
    928   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.236686
    929   h1 1.000000 0.666667       1 1.000000 0.700000       1 0.923077 0.769231 0.781106     0.258828
    930   h1 1.000000 0.666667       1 0.714286 0.700000       1 0.547009 0.500000 0.785714     0.071632
    931   h1 0.619883 0.736842       1 0.700000 0.954545       1 0.769231 0.769231 0.785714     0.141892
    932   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.788018     0.169243
    933   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.854839     0.183595
    934   h1 0.666667 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.790323     0.169738
    935   h1 0.666667 0.777778       1 0.500000 1.000000       1 0.455840 0.370879 0.721198     0.031611
