 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    425   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.220907
    426   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231       1     0.220907
    427   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.569801 0.675824       1     0.143765
    448   h0 0.947368 0.631579   0.855 0.666667 0.668182       1 0.814815 0.769231       1     0.142834
    449   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    450   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    451   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231       1     0.191361
    452   h0 1.000000 0.666667   0.810 0.500000 0.700000       1 0.532764 0.384615       1     0.038728
    453   h0 0.210526 0.947368   0.475 0.952381 0.668182       1 0.279202 0.642857       1     0.010821
    454   h0 0.619883 1.000000   0.690 1.000000 0.700000       1 0.769231 0.769231       1     0.177162
    455   h0 0.666667 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.193294
    456   h0 0.666667 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231       1     0.193294
    457   h0 0.666667 1.000000   0.650 0.714286 0.700000       1 0.740741 0.461538       1     0.074074
    458   h0 0.947368 0.736842   0.950 0.952381 0.668182       1 0.923077 0.670330       1     0.261125
    459   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    460   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    461   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231       1     0.386588
    462   h0 1.000000 0.777778   0.900 0.714286 0.700000       1 0.581197 0.461538       1     0.093886
    463   h0 0.631579 0.631579   0.760 0.666667 0.954545       1 0.740741 0.769231       1     0.109925
    464   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.147272
    465   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.147272
    466   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231       1     0.147272
    467   h0 0.666667 0.666667   0.720 0.500000 1.000000       1 0.484330 0.384615       1     0.029805
