 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7  Layer8  Pseaudo_Eff
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231       1     0.103090
    467   h0 0.666667 0.666667   0.720 0.500000       1 0.700000 0.484330 0.384615       1     0.020863
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000 0.769231 0.846154       1     0.148023
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000 0.769231 0.846154       1     0.182249
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364 0.769231 0.846154       1     0.166785
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000 0.769231 0.769231       1     0.190595
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231 0.769231       1     0.257725
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231 0.769231       1     0.257725
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000 0.769231 0.769231       1     0.124834
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231       1     0.154635
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231       1     0.154635
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000 0.769231 0.923077       1     0.214001
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000 0.769231 0.923077       1     0.246154
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455 0.769231 0.923077       1     0.225498
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000 0.846154 0.769231       1     0.207066
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231       1     0.269998
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231       1     0.269998
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.620879       1     0.217927
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000 1.000000 0.769231       1     0.173441
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231       1     0.226154
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273 0.683761 0.846154       1     0.109413
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.846154       1     0.248060
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231       1     0.225510
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231 0.846154       1     0.239623
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000 0.757835 0.923077       1     0.095416
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.108245
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.108245
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077       1     0.108245
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.374719
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000       1     0.418803
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000 0.814815 0.846154       1     0.196212
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.846154 0.846154       1     0.233886
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.846154       1     0.212623
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.846154       1     0.212623
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182 0.925926 0.747253       1     0.061172
